,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.5498608436794941,0.14270435971369277,-17.257722847087948,-17.528172101811382,0.9999998971250339,1.3439529299490122e-07,1.0,14.0,0.28800867811193237,0.8925090303868773
REGLILLA SALADITA CONAF,0.5429721689265787,0.009782172939635478,-319.1579419106093,-308.0733093414165,0.9999953045231031,-5.927087359191322e-06,0.9443348394706845,328.0,0.8034904799885505,0.9817726479564064
Pozo 2037,0.6082351510694044,0.18115247220407685,-27.585156718076256,-25.5956803540844,0.999961241017822,4.980486644938108e-05,0.5771484375,26.0,0.2774294942971434,0.9147665801750449
Pozo 1028,0.4254183363157611,0.22885918356656818,-2750.5417738958313,-2726.333696513443,0.9999993098607209,-8.651926190459285e-07,2.0281215699186943e-09,169656.0,1.6258571229327234e-29,0.8417427017968148
Pozo L10-8,0.1194631435699246,0.22833361786384695,-57.93958423040897,-52.26211315076322,0.9997615506808888,0.000302266140955414,0.6010458469390869,120.0,0.0028898480914097656,0.8514440795913691
Pozo L10-9,0.8827530206231482,0.05634892252288342,-950.6481813848022,-935.0582123227184,0.611734478940354,-0.5085620130444646,0.28432946918767454,6344.0,0.005708400704383233,0.9762295070337753
Pozo L10-4,0.6578883912316573,0.15075850742060565,-8863.836491588336,-8835.036288183934,0.9999979315915737,-2.5926420265998553e-06,6.084849253769286e-10,1172421.0,3.063174391089151e-38,0.8880923443719957
Pozo GD-04,0.12007924671273973,0.24424517257889758,-60.47913762585031,-54.38475850150931,0.9999992888980046,9.005636854534218e-07,0.6720751523971558,146.0,0.002015295858369842,0.8530705425106866
Pozo L10-5,0.25451729036761117,0.20549885538770435,-100.76203704656133,-92.98529673911426,0.9997703186631055,0.0002899870032836674,0.29471105203265324,250.0,0.00037678459113229965,0.8592615777630459
Pozo L10-7,0.30282824457693114,0.17387322304711778,-70.47372703124779,-64.79625595160203,0.999998668914839,1.6873269756617547e-06,0.8462316989898682,131.0,0.4930768240086546,0.9614409078612982
REGLILLA INTERNA CONAF,0.813595868031425,0.015262082659364701,-178.38965406882733,-170.44119455732329,0.9999921306484257,-9.975446787685452e-06,0.8462316989898682,131.0,0.2589334685528489,0.947455754950729
Pozo L10-6,0.3001969796529378,0.19929772664332265,-67.42186200969468,-61.53159285795495,0.9999686150278901,3.976498234472482e-05,0.8553357124328613,143.0,0.5173539683331725,0.963710251401876
Pozo L10-2,0.7254604390430925,0.043908084152985714,-1027.7180664257758,-1012.158127483993,0.9999999976025389,3.0093279257982663e-09,0.967203377907619,6905.0,4.590734082466406e-05,0.9561759183000174
Pozo GD-03,0.2773266751944137,0.152545127150597,-80.25415092643897,-74.36388177469924,0.999996160732183,4.864379563152541e-06,0.7257407903671265,137.0,0.49430193957052393,0.9626668549583101
Pozo 1024,0.516802883818825,0.16781568330658422,-189.90757080382593,-179.7808123501502,0.9528487009813285,-0.05940014790794397,0.30789731271285536,673.0,2.3216152002069232e-05,0.870405097540218
Pozo L10-3,0.2920910719404062,0.13772861560160762,-128.77290585493128,-120.99616554748421,0.9999425695216335,7.250955745284134e-05,0.4128334259730764,264.0,0.0024093920316303288,0.891881402584882
Pozo L10-1,0.303925434636093,0.18681986960223643,-711.3724679252255,-694.5192777845872,0.9998637561773427,0.00017095590740261196,0.01219351200425767,9321.0,4.5270252002248194e-13,0.8611746799761818
Pozo L10-13,0.3058132663310229,0.19669749931681035,-702.2266608809185,-685.281302231836,0.9999731838876111,3.364757719015563e-05,0.7172210041156741,11705.0,3.296548049352786e-05,0.9651921547201472
Pozo L10-12,0.2507898910466613,0.1912130752959449,-671.5991608487561,-654.9597800048082,0.9998489515885658,0.0001895421177299629,0.9066052310117014,10560.0,0.0034592414119070684,0.9789086579586691
Pozo L10-10,0.8569616438847272,0.03524822365477869,-1100.6529277302632,-1085.0929887884804,0.9985407160715452,-0.0018317154147903594,0.4224568777188932,6433.0,0.0005119461611922246,0.9667219475070992
Pozo L10-11,0.791371018493101,0.12412713889834853,-3683.014597171787,-3659.0866589467473,0.9999997276334146,-3.414574443351394e-07,0.09307591648383237,183253.0,5.785723731417394e-16,0.954279435910691
Pozo L10-15,0.22717798300034497,0.15667008308732974,-816.7114275446044,-799.6755686873038,0.9998683278859517,0.0001652124675100114,0.7190315629586217,12141.0,1.2309104860411312e-05,0.962253317856556
REGLILLA SALADA CONAF,0.37668865815508035,0.005471378992342053,-319.326373974,-309.0662226544019,0.9903308998860282,-0.012216840817819485,0.8320396803319454,252.0,0.4898226039728722,0.9696510979784331
Pozo L10-14,0.3032969718765741,0.19668582090141762,-705.5049620747695,-688.5368243430078,0.9999750111488565,3.1354652855102225e-05,0.7517467048465248,11856.0,2.405754708233548e-05,0.964215621281303
Pozo L10-16,0.4973654808433676,0.19569749328996303,-81.34637196185699,-74.68534941098096,0.9999728726112863,3.431533606534796e-05,0.17823376506567,143.0,0.0002010543784041825,0.8152950218765027
Pozo L10-17,0.5013653699061938,0.20072506093198147,-79.92587314770815,-73.26485059683213,0.9999976444477849,2.979703159711311e-06,0.18578492105007172,144.0,0.0001992420650855419,0.8150805044237035
