,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.9972534100292572,0.011147070810339285,-46.95209932455616,-47.38481813211365,0.9999894018574152,-1.3845355495906355e-05,1.0,14.0,0.7651378096565409,0.9539143171325801
REGLILLA SALADITA CONAF,0.5023244072735837,0.010207918262068247,-310.090592295109,-294.2554029105479,0.9999995146434504,-6.126642156935384e-07,0.9319914075895213,327.0,0.4852915519742381,0.9720883605045358
Pozo 2037,0.9965847729506404,0.01691380513854646,-73.75175260498045,-70.56859042259349,0.9990474706536407,-0.0012239900850673153,0.9658203125,32.0,0.5286659206645301,0.9406918646879757
Pozo 1028,0.870276833815954,0.10874298070907278,-4137.533988594356,-4098.801064782535,0.9998479309621995,-0.00019064124284965862,0.2806271013176741,210332.0,9.56988793394517e-16,0.9579494832695414
Pozo L10-8,0.9527970026843569,0.05286653867136112,-119.23929525925419,-110.155341531821,0.9999997215644771,3.5295395246029955e-07,0.3446848392486572,106.0,0.003821765618480131,0.8580574206566204
Pozo L10-9,0.9430944765444557,0.03925653791732438,-1065.3708506793653,-1040.4269001800312,0.9999930608225908,8.710076782016847e-06,0.9630382112928363,6985.0,0.3951394569902203,0.9911936752133919
Pozo L10-4,0.8941027046840148,0.08387651112358345,-11607.74134046258,-11561.661015015537,0.9999984189692575,1.9817395328673773e-06,0.00012900837049954007,1249805.0,5.423790924749855e-36,0.9045122683368261
Pozo GD-04,0.972753501149023,0.04297932200634914,-141.35180812617187,-131.60080152722628,0.9992546592634916,0.000943924934479462,0.7509929537773132,150.0,0.13066199489098174,0.937655736794164
Pozo L10-5,0.9758839537372848,0.03696099668654779,-214.85244461614099,-202.40966012422567,0.999475747229909,-0.000661901837786642,0.9806487238383852,313.0,0.20402106695006358,0.9583558635572884
Pozo L10-7,0.957892736731222,0.04273082918934648,-129.03039271292164,-119.94643898548844,0.9999671199051383,4.167988094870721e-05,0.3294053077697754,105.0,0.0009676561224814858,0.8244113782277254
REGLILLA INTERNA CONAF,0.9101407941530207,0.010596619055733177,-189.17213314440914,-177.81719098511763,0.9999982491633597,-2.219417645120823e-06,0.988100528717041,137.0,0.6072637142346133,0.9665584318745843
Pozo L10-6,0.9720904811416058,0.03980069110779896,-138.74580811159734,-129.32137746881378,0.9989628104605703,0.0013141268998085127,0.6839864253997803,135.0,0.09372324877334075,0.9292349257453019
Pozo L10-2,0.8742044683876403,0.02972176717894879,-1151.2706991889231,-1126.3747968820708,0.9999444642576958,6.970927049937817e-05,0.8941755698687068,6848.0,0.10062071200675418,0.9861986749955711
Pozo GD-03,0.9278664435918541,0.048194335811218514,-129.560661397808,-120.13623075502443,0.999957032710437,-5.443986074954332e-05,0.3305051326751709,115.0,0.0020075724517469367,0.8480016871506912
Pozo 1024,0.5208838455595795,0.16710551605245197,-184.38254134507602,-168.17972781919482,0.9952223518694061,-0.00601520902513196,0.2815986063756848,666.0,1.3875659477434384e-05,0.8630647499884121
Pozo L10-3,0.9595704386311903,0.03291432871443335,-222.96930349519297,-210.52651900327766,0.9999870662518673,-1.632966291031396e-05,0.9419905297108926,310.0,0.8912745756190741,0.9844823057559746
Pozo L10-1,0.6946037027660835,0.12374483067909288,-882.4994697992723,-855.5343655742511,0.9999991740849901,-1.0363409256160382e-06,0.8198300680945905,11402.0,0.04365793619221625,0.9868045118884267
Pozo L10-13,0.8557026216340602,0.0896788239174948,-1040.2460291579748,-1013.1334553194428,0.9999802203385723,2.481857455609996e-05,0.13504344093648374,10642.0,8.676804035538742e-12,0.8862912049807015
Pozo L10-12,0.7933504197880713,0.1004229640558569,-930.9261213555825,-904.3031120052658,0.9999992797119883,9.038487263493575e-07,0.43929250989268986,9998.0,8.075148902536769e-10,0.9104559038761237
Pozo L10-10,0.9397229531086594,0.02288163027218213,-1238.1037261355652,-1213.207823828713,0.9999995864644904,-5.190757785969547e-07,0.8320837577442411,6799.0,0.014059142359313439,0.979356608667768
Pozo L10-11,0.8306109491866204,0.1118464214663087,-3861.4125965131607,-3823.1278953530973,0.999998623878442,-1.725200430254697e-06,0.49309839209071593,190814.0,3.983182012917879e-14,0.9632483830338666
Pozo L10-15,0.8577989072430132,0.06720441384122078,-1188.2072927462489,-1160.9499185745678,0.9999997939518268,2.58534065610399e-07,0.528468236110362,11880.0,4.6352733007944834e-08,0.9386883545136905
REGLILLA SALADA CONAF,0.35936951167852893,0.005546871251356194,-312.4493599154216,-297.79200088742436,0.9999999274396191,-9.16771831307937e-08,1.0,264.0,0.4023270877347162,0.9662288081860755
Pozo L10-14,0.8629232516759826,0.08724310232908443,-1057.1849820669565,-1030.0359616961377,0.9999983099558574,-2.1205755753631252e-06,0.1478069630617763,10787.0,1.1572211934796589e-11,0.8888581141537513
Pozo L10-16,0.9654514825521986,0.05130666844415295,-150.31633458095587,-139.65869849955425,0.9999999202298595,-1.0090684380639467e-07,0.6781789660453796,184.0,0.08158637118366763,0.9348106229802465
Pozo L10-17,0.9688714660216735,0.05015216825499344,-151.59083768644714,-140.93320160504553,0.9993029164401395,0.0008817899903513851,0.6136380508542061,180.0,0.08622973225603864,0.9357578801872554
