,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.9735313641356362,0.03460426463727455,-31.092896887417126,-31.52561569497462,0.9999972786880114,-3.5551070950284943e-06,0.9375,13.0,0.06972096040478167,0.823719787704843
REGLILLA SALADITA CONAF,0.251188997426929,0.01252132018744016,-295.3832180263425,-279.5480286417814,0.9999997497350348,3.159087659069673e-07,0.8461933203216176,320.0,0.25315959628209667,0.9623161460698872
Pozo 2037,0.9967618838863165,0.01646939861187473,-74.3375274915033,-71.15436530911633,0.9957230002021128,-0.005495928202195811,0.8310546875,30.0,0.7297584115799509,0.9566841454381214
Pozo 1028,0.7119143570348292,0.16205158036396466,-3390.7415978067597,-3352.008673994939,0.9999571267909294,-5.374796825680418e-05,0.00498130038136186,196025.0,1.0796796317135148e-24,0.8956396364512695
Pozo L10-8,0.9147330076676453,0.0710536775224804,-105.63870464233374,-96.55475091490054,0.9999999997487746,3.1846150846050977e-10,0.7313888072967529,126.0,0.12001721788110775,0.9318684000261593
Pozo L10-9,0.9504344451914764,0.03663741050288869,-1088.432928850992,-1063.488978351658,0.9999979786374209,-2.537220513186062e-06,0.7156051773885707,6786.0,0.009599336876734067,0.9781113413705017
Pozo L10-4,0.8892103502055284,0.08579214340778542,-11501.832594713624,-11455.75226926658,0.9999355304902948,-8.08091662924962e-05,0.1584554791626378,1329097.0,9.194645482768284e-40,0.8757379076181926
Pozo GD-04,0.9176595224541243,0.07471553302680461,-113.70336348402293,-103.95235688507732,0.9999917431486349,-1.0456756616963521e-05,0.6528410911560059,145.0,0.07971859235028636,0.9283744754244172
Pozo L10-5,0.9779138194527267,0.03537129242578469,-217.92983153841845,-205.48704704650314,0.9999985579942665,-1.8206220887469285e-06,0.8906679842039011,306.0,0.9109970710685796,0.985304120547132
Pozo L10-7,0.962797659986708,0.0401650157286562,-131.8789102167478,-122.79495648931461,0.9999999349895432,-8.24093758899077e-08,0.869666576385498,132.0,0.6120187538238326,0.966761575901265
REGLILLA INTERNA CONAF,0.7740521005396221,0.01680313002277086,-167.96474455618142,-156.6098023968899,0.99999454314017,-6.91729354662291e-06,0.776785135269165,128.0,0.03527818325281574,0.9069682954826392
Pozo L10-6,0.9143108293436655,0.06973927180227964,-111.82360061104816,-102.3991699682646,0.9999999821005194,-2.2678768790382295e-08,0.7682963609695435,139.0,0.20601441540508836,0.9445655221499973
Pozo L10-2,0.9167047192030346,0.0241853412054809,-1219.7068434677687,-1194.8109411609164,0.9999999992616313,-9.268112043757606e-10,0.6850974230433133,6679.0,0.07090981449685949,0.9849920010293823
Pozo GD-03,0.9411329784098585,0.043537487075141955,-134.4383811275511,-125.01395048476755,0.9997985533581277,0.00025523432737125496,0.899570107460022,145.0,0.6625207052709488,0.9698191582637663
Pozo 1024,0.9183578424185047,0.06898070291085381,-283.47998992328417,-267.27717639740297,0.9999778015487903,-2.7948375551278217e-05,0.8511800801472735,775.0,0.1356808271518884,0.9675529634821715
Pozo L10-3,0.9589964509566382,0.033147151371720245,-222.47589482598502,-210.0331103340697,0.9999936938219416,7.961942732007498e-06,0.9935490260832012,314.0,0.9973193357089928,0.9926191023289787
Pozo L10-1,0.3260478978870571,0.18382716871445892,-712.3164832005826,-685.3513789755614,0.9999898311012642,1.2759722006518001e-05,0.013456505970741144,9353.0,1.4579680750832141e-13,0.8515976379640798
