,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.9998819031974499,0.0023114415439248934,-68.97837465732171,-69.4110934648792,0.9999980934023311,-2.4907687645507994e-06,0.9375,13.0,0.5689022852967138,0.9321004448088326
REGLILLA SALADITA CONAF,0.6203687601900879,0.008915485218760805,-319.83752333806297,-304.0023339535019,0.9999984317336494,1.9796182298012818e-06,1.0,333.0,0.9989784463519061,0.9937248957812763
Pozo 2037,0.995535761824215,0.0193377174618507,-70.80535198594698,-67.62218980356002,0.9999758115354418,3.108191131218362e-05,0.8310546875,30.0,0.3811435862926119,0.9269829458186203
Pozo 1028,0.8607417283566102,0.1126686170106847,-4071.1457648615396,-4032.4128410497187,0.9999257767470484,9.304992870556179e-05,0.14385213105486847,207166.0,6.852808854706417e-16,0.957240642016219
Pozo L10-8,0.9401271378348096,0.059540310942322205,-113.77067824589082,-104.68672451845762,0.9999991376389181,-1.093157041313443e-06,0.481952428817749,114.0,0.011996870752819962,0.8839871992763629
Pozo L10-9,0.9410460155535947,0.03995686128431412,-1059.464928158251,-1034.520977658917,0.9999953002504637,-5.8991400425661265e-06,0.9122028885277524,6945.0,0.21458397437066573,0.9889147696783916
Pozo L10-4,0.8868410899730732,0.08670463239140133,-11452.212962899115,-11406.132637452072,0.9999991738081901,-1.0355883204709944e-06,1.3927516434855523e-05,1232863.0,2.9636120551399915e-36,0.9027012474209504
Pozo GD-04,0.24841185799880372,0.22573253986189706,-58.42022162402969,-48.669215025084085,0.9998065232733993,0.000245025491279346,0.8119303584098816,153.0,0.5459076519766706,0.9659858393896702
Pozo L10-5,0.9737538912146073,0.0385587620303644,-211.89003403437874,-199.44724954246342,0.9985223026479159,-0.0018656860953859783,0.954866194690112,311.0,0.9860954816037885,0.9902339790924528
Pozo L10-7,0.9235700866282653,0.057569770239037164,-115.31885287918476,-106.23489915175156,0.9999033096752483,0.00012256781042859543,0.8229274749755859,130.0,0.08064952023568595,0.9238663147105854
REGLILLA INTERNA CONAF,0.9289965518505877,0.009419454525756106,-194.58899250989384,-183.23405035060233,0.9999999750379417,3.164271945392841e-08,0.869666576385498,132.0,0.2978676552740529,0.9503715671765717
Pozo L10-6,0.9745184477454716,0.038030092231041444,-140.93012152769052,-131.50569088490695,0.9999886630722512,-1.436396789167585e-05,0.6033114194869995,131.0,0.19327457874722934,0.9433128087873376
Pozo L10-2,0.907893335968413,0.025432411799223023,-1203.0146466277092,-1178.1187443208569,0.9999968692499301,3.929762964379336e-06,0.7513684574124566,6734.0,0.008212565516363738,0.9774265606150876
Pozo GD-03,0.9601768780853611,0.035809229683254507,-143.8183811082547,-134.39395046547114,0.9999995058323543,-6.261139130874513e-07,0.6230943202972412,132.0,0.18741986359078755,0.9427104469402245
Pozo 1024,0.9104620442338953,0.07223937272103556,-278.31024595557017,-262.10743242968897,0.9813183171594277,-0.023522889477295778,0.844788896987422,774.0,0.00513319908727416,0.9357462366105721
Pozo L10-3,0.9575922936351794,0.03370993222717332,-221.2973932143302,-208.8546087224149,0.9998608464977596,-0.00017568996805849698,0.954866194690112,311.0,0.688349352051473,0.9778571241691033
Pozo L10-1,0.5156238358283437,0.15584273594674217,-783.3303897397053,-756.365285514684,0.999932099594221,8.520001284355429e-05,0.4096283468161258,10857.0,0.0004833455695099382,0.9737268218516008
Pozo L10-13,0.8320006758399671,0.09676414220595074,-1006.9397078663998,-979.8271340278677,0.9999998897639029,1.3831899024730074e-07,0.3161632251156976,11104.0,4.993226163882189e-10,0.9129343833929137
Pozo L10-12,0.7440882075351427,0.1117534453834917,-886.8816084941162,-860.2585991437995,0.9999987827031342,-1.527517054139846e-06,0.28308951776852387,9741.0,5.021189546091735e-10,0.9074414341499277
Pozo L10-10,0.933090524682974,0.02410764527093814,-1220.7751175343,-1195.8792152274477,0.9999982138717787,-2.2419740883592808e-06,0.8522631999295393,6815.0,0.00612149084974534,0.9763546215432556
Pozo L10-11,0.668389209405958,0.1564925809415904,-3266.9016169618944,-3228.616915801831,0.9977598504216885,0.0028084089518902087,0.006294628462419232,175246.0,6.026997449009688e-21,0.9222798410985449
Pozo L10-15,0.8030083763463536,0.07909885748154503,-1115.5273543365615,-1088.2699801648805,0.9999985236129613,-1.8524616720732217e-06,0.838165644834639,12291.0,0.08134225921629032,0.9888547918557952
REGLILLA SALADA CONAF,0.4598785047246403,0.005093191604501542,-317.91043908098254,-303.2530800529853,0.9999837080007721,-2.0584299280603953e-05,0.78912592260167,249.0,0.7039110591933149,0.9768398583487062
Pozo L10-14,0.8388955640399272,0.09458079344514227,-1021.6523751697948,-994.5033547989759,0.9999990544585009,-1.1864141047318885e-06,0.39380649260271794,11349.0,3.9821826572464033e-10,0.911972308150061
Pozo L10-16,0.966402731504095,0.05059540682007433,-151.098090942484,-140.44045486108237,0.9999493646783617,6.405216875138979e-05,0.6455853804945946,182.0,0.06442673845577392,0.9307584261151303
Pozo L10-17,0.9697706608829904,0.04942249956688489,-152.41157209283134,-141.75393601142972,0.9999928126811977,-9.091743501975324e-06,0.5670346617698669,177.0,0.11241574985824486,0.9402882135983056
