,sop,mop
1024,-0.00870037611321867,-0.0025933218885121553
1028,-0.006335364355957725,-0.005289355531586856
2018,-0.006225725069910303,-0.0010920915243052916
2037,-0.0063960575002844,-0.0008321489636188441
BA-17,-0.011886203429317845,-0.011167666847833787
BA-18,-0.008544264995648284,-0.007004190052793809
BA-19,-0.005638364810154517,-0.0046721465550357
BA-20,-0.003721953195115238,-0.0028129969963608136
BA-21,-0.002033720632700208,-0.0020019766842613983
BA-22,-0.0011679541161431469,-0.0010799555764124038
BA-23,-0.006997628321114464,-0.006844633725803077
BA-28,-0.010857625007389963,-0.010241343129898054
BA-30,-0.01214791417720794,-0.011483505789452954
E1,-0.0014672841369485498,-0.0011972939001022515
E2,-0.0019761328240495745,-0.0019113258054486856
E3,-0.003556801443244004,-0.003165948764993451
E4,-0.00627554049130081,-0.0051121261321563595
ES-11,-0.008226738877336786,-0.002321587441570499
GD-03,-0.005095121371885774,-0.004661219761300532
GD-04,-0.005174622187376605,-0.004016311725775804
L10-1,-0.0017083474994575695,-0.0014209070765299353
L10-10,-0.008168534808250815,-0.006737133625673345
L10-11,-0.0070871906564322126,-0.004981212564828135
L10-12,-0.005639062612265734,-0.0018452692596614387
L10-13,-0.00739708604814916,-0.006840875191152804
L10-14,-0.002120264941834219,-0.0021155314045437487
L10-15,-0.0037171373077935816,-0.002137889605109606
L10-16,-0.06855788062974769,-0.038833366625697925
L10-17,-0.005731171099467044,-0.0015753309193005777
L10-2,-0.0012498988145159657,-0.0008426067828866552
L10-3,-0.0036746790470841236,-0.003553787395943627
L10-4,-0.0010824722737234724,-0.0010727995632614559
L10-5,-0.0052534538622420555,-0.004581231635544143
L10-6,-0.006842890709933657,-0.006138829377128732
L10-7,-0.0037249488333617087,-0.002594827104043067
L10-8,-0.06541439214768643,-0.060758437700216196
L10-9,-0.0056578841811631515,-0.004316031142320074
LM-05,-0.0003413431063440298,-0.0003130617441740641
LM-06,-0.0005159982592762174,-0.0004910187410640071
LM-07,-0.00110573298452629,-0.001052994012571915
LM-08,-0.00036149177821423846,-0.00034005177956179854
LM-09,-0.0016173243402908936,-0.001321590314922459
LM-10,-0.0015559933250170568,-0.0015309292601492427
LM-17,-0.009550945603126509,-0.007728741804349827
MP-07A,-0.006613580028203203,-0.00659560799629579
MP-07C-1,-0.0029132474831635767,-0.0027911304554448938
MP-08A,-0.008428973212940092,-0.007473910062514323
MPS-AA,-0.0015086101258355478,-0.0014539622406654282
MPS-AB,-0.006638518341449628,-0.006480912780323095
MPS-AC,-0.001204808653902324,-0.001155809147905776
MPS-CA,-0.00507321536523045,-0.0040760493397139445
MPS-CB,-0.005733199403768272,-0.004678351040251767
MPS-CC,-0.008996378558610732,-0.007902956507611057
PN-03,-0.0045453706562784075,-0.004231169458137232
PN-04,-0.008570788336642217,-0.007117876576639901
PN-07,-2.8945706101650517e-34,-2.70492771235847e-34
PN-08A,-8.809657806546228e-35,-8.17644447457495e-35
PN-09,-0.004883424517954301,-0.004065172347065593
PP-01,-0.0021449921340697827,-0.0020054727536294227
PP-03,-0.0023340239799131634,-0.0013909983735162282
REGLILLA INTERNA CONAF,-0.0005525477539107586,-0.0005143525856196911
REGLILLA SALADA CONAF,-0.00019449774100906026,-0.00016966278243220586
REGLILLA SALADITA CONAF,-0.0003588291608458603,-0.0003014172665804882
Zanja Camino a Peine,-0.0061441452662962664,-0.004336852466466729
mean,-0.006520947947597379,-0.0049901135251354855
