,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.9735313502704039,0.03460427370075836,-31.09289322056398,-31.525612028121472,0.9999986613584931,1.7487939415085074e-06,0.9375,13.0,0.06974287780968898,0.8237340468500278
REGLILLA SALADITA CONAF,0.2561776034213262,0.012479541744705721,-295.6238537840254,-279.7886643994643,0.9999995753345198,5.360540483850532e-07,0.8340569073625375,319.0,0.1814437068301109,0.9576257570239266
Pozo 2037,0.9915238547697787,0.026645920433866783,-63.7526228288406,-60.569460646453635,0.9614490646480742,-0.049559834607834675,1.0,33.0,0.48878165345452207,0.9372547099049088
Pozo 1028,0.8632837700230376,0.11163554580396212,-4088.3895194941088,-4049.656595682288,0.9999898483276572,-1.272663685339831e-05,0.691050278768536,215970.0,1.2312472319032316e-13,0.9673626622909649
Pozo L10-8,0.9036291808929274,0.0755385881972503,-102.82313596186714,-93.73918223443394,0.8361394818282236,0.2093006770040618,0.4633810520172119,113.0,0.1224792177974672,0.9322765546481019
Pozo L10-9,0.9480202366341863,0.03751905867371366,-1080.4906854333835,-1055.5467349340495,0.9999813111300924,-2.345832687028414e-05,0.6742898492365879,6751.0,0.029228902670450464,0.9820275431726956
Pozo L10-4,0.8930133200285845,0.08430683368390507,-11583.741137416968,-11537.660811969925,0.9999946392913219,6.71936859023074e-06,0.026866747805286435,1302760.0,4.166989215468026e-36,0.9037257338821758
Pozo GD-04,0.9607312936825622,0.05159736285302846,-132.21423576500504,-122.46322916605943,0.9985451290228413,0.0018424990363163788,0.2996123433113098,123.0,0.0005755859610342954,0.8234910865846587
Pozo L10-5,0.9746777064433743,0.037874084106986644,-213.14417382071213,-200.7013893287968,0.9999469376100549,-6.699457363461034e-05,0.8271613295655698,301.0,0.8619992227899531,0.9833741311114353
Pozo L10-7,0.9696013782204221,0.03630694936020727,-136.52432122579057,-127.44036749835738,0.9991361346289778,0.0010950641561048786,0.5202305316925049,116.0,0.029990804323996364,0.9035864987305521
REGLILLA INTERNA CONAF,0.7740672362389234,0.016802567212974257,-167.96628532175248,-156.61134316246097,0.9999842832334718,1.9923086000761338e-05,0.776785135269165,128.0,0.03639602616230648,0.9076152295715098
Pozo L10-6,0.970447981209519,0.040955102353244545,-137.37338608899736,-127.9489554462138,0.9997812032736366,0.00027721700833071016,0.45587432384490967,123.0,0.006423990774263906,0.8744028241834777
Pozo L10-2,0.919193181430733,0.02382133105729173,-1224.7417138166272,-1199.8458115097749,0.9999965242135516,4.362857638711446e-06,0.6780017179269947,6673.0,0.03491090545814307,0.9825466506379124
Pozo GD-03,0.9339624948127807,0.04611292340883056,-131.67977763285853,-122.25534699007497,0.9980978616840754,0.00241002517602896,0.26434290409088135,110.0,0.0004725360538596764,0.8123693956252251
Pozo 1024,0.9175297060866953,0.0693296727033006,-282.91481613182754,-266.71200260594634,0.9999988156293025,-1.491150744125729e-06,0.8639888451002301,777.0,0.2015252553911122,0.9713040472859915
Pozo L10-3,0.9627576346878297,0.031590326548673185,-225.84330289920976,-213.40051840729444,0.9998804013183077,-0.00015100078833070796,0.9935490260832012,314.0,0.8009685585107619,0.9813102775752579
Pozo L10-1,0.35533279321472544,0.17978893987784045,-721.8678190924652,-694.9027148674439,0.745143991036039,-0.3254691954816037,0.24309401360421612,10544.0,3.519018209098455e-07,0.9460793623560887
Pozo L10-13,0.8017301505792412,0.10512088829255321,-970.6581920163429,-943.5456181778109,0.9999729323584203,3.3963184006877904e-05,0.9117883898745073,11941.0,0.0022163116232297355,0.9787892009737758
Pozo L10-12,0.768308202108607,0.10633374308148033,-907.3631159140946,-880.7401065637779,0.9999980122674876,-2.4942932139676304e-06,0.5442137837883477,10141.0,1.7628602769437124e-10,0.900572264387276
Pozo L10-10,0.9428676046478497,0.022276768758638956,-1246.998019871413,-1222.1021175645606,0.9480724404265801,-0.0652267286293733,0.949217409426101,6891.0,0.00045663328184572375,0.9662500777741214
Pozo L10-11,0.8247215237848283,0.11377418171889746,-3831.1651932522054,-3792.880492092142,0.9999920218419621,-1.0001966468661453e-05,0.402463064233088,189659.0,7.025621621769765e-14,0.9643506250599011
Pozo L10-15,0.8016528961627138,0.07937052671902457,-1113.9981681252873,-1086.7407939536063,0.9999989860445075,1.2722366410739533e-06,0.4846947098563802,11814.0,0.0005613010742069458,0.9750779386792103
REGLILLA SALADA CONAF,0.33452069182574096,0.005653424050251743,-311.2316090105931,-296.57424998259586,0.9848862123750595,-0.019096873441765173,0.78912592260167,249.0,0.25330628191949756,0.9587200516902828
Pozo L10-14,0.8098360097947914,0.10275745616438105,-985.1688993512281,-958.0198789804092,0.9999863078217948,-1.7180201360277615e-05,0.9384383589906977,12082.0,0.0023603370042656444,0.9790623898683505
Pozo L10-16,0.9549747881346883,0.05857158677604657,-142.90031176814432,-132.2426756867427,0.9999571452991378,5.420991596477263e-05,0.7281656339764595,187.0,0.3106273930588253,0.9579036341610531
Pozo L10-17,0.9585616669935024,0.05786440850083069,-143.58055622816124,-132.92292014675962,0.9999988199284585,-1.4927552352023044e-06,0.8489041775465012,194.0,0.5407068890380631,0.9684889058871029
