,R²,RMSE,AIC,BIC,p-value zero,t-statistic zero,p-value wilconox,statistic wilconox,p-value shapiro,statistic shapiro
Pozo 2018,0.6450666468161401,0.12671769106966368,-12.921110005305394,-13.353828812862888,0.9996570346746412,0.0004480480423407467,1.0,14.0,0.8050511264920195,0.9584178093411309
REGLILLA SALADITA CONAF,0.6203089805200177,0.008916187141744835,-319.83185494601815,-303.99666556145706,0.988499684761984,0.014517340252891187,0.9073552150803152,325.0,0.5216187165696253,0.9732781957461769
Pozo 2037,0.9954110743048069,0.01960591181334868,-70.50233097208434,-67.31916878969737,0.9997481766630328,-0.00032359022855617427,0.8984375,31.0,0.3215655406536172,0.9203499532660797
Pozo 1028,0.42540073926617705,0.2288626880427998,-2744.513108542862,-2705.780184731041,0.9994022323310282,0.0007493910856746612,2.171646186368021e-09,169748.0,1.711532117021503e-29,0.8420335055102047
Pozo L10-8,0.973257785320874,0.03979190892950195,-132.3082173070116,-123.2242635795784,0.9999710571239238,3.668893396346596e-05,0.6010458469390869,120.0,0.3268492632653465,0.952331001338235
Pozo L10-9,0.9375450385118275,0.0411261691213666,-1049.8309543670798,-1024.8870038677458,0.9993710998818689,0.0007893974409861823,0.910935726869604,6944.0,0.01475109436588587,0.9796390633598848
Pozo L10-4,0.6578937782004501,0.15075732047670937,-8857.873416793309,-8811.793091346266,0.9999957949856935,-5.270766003067304e-06,5.962492675626771e-10,1172316.0,2.929383463759851e-38,0.8879414518562116
Pozo GD-04,0.9771975721806648,0.039318301916620266,-145.80325854432402,-136.05225194537843,0.9999857372915992,1.806277766858407e-05,0.9158032536506653,158.0,0.5082296257618404,0.9643730842437512
Pozo L10-5,0.9726130493389203,0.03938786669234917,-210.40082234532193,-197.9580378534066,0.9999704695084124,-3.728408566095236e-05,0.8778985550743528,305.0,0.9979797409929684,0.9929322566209374
Pozo L10-7,0.9729828841588625,0.0342280616046715,-139.23663500338432,-130.15268127595112,0.9992632794556884,-0.0009338911388686441,0.7090141773223877,125.0,0.5742885004575073,0.9651327891948381
REGLILLA INTERNA CONAF,0.8393905119193865,0.014166795759134772,-175.8153014501865,-164.46035929089498,0.9999999876269874,-1.5684434435498336e-08,0.8932116031646729,133.0,0.24630175010086103,0.946424133095686
Pozo L10-6,0.9546638661654104,0.050726708052468095,-127.1025306100795,-117.67809996729594,0.9997483028367455,0.0003189020972295357,0.3305051326751709,115.0,0.0014320598403974882,0.8399701909827443
Pozo L10-2,0.907366002340507,0.025505111342855595,-1202.0669654926412,-1177.1710631857889,0.9999931668708375,-8.577042981711068e-06,0.7562675292603115,6738.0,0.008236494436808824,0.9774371110975554
Pozo GD-03,0.9601512093786457,0.03582076856443756,-143.80291646173433,-134.37848581895076,0.9998787979323024,0.00015356388030942833,0.6634435653686523,134.0,0.23379303347573618,0.9470609609406281
Pozo 1024,0.9025538325431451,0.07536205983557179,-273.5705473710565,-257.3677338451753,0.9999995360088862,5.841757956606099e-07,0.9869837539221719,796.0,0.168128032599454,0.9695779108980913
Pozo L10-3,0.959564046483455,0.032916930584564894,-222.96377022995566,-210.52098573804034,0.9998405283569138,-0.00020134288735428892,0.9419905297108926,310.0,0.883852317944466,0.9841906610380824
Pozo L10-1,0.4455475980823913,0.16673520843434217,-754.2797703598127,-727.3146661347914,0.9999829572500409,2.1384887131173654e-05,0.620637035031978,11158.0,1.9507192946097219e-07,0.9433655431058723
Pozo L10-13,0.8486995580354715,0.0918291960278701,-1029.8673466713128,-1002.7547728327808,0.9966889795477987,0.004154522346915997,0.12929810680406068,10621.0,1.2242879127237601e-14,0.8323146962603208
Pozo L10-12,0.7521318666450603,0.10998314141513624,-893.460412136616,-866.8374027862993,0.9544388112879627,0.05720349513604178,0.2362920258634107,9646.0,1.4878825163909914e-10,0.8994292856024413
Pozo L10-10,0.931845321250802,0.024330936083669923,-1217.714207290194,-1192.8183049833417,0.9999181068764077,0.00010279343848003486,0.9082182884641019,6859.0,0.02034955208012571,0.9806634927279203
Pozo L10-11,0.8297663792742386,0.11212490661060096,-3857.0109709689177,-3818.7262698088543,0.9999957027401535,5.387339870632595e-06,0.5766646948501993,191781.0,1.226203483563572e-13,0.9654103887289576
Pozo L10-15,0.746631552129366,0.08970622808592008,-1059.4019256495455,-1032.1445514778645,0.9998846059124202,0.00014478799905902828,0.1896912905946586,11223.0,3.730482637774125e-09,0.9258533043524563
REGLILLA SALADA CONAF,0.3133306125582618,0.005742726418089789,-310.2285565242078,-295.5711974962106,0.9999535660269592,-5.866749592746755e-05,0.9045956083573401,257.0,0.4066189424254957,0.966408527871547
Pozo L10-14,0.8319445745984624,0.096599632102511,-1012.359352342756,-985.2103319719371,0.9999976928885701,-2.894838084120083e-06,0.30179497318497983,11179.0,4.44129867686951e-11,0.8980612617890298
Pozo L10-16,0.9672002909101584,0.04999126231644018,-151.7707943797978,-141.11315829839617,0.9991418449171195,0.0010855407561626432,0.6455853804945946,182.0,0.05591987178259733,0.9283171439456854
Pozo L10-17,0.9607762101042254,0.056296987620821325,-145.11839806243157,-134.46076198102995,0.9999999658640839,-4.318091372449624e-08,0.8665077835321426,195.0,0.4301273741391339,0.9639287880784053
