,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
1024,0.30229353851501917,0.17966734162953998,0.19797066785824305,0.10032396589582032,0.13857946750077013,0.3132768079472481,0.0982688303353282,0.12939492058237123,-551.0601511545136,-576.8679612086139,2.1345583697755734,9.608104265888905e-05,No Válido
1028,0.05930191443682553,0.22799612065373778,0.23411908770522236,0.07607837957244162,0.16388336139365564,0.1854303490693665,1.401405339587897e-106,0.19050561047469705,-15745.481105576884,-15795.484251419386,1.446156383126194,7.972362145905789e-30,No Válido
2018,0.31500246944463484,0.17012816580560788,0.18960608391335684,0.08677984492364844,0.1327242587393498,0.2983660690581914,0.09962485585594733,0.12661638855388446,-606.6483848195039,-632.5936021227812,2.00146705795608,0.015019647506311021,No Válido
2037,0.28625560145964857,0.1774923577341204,0.19361923904595926,0.08369116762320596,0.13553346733217148,0.2584401905808493,0.12376855521310752,0.13330455326137108,-592.1300661706217,-618.0068420794321,2.7289463487961783,0.012443317755501202,No Válido
BA-17,0.4203728821291335,0.14063162389427292,0.1854610899109544,0.12211254125741815,0.12982276293766806,0.5038610450017151,0.01747960351180934,0.10547460275869162,-574.7006223129353,-600.1554459486559,2.537288131481917,1.4106594721755847e-06,No Válido
BA-18,0.2627222035231914,0.18728482843982644,0.21903028198350588,0.1161180218492699,0.1533211973884541,0.3302810529372622,0.991641931977831,0.1298502030453316,-513.0526973631079,-538.1401230481463,1.6578207796675788,8.355128735682808e-06,No Válido
BA-19,0.2723929824260525,0.17627920568437766,0.20752469665051204,0.10915119877569468,0.14526728765535843,0.3242243882638933,0.9436289871659822,0.12246497441616384,-537.8072085106176,-562.894634195656,2.2751350733858513,2.5600261442065373e-05,No Válido
BA-20,0.2341029455971072,0.14408247031308508,0.16533850982349108,0.07930754673024182,0.11573695687644374,0.28574301878070496,0.9753631127608048,0.10017280006734265,-529.2630180394907,-554.1991796596817,1.3110055961726474,7.357014805957929e-06,No Válido
BA-21,0.08476482093223481,0.03683636020488711,0.03867144792425974,0.015305452088543257,0.027070013546981818,0.09154603952531315,0.37060414265329444,0.027539226021158825,-821.2418840587367,-846.024195778694,1.3978387638058638,3.1711209551808148e-06,No Válido
BA-22,-0.0008504675401492801,0.014299483961275302,0.014359427921549565,0.006667726793709936,0.010051599545084696,-0.27871146574617955,0.6887289736568851,0.011314457664495188,-926.1460509889578,-950.36818192902,2365.6000811015424,0.15796054277362093,No Válido
BA-23,0.22419601060552907,0.08262161426025881,0.09419651035481956,0.05107908058179121,0.06593755724837369,0.3086768988735086,0.3325543862695389,0.062284457479358936,-701.3330442083501,-726.4204698933885,1.7569203397460957,2.728742920048972e-05,No Válido
BA-28,0.13986388486027912,0.031897691409320875,0.03452753156607063,0.010771277168821264,0.024169272096249438,0.06670473952973854,0.7007321187692321,0.02547699990805967,-919.4968493758813,-945.2351610151363,14.381327937789214,0.7754886936081744,No Válido
BA-30,0.06405804231023693,0.02982817356106304,0.030951309213671188,0.007362336840890686,0.02166591644956983,-0.10235463610132278,0.3331359918093115,0.0248969961783202,-963.3071203924524,-989.1149304465526,6.6252713340856895,0.0014722973278540005,No Válido
E1,0.577441649228308,0.03654134368520232,0.05660259606481297,0.04033265631998782,0.039621817245369076,0.6355543271302477,0.1617746004183509,0.020779309935508923,-473.15854269048754,-493.77267766082304,0.7389998565929844,1.9372184386599943e-11,No Válido
E2,0.3473771695892418,0.029993797925780524,0.037368207749121786,0.01827088220412052,0.02615774542438525,0.36694789362575075,0.4013252368563991,0.01815908697670192,-524.1603350372739,-545.3707144774802,0.49006191966287777,2.0647135912378892e-10,No Válido
E3,0.384815577718693,0.03191713871677755,0.04095653666312083,0.02434477040623399,0.028669575664184578,0.39480445093173877,0.3228200543839381,0.020543117854330356,-515.2381160105376,-536.448495450744,0.8225623810446434,4.756876669354722e-09,No Válido
E4,-0.02537854708808629,0.04554945580058069,0.04527720875080789,0.0010859900419265675,0.03169404612556552,-0.4764187448409474,0.3894414976906718,0.031094072974203253,-491.9649153234292,-513.0591641201123,0.38678305101752913,1.5041547848042354e-07,No Válido
ES-11,0.19121712485089415,0.2012865821227165,0.22461226527802178,0.09979560800080377,0.15722858569461523,0.335435534825851,1.1852409669771836e-07,0.16668935462849782,-716.285861676288,-742.8883051946993,8.132374246743733,0.03108530233206763,No Válido
GD-03,0.3451611533786282,0.1274073363923981,0.1403964527637479,0.0791151781690023,0.09827751693462353,0.3514464548657735,0.0013068545837193336,0.10425023062290216,-503.58087119021843,-526.5657632146233,1.5091509459539958,0.007602762259096617,No Válido
GD-04,0.21471005522813758,0.17302034262553054,0.17994334810469276,0.05896199772402253,0.12596034367328493,0.1854467327709992,0.01796875234721689,0.13448394630259788,-484.80198110823073,-507.6916341486608,5.37116550975239,0.4501878638755776,No Válido
L10-1,-2.1627770292683635,0.45138657451515896,0.23271137119472327,0.12727779975544665,0.16289795983630628,0.09465699240783976,3.8823005235430944e-21,0.4022179817679283,-738.2157091126021,-764.2288512665979,4.3159077798304954,2.0455443365915913e-08,No Válido
L10-10,0.2325220608286228,0.08395194054871882,0.08661997652927547,0.028422629239337544,0.06063398357049283,0.24472894620934305,0.0012225065980597776,0.06592638020212224,-694.4081393358537,-717.2977923762837,1.6260228425652914,7.557416630081934e-05,No Válido
L10-11,0.0905808859884466,0.23090717746901326,0.24120134008926283,0.08586554431970117,0.168840938062484,0.2061456786334942,1.17692320413896e-103,0.19049187336237458,-15325.506402430465,-15375.51895757858,1.4772722829419653,3.324630036353508e-31,No Válido
L10-12,0.28662106252991637,0.1807435955802341,0.19845109079134104,0.08317997093077736,0.13891576355393873,0.25462444308941046,0.09354630967450013,0.13759499681038906,-593.262151771818,-619.1389276806284,2.8709853973046364,0.046152463729741786,No Válido
L10-13,0.2853671060866818,0.17729085277102036,0.19975817448066485,0.10838296220177798,0.13983072213646539,0.2724548055051931,0.07510880567748195,0.13462057020208026,-654.2466585515529,-680.2598007055486,1.8972200163202033,0.008947022058288932,No Válido
L10-14,0.32630451391156656,0.1712505320617213,0.20007417161795019,0.1108262053096654,0.14005192013256512,0.30272344713979527,0.04071007960623676,0.13001964626138615,-660.8007584022957,-686.881316601854,2.2842742259460604,0.007822955940642773,No Válido
L10-15,0.2703711967248923,0.14915235588012413,0.16283699495858747,0.05471089576003162,0.11398589647101122,0.20573845272766267,0.17271814309414613,0.12210353563498896,-852.6908173558709,-879.72633410938,4.086867022501482,0.0036482239263638076,No Válido
L10-16,0.2962208778783165,0.1747245266768062,0.19561210586440372,0.0850252663922651,0.1369284741050826,0.25413827416634227,0.7025860141419209,0.13398757633892183,-665.4341166014258,-692.0365601198371,2.543308061072528,0.027384426927130997,No Válido
L10-17,0.2756562441234126,0.18290548983770924,0.20298488456996708,0.09028015569578722,0.14208941919897694,0.24528416453430602,0.5432694042043186,0.1380709224301177,-637.3104423343204,-663.9128858527318,2.1836895916957957,0.00679011786792744,No Válido
L10-2,0.5101215090728909,0.06345966767339999,0.08094120764922762,0.04996512162053143,0.05665884535445933,0.456394506062058,0.09006877016441979,0.054835279675908746,-696.0507360570587,-718.9403890974887,2.055700548182664,0.0027931801845002017,No Válido
L10-3,0.34302143685047726,0.13324609931850812,0.14891728628046164,0.08970936307981257,0.10424210039632315,0.33272387801211845,0.6557116057745183,0.09855846441696486,-735.8316575586587,-761.9791305646046,1.5444424557697256,3.4154677300458162e-06,No Válido
L10-4,-0.04307225772515855,0.23409424247860475,0.22823267059918284,0.05236031799465993,0.15976286941942797,0.12331781526873986,7.036213264711682e-102,0.19612326201895264,-16937.300748107347,-16987.29918560551,2.2877536157820053,2.866143191701596e-21,No Válido
L10-5,0.3691204358147021,0.16576235744955653,0.19849640237107227,0.1135929001953311,0.13894748165975057,0.34769300030084316,0.02421732029300069,0.12351483327635414,-644.9045683713599,-670.9177105253557,2.1410013091823537,0.00017129620716969013,No Válido
L10-6,0.3473275255636207,0.15813372951878915,0.1813471668395759,0.0858132978968885,0.12694301678770314,0.3197043744693733,0.012884502636654,0.12108949662135847,-492.34998809850015,-515.334880122905,3.5050411228609177,0.5160369601539495,No Válido
L10-7,0.4358079970922717,0.13552512432058655,0.1635779061500951,0.09564759573898216,0.11450453430506656,0.40654010829998366,0.050555983385458136,0.1068622727918719,-453.55994512680843,-476.44959816723843,1.8065450739933782,0.0016071521546193203,No Válido
L10-8,0.38450615260617405,0.152295627211157,0.18080860914655175,0.09577080596961485,0.1265660264025862,0.36206024685308835,0.007445094657031663,0.11697284871123356,-499.44491053834565,-522.4298025627505,2.092611088428288,0.30358101487263234,No Válido
L10-9,-2.7563883619322262,0.30517312936854585,0.1452704640374962,0.07458329217098278,0.10168932482624733,-0.5665260620663424,8.358523752950021e-14,0.24477806444996722,-671.1434992753777,-694.1283912997826,1.0804698371559998,1.1033876925077744e-05,No Válido
LM-05,0.9440950060116634,0.004403064659950942,0.018859381804630787,0.015114791587357628,0.013201567263241551,0.959319838763829,0.826382224491681,0.003503637952996997,-409.12085714511596,-424.3207722321414,1.818532772380287,0.839846900936398,Válido
LM-06,0.10103775353726152,0.013465073146006744,0.014319481170202151,0.005231428039207698,0.010023636819141505,0.0389546569250705,0.16897600838431603,0.0063987663501482855,-488.5479874704678,-507.5458522480276,4.091125372452512,4.0792484978020337e-13,No Válido
LM-07,-7.286324653854592e-06,0.017768771308768763,0.017888362516300372,2.144141850261301e-12,0.012521853761410259,-0.4658844143064049,0.0160111965489111,0.006708466805697147,-565.9866048048252,-586.843997826652,inf,1.2572905243753602e-16,No Válido
LM-08,0.031874614089619446,0.0127107719105172,0.013027339786788763,0.002291284363215625,0.009119137850752133,-0.16882748593264885,0.07976323100353151,0.005468247594512831,-487.1813283584262,-506.0304294184251,1.8423434409814679,1.202157611058458e-13,No Válido
LM-09,0.2563284345240764,0.041775710932800164,0.04875680063053515,0.021655413269102884,0.0341297604413746,0.28947442411250546,0.05237932086641035,0.02511394014553703,-473.08094525899844,-494.2913246992048,0.3170613724099413,2.0080670975958464e-11,No Válido
LM-10,0.2364921005823628,0.04249447525511871,0.048973684287987325,0.02345489296687634,0.03428157900159112,0.2616897366095583,0.17985723282252541,0.023921414948884175,-430.7707775077866,-451.2607725789311,2.2427291386914296,1.4817581249979089e-10,No Válido
LM-17,0.0011512306683610918,0.16036340267893523,0.1623547412781928,0.12028398550900606,0.11364831889473495,0.1544291414921829,0.5945396126626292,0.12989968694327492,-178.26742251658186,-194.1182235578239,3.2389611528536935,0.4336885105220762,No Válido
MP-07A,0.46904232126061574,0.05112457109323908,0.0705223694055683,0.05456486907223772,0.04936565858389781,0.592293180858738,0.003987406590466234,0.04389075877613359,-644.1468192993846,-667.4115266074197,1.15147607187841,0.048404429948757974,No Válido
MP-07C-1,0.2944272519429205,0.04343349812723931,0.051984798166870884,0.0252955209173651,0.036389358716809615,0.3203038079773328,0.4450971625513517,0.035558735055808054,-638.7689723872979,-661.658625427728,0.8533918750708321,0.7324014718626082,No Válido
MP-08A,0.3862941243057848,0.048779457831754865,0.06255986235650939,0.045020698319271836,0.04379190364955657,0.5415252279972985,0.7138089658266662,0.039367903970070686,-690.1347137046448,-714.1901732148019,1.383745990026983,0.5708931772309253,No Válido
MPS-AA,0.06521251286838081,0.03353499868251497,0.03482804353068471,0.007590214297375571,0.024379630471479292,-0.04594111031654857,0.6410046184812258,0.024467862566918155,-900.8531389026241,-926.0893283052234,inf,4.703568237049664e-06,No Válido
MPS-AB,0.0634167937356993,0.0340780431270689,0.03535928928643491,0.008379010256345016,0.024751502500504438,-0.015233006616125033,0.20453770598005439,0.02492909503372393,-876.3155720429863,-901.477686953357,922.0321259049977,5.611697756433665e-05,No Válido
MPS-AC,0.10942587205461574,0.03157118330240587,0.033593703496328634,0.008888137187965136,0.023515592447430043,0.02377682516764279,0.8088983780989675,0.023280793790265365,-869.0779675355553,-894.240082445926,3.7986891300811525,0.00031549057416751586,No Válido
MPS-CA,0.16028285917681262,0.1835105048752506,0.20110686590474383,0.04211641556203825,0.14077480613332066,0.11730833208418479,0.07135174481678795,0.14336085168301413,-524.1641621421594,-549.1762735801632,57.872978234106,9.88274367422899e-07,No Válido
MPS-CB,0.20582834932476324,0.1878458241888206,0.21167854034787692,0.06787872136216726,0.14817497824351383,0.2359987185678557,0.005817693947350233,0.13536750417959317,-518.1737090229458,-543.1858204609496,0.9974733860177928,1.3409544414360457e-05,No Válido
MPS-CC,0.16219696841412157,0.18963015273875516,0.20805056911877165,0.08153995327199809,0.14563539838314016,0.263673343396838,2.1295788851456215e-05,0.13836831164033878,-528.5414902205738,-553.5536016585776,1.7914800781792628,0.0002881731267111385,No Válido
PN-03,0.3228511154217062,0.18525374169124892,0.22614659419030397,0.10947766644208917,0.15830261593321276,0.34368065488673594,0.2111296509067293,0.14711117994621575,-511.52143780844125,-535.9072096202523,7.327994956429905,0.20552893624098967,No Válido
PN-04,0.3454773278944345,0.1872717085055327,0.23268054688483328,0.16407456584349,0.1628763828193833,0.5321049471270622,0.03871668102929493,0.15372271309349542,-473.8196965982617,-496.99209540479217,1.5275348256010612,0.21139171036368948,No Válido
PN-07,0.21556877248003614,0.1947282926672058,0.22098163291590034,0.15215846997755203,0.15468714304113024,0.4549436400672531,0.0987575529818462,0.14933065133640175,-506.21900441601053,-529.5750830672218,2.1191773611727447,0.021205025496579804,No Válido
PN-08A,0.03600350854618828,0.20619317079939994,0.21073126652041402,0.011921712532193934,0.1475118865642898,-0.10191068901045885,0.2972964071785462,0.17079272067394724,-734.7551469938346,-761.6076065892096,483.87184747045103,0.009562750282140653,No Válido
PN-09,0.2771246691883934,0.18438552655531373,0.21788838608815622,0.12997947262100118,0.15252187026170935,0.38416618761162935,0.6455264778566099,0.1406250793602764,-517.7808084776794,-541.8362679878365,2.1206063479239887,0.03488726376006538,No Válido
PP-01,0.11815129571412031,0.06249148184265233,0.06685944061878794,0.03262878040477861,0.04680160843315156,0.18332940705090972,0.08287010873177458,0.05174192530683574,-617.8457611456056,-641.9012206557627,1.977331265575418,0.021678639714106468,No Válido
PP-03,0.097049621337162,0.045447162862710125,0.04805225693901444,0.01195384688948659,0.033636579857310105,-0.021723585053306627,0.9306521781312624,0.03598419280570792,-684.4559347025936,-708.5113942127507,2.176078265266833,0.1770422159733912,No Válido
REGLILLA INTERNA CONAF,0.556754002580123,0.011315866899974868,0.026232840196192684,0.022386607740360772,0.018362988137334876,0.6408810593925065,0.734375,0.008846014690485996,-60.88765564641419,-62.66267684244016,0.5336016831270493,0.02265000903940779,No Válido
REGLILLA SALADA CONAF,0.12406359152039126,0.0077807218563135045,0.008042910281554305,0.9428935055738544,0.005630037197088013,0.0923261678069146,0.06691826332826167,0.005900054211545412,-303.9583417672381,-317.69558648878353,595398.9719152896,0.0014523729249708837,No Válido
REGLILLA SALADITA CONAF,0.11858234210116292,0.007564444453431122,0.009779366354209118,0.027919127242990487,0.006845556447946382,0.0761283574047954,0.8527725199924134,0.005276807333811597,-382.07081900777257,-397.7098455723229,33.99553305176513,0.0016957547980574856,No Válido
Zanja Camino a Peine,0.3628405017293099,0.1425208810701078,0.16612209553842608,0.07948417535542508,0.11628546687689825,0.34784880467275514,0.0007207618599803163,0.10791978582813551,-844.9743273556094,-872.4805396037442,1.7871311161635686,0.0004623710266811417,No Válido
Summary,,,,,,,,,,,,,Total Válidos: 1
