,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
1024,0.6619669252408427,0.12505825584278946,0.19797066785824305,0.16624720748016852,0.13857946750077013,0.6913475169936838,0.2622112304663826,0.08164837739963192,-550.7021328425781,-585.1125462480451,0.5994496401478255,1.7458065360204993e-10,Válido
1028,-0.026612184218473667,0.23818013365495835,0.23411908770522236,0.15760016687649106,0.16388336139365564,0.3067561851172602,2.3464163908737003e-119,0.17150675295464402,-15694.658390748247,-15761.329251871583,0.2801077899032413,4.4218297593669657e-35,No Válido
2018,0.4960900950493984,0.1459177634427308,0.18960608391335684,0.13757813865417473,0.1327242587393498,0.5509052701342549,0.41355173739209383,0.113503542249036,-591.3993958523286,-625.993018923365,0.4437749772513004,0.009446875935931024,No Válido
2037,0.5397478650780383,0.1425299746233458,0.19361923904595926,0.1445027416388339,0.13553346733217148,0.5957343188937527,0.7012467803769513,0.10848979503562979,-581.6824902057373,-616.1848580841511,0.5178693071799411,0.12931343339529813,No Válido
BA-17,0.5732899669667817,0.12066326453684836,0.1854610899109544,0.15579556390003185,0.12982276293766806,0.6560712096859707,0.010729104888885723,0.0908592742117944,-576.339183752491,-610.2789486001186,0.6101179738973888,2.2260773856522863e-06,No Válido
BA-18,0.6081721614776916,0.13653206667980972,0.21903028198350588,0.16536524321898216,0.1533211973884541,0.6616203229752526,0.014869240872751047,0.09368698398125919,-516.9285941658198,-550.3784950792044,0.6370940885772035,1.1429085426986782e-09,No Válido
BA-19,0.6490597777447942,0.12242474800976923,0.20752469665051204,0.16040358492395806,0.14526728765535843,0.6923606511995382,0.05327003502087651,0.08512362045057292,-545.3702953646005,-578.820196277985,0.6876688402381865,7.684169967526744e-09,No Válido
BA-20,0.5772148350424917,0.10704978916591089,0.16533850982349108,0.12089940366658312,0.11573695687644374,0.6353355145244335,0.0713443728851328,0.07410493640731211,-534.6422611267716,-567.8904766203595,0.5515393368427477,5.117371413965179e-07,No Válido
BA-21,0.20481217232232818,0.03433564581520306,0.03867144792425974,0.018462396008202445,0.027070013546981818,0.2199244495829562,0.35462988694688646,0.025928692493062826,-807.3162404767083,-840.3593227699847,0.44921680374917594,0.0019020245096668068,No Válido
BA-22,0.02763341532436303,0.014094535886471084,0.014359427921549565,0.006009081315808193,0.010051599545084696,-0.17621847587843198,0.7133767579935726,0.011033635641720684,-919.2157746197561,-951.5119492065058,6.240170438370334,0.26031765120913264,No Válido
BA-23,-0.016039551013356634,0.09455249181974802,0.09419651035481956,0.08936725628349158,0.06593755724837369,0.503628377289328,1.5895661099283013e-05,0.07817904706071582,-695.1171250256406,-728.5670259390251,0.8139446772394111,0.029476530977158265,No Válido
BA-28,0.20048944970540117,0.030753019256589725,0.03452753156607063,0.011874930906128045,0.024169272096249438,0.14627452414673991,0.6593953477089459,0.02431525519240276,-905.9371528601049,-940.254901712445,0.9919713434230999,0.7337768862272123,No Válido
BA-30,0.08548170207978933,0.02948481469672029,0.030951309213671188,0.00864447768585557,0.02166591644956983,-0.019943309340407334,0.4438812534563904,0.02438813909886379,-951.1535018218996,-985.5639152273666,0.5056080652985867,0.0033601395051385844,No Válido
E1,-0.019696392394344286,0.05676447297237783,0.05660259606481297,0.030134792664625827,0.039621817245369076,0.09469707254310611,0.7770816810883159,0.048059502728517126,-470.93410419251114,-498.4196174862918,0.29348929385982664,7.232556358960577e-06,No Válido
E2,0.3433066385490944,0.030087190997215,0.037368207749121786,0.01716275880437234,0.02615774542438525,0.3958507219333516,0.4871712770434782,0.021134717566149982,-543.2565685256502,-571.5370744459253,1.11017970752224,0.0013739809917318697,No Válido
E3,0.28044404143112744,0.03451863178144859,0.04095653666312083,0.020533441464909825,0.028669575664184578,0.27612591521978347,0.36335682854160467,0.022596765882542218,-498.23481445432594,-526.5153203746011,0.6822982021059827,4.384062919591358e-08,No Válido
E4,0.4703467718163641,0.03273685018904225,0.04527720875080789,0.030609736679522905,0.03169404612556552,0.5416399042982427,0.5713002663696997,0.01744428966329398,-499.0103436016503,-527.1360086638945,0.6643310968328868,8.64958301680085e-12,No Válido
ES-11,0.7423320989007183,0.11361325746342721,0.22461226527802178,0.18106615094461317,0.15722858569461523,0.8088716634981455,0.2754876412744075,0.07804658569797615,-685.7053460267038,-721.1752707179189,0.4346470185935954,2.6779624644248215e-09,Válido
GD-03,0.6938361480521547,0.08711725356611043,0.1403964527637479,0.12165600921976379,0.09827751693462353,0.7692441138261583,0.1519213674022576,0.0719574184068542,-495.7585663463615,-526.4050890455679,0.6378644912852647,0.0010847842825716344,Válido
GD-04,0.7932752965460518,0.08877247702818501,0.17994334810469276,0.14999886920914388,0.12596034367328493,0.8237655469960745,0.24469430225239153,0.07154902259610048,-485.0903163758231,-515.6098537630631,0.8078208972645614,0.0020895665362467555,Válido
L10-1,0.38644974520754616,0.19881054701614956,0.23271137119472327,0.7351134122806137,0.16289795983630628,0.612243429221516,1.87251008008404e-06,0.15637029406585648,-678.7282809159716,-713.4124704546326,25.726263250310904,0.0018113878189387007,No Válido
L10-10,0.8905323359649118,0.03170594590108377,0.08661997652927547,0.07393537261654179,0.06063398357049283,0.8893154178822795,0.33530982339283666,0.024119097868403147,-684.0498593105951,-714.5693966978351,0.8673040242762816,0.020002941534781337,Válido
L10-11,-0.004283151675856356,0.24265178035260557,0.24120134008926283,0.15788367627677238,0.168840938062484,0.3100383823623104,2.4372447158321505e-119,0.17355197163268943,-15257.43745309059,-15324.120859954744,0.29166442388792446,2.224214964558635e-35,No Válido
L10-12,0.6928286223081895,0.11860231033659853,0.19845109079134104,0.16244199323803102,0.13891576355393873,0.707138392947332,0.30448481112192116,0.08345187211692667,-591.5185954495574,-626.0209633279712,0.714046704551001,2.2337517267675768e-08,Válido
L10-13,0.6600314819834271,0.12228246331387362,0.19975817448066485,1.502838878246396,0.13983072213646539,0.7689371383386082,0.8582978228257633,0.08763297101695502,-639.5653167409257,-674.2495062795867,51.43036525617501,0.0009888844470091166,No Válido
