,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
1024,0.5137790187474169,0.1499856181079472,0.19797066785824305,0.13671223854766085,0.13857946750077013,0.5378619166261487,0.5342135592646751,0.11333520635447573,-548.9559588369831,-583.3663722424501,0.8299156234934962,0.0001679704138133267,No Válido
1028,-0.20779306652787444,0.258344127283102,0.23411908770522236,0.22006452951314392,0.16388336139365564,0.6184191983318762,1.8804588650313246e-235,0.1998424649290666,-15830.296647931862,-15896.967509055197,0.28332131250754344,2.730031846487712e-24,No Válido
2018,0.5120782770790168,0.1435842466291015,0.18960608391335684,0.12873472543233283,0.1327242587393498,0.5369331124601633,0.6317684554843758,0.11374429015296013,-602.5183377391264,-637.1119608101628,1.002327853143338,0.047769884230763546,No Válido
2037,0.5167750788390542,0.1460437459663878,0.19361923904595926,0.13000753758145678,0.13553346733217148,0.5281389811185402,0.6826075039080877,0.11509857877493976,-590.1290429502503,-624.6314108286641,0.9535171544430082,0.015990029923495373,No Válido
BA-17,0.5009102656884508,0.130496229124179,0.1854610899109544,0.15889386749267573,0.12982276293766806,0.6894159202604906,0.5273880447319644,0.10258027284478521,-591.990522566953,-625.9302874145807,0.8552011287124128,0.016264772283504467,No Válido
BA-18,0.550338008431589,0.1462615292037137,0.21903028198350588,0.15504160472950324,0.1533211973884541,0.6055454870399293,0.06716183685661989,0.09929564317007286,-514.4120333799954,-547.8619342933799,0.8084514729530847,5.309848217954638e-12,No Válido
BA-19,0.4897677398082736,0.14761707730318938,0.20752469665051204,0.1426686799610222,0.14526728765535843,0.5893584637825308,0.032385808100422395,0.1131341266187898,-538.2324414081278,-571.6823423215124,1.3311265676383766,0.016096707312302828,No Válido
BA-20,0.5232087470285944,0.11368157607288745,0.16533850982349108,0.12054765874235607,0.11573695687644374,0.5661995912986812,0.4089313574320874,0.08594759494080097,-544.6124428494632,-577.8606583430511,0.931370079760607,0.0025582211351957425,No Válido
BA-21,0.31483576854995765,0.03187188135594807,0.03867144792425974,0.020947499684186754,0.027070013546981818,0.354862789545936,0.3618362705622995,0.02211504720322676,-817.72842650694,-850.7715088002163,1.1591583266623833,8.327491897710363e-08,No Válido
BA-22,0.2435430007559416,0.012431624668361382,0.014359427921549565,0.008793310573954242,0.010051599545084696,0.24675246148118857,0.6842819334731555,0.009379790569401442,-923.1995999407486,-955.4957745274984,13.29836086786423,0.0016061376315238546,No Válido
BA-23,0.41517622785292474,0.07173484769109552,0.09419651035481956,0.0661528930200294,0.06593755724837369,0.5586319065561964,0.19306070414226462,0.057542689490185234,-701.1710863248844,-734.620987238269,1.3248059066004372,0.01382135702029229,No Válido
BA-28,0.498493092663174,0.024356457338642425,0.03452753156607063,0.025658361997733314,0.024169272096249438,0.609966466946873,0.2338076593934334,0.018290103653655458,-944.1618219986728,-978.4795708510129,0.7830946830526574,0.0002735174629769618,No Válido
BA-30,0.41611082864286264,0.023559572925001868,0.030951309213671188,0.02023707614761918,0.02166591644956983,0.49051051533160095,0.30057386243855333,0.018221209518431074,-954.4697102637193,-988.8801236691863,0.4721084282633302,0.14622058814865657,No Válido
E1,0.708492639794897,0.030350505647610188,0.05660259606481297,0.087860949103437,0.039621817245369076,0.7598314400383985,0.04334690539208125,0.018945811031861083,-467.466862718085,-494.9523760118657,5.312317708776772,1.789516827584786e-11,No Válido
E2,0.0492968581030645,0.03620118564478263,0.037368207749121786,0.006949587037316625,0.02615774542438525,-0.11765342517025279,0.08260058547205253,0.02137821437303244,-497.12986518747516,-525.4103711077503,1.8334813754611263,1.136153560911888e-11,No Válido
E3,0.5094909824506374,0.028499995025869657,0.04095653666312083,0.02664280585797466,0.028669575664184578,0.5861726637528761,0.45951741826554204,0.01760854542140596,-553.3802747832858,-581.6607807035609,1.4561536379617366,7.2150091768981235e-09,No Válido
E4,0.16390966995049205,0.041130849510050964,0.04527720875080789,0.017703789785878794,0.03169404612556552,0.18947193258002826,0.9453511592794575,0.029937460325911238,-486.77897140120575,-514.90463646345,0.36022938844806923,1.3720591685293333e-07,No Válido
ES-11,0.7376471642868196,0.11464146661091693,0.22461226527802178,0.17492857694406103,0.15722858569461523,0.7865488629362485,0.35679581483131584,0.08897807329675819,-720.456979111691,-755.9269038029062,0.47757350797988674,0.003083073052223749,Válido
GD-03,0.7172018635567337,0.08372699231288938,0.1403964527637479,0.11649768444702542,0.09827751693462353,0.7715716809020075,0.2029585125875737,0.06730588851085868,-464.94679404065744,-495.5933167398639,2.595256131819423,0.2449577678156854,Válido
GD-04,0.7953528454440317,0.08832527630069097,0.17994334810469276,0.13820149004712662,0.12596034367328493,0.7819703331161794,0.02778276126956262,0.0685197911740285,-482.66325711162807,-513.1827944988681,0.9059729049482984,0.0005273754004467272,No Válido
L10-1,-3.1299653702084607,0.5158073839419647,0.23271137119472327,0.16099622715663542,0.16289795983630628,0.15822538259734986,3.781256391902429e-23,0.44576536889165874,-742.4756131796696,-777.1598027183306,2.6520662829822665,1.148551778166485e-06,No Válido
L10-10,0.8852881400100236,0.032456519776343284,0.08661997652927547,0.07068858517603441,0.06063398357049283,0.8692403629589956,0.06064979910477242,0.02736250945436717,-682.5524872741192,-713.0720246613593,0.9121518751416821,0.014938426355777848,Válido
L10-11,-0.024476280093522096,0.24507913987487523,0.24120134008926283,0.21072088469978714,0.168840938062484,0.5872722935459224,1.0419946781627366e-186,0.1865200229897395,-15372.806167029787,-15439.489573893941,0.29897315852125134,1.660379377602439e-26,No Válido
L10-12,0.3491431501071415,0.17264162540526137,0.19845109079134104,0.0966093137735546,0.13891576355393873,0.33081487981404933,0.8994565886014545,0.1401682193923357,-583.6380799993376,-618.1404478777514,0.8360275626641611,0.12123198722518566,No Válido
L10-13,0.7115099852688361,0.11264455940226797,0.19975817448066485,0.18640506743980936,0.13983072213646539,0.8076722120213418,0.0927660258364422,0.08273454366591387,-648.7229942610395,-683.4071837997005,0.8598149984587444,2.0774705206871279e-07,Válido
L10-14,0.7453826387325087,0.10527957358435609,0.20007417161795019,0.1656196117540107,0.14005192013256512,0.7988407324583646,0.11459292313886517,0.07394762286204824,-657.2444913207213,-692.0185689201322,0.7154517541369948,4.185947541020034e-10,Válido
L10-15,0.28403155228454413,0.14774951850185394,0.16283699495858747,0.07904428150627685,0.11398589647101122,0.312419357280156,0.14320438007433636,0.117148302434754,-850.6215374094631,-886.6688930808086,0.9310913206120164,0.00011590891188045694,No Válido
L10-16,0.5950948321373981,0.1325294339213022,0.19561210586440372,0.1350459238171443,0.1369284741050826,0.6223688636592462,0.7888598305517923,0.09915357475547418,-662.6772921801488,-698.147216871364,0.8568101840971425,0.0016561244553135676,No Válido
L10-17,0.5926449072263398,0.13716425709962143,0.20298488456996708,0.13565232119635545,0.14208941919897694,0.6051482529871133,0.622861048285087,0.10155488094938578,-633.4204295357531,-668.8903542269683,0.8314692263641292,0.00030624470680832845,No Válido
L10-2,0.8716527874973586,0.0324823041253654,0.08094120764922762,0.06519301356134216,0.05665884535445933,0.8506352190212039,0.5129461562715766,0.02607193882266635,-703.180361524528,-733.6998989117681,1.1437472189007105,0.0021365005300187415,Válido
L10-3,0.35635354398091745,0.1318871841259605,0.14891728628046164,0.15918392296385178,0.10424210039632315,0.5421510401247728,9.951119217671667e-05,0.09880607318585102,-749.4533239181957,-784.3166212594568,1.0670548720136679,0.005321375676004818,No Válido
L10-4,-0.06824045084752473,0.23690162769547252,0.22823267059918284,0.09775151895879844,0.15976286941942797,-0.030793264734635173,9.24048324474766e-45,0.1985109680059316,-17168.761700266008,-17235.42628359689,0.6242409587110547,6.71969289126293e-39,No Válido
L10-5,0.7090042564824315,0.11257864131684826,0.19849640237107227,0.1668813869481984,0.13894748165975057,0.7867640407151255,0.1877837245531121,0.08101275608688799,-641.9986892396141,-676.6828787782752,0.7181258550356906,7.002575428082677e-09,Válido
