,R²,RMSE,std_obs07,p-value wilconox,MAE,BIC,p-value shapiro,IVM
1024,0.617069383278312,0.172662032705188,0.1956499652463584,0.9233191141250278,0.13679231383045204,-1442.5792741670855,0.0016731939145055825,No Válido
1028,0.19958763532149726,0.25245546728028745,0.19756715995812554,1.2394630079923255e-45,0.2138941147696316,-21457.479741628787,9.768590742857714e-23,No Válido
2018,0.2108000424967833,0.1902518536671265,0.1502708994457484,0.0006843698335844738,0.14183724736019715,-1061.148761328585,7.931004765655589e-05,No Válido
2037,0.1899347424463127,0.19452937290795974,0.1516613041366787,0.0014028382801789165,0.14617918172639446,-1041.0710209110373,0.00019978480637985983,No Válido
BA-17,0.21119447337903974,0.1640565657766744,0.12982276293766806,0.390517179424573,0.1222353763184219,-600.4609834517951,0.003378383826995744,No Válido
BA-18,-0.00011895134725858902,0.24592694937926446,0.17280973511183048,0.01275560387898593,0.19511329685351236,-573.1490846911116,0.0029025569668787005,No Válido
BA-19,0.037168466102244,0.22944508861183893,0.16432041512701928,0.015621076265230854,0.18582206273204205,-604.7547451736541,0.013748574742599802,No Válido
BA-20,0.07346645274323971,0.17596802675149253,0.1284747607731963,0.07342172000339087,0.14217639504823731,-596.7673946540016,0.026767266181402162,No Válido
BA-21,0.1679167810299893,0.03494644114798002,0.02692714156668995,0.6013408403719606,0.026430638809426633,-891.5673286116438,1.0002585763749593e-07,No Válido
BA-22,0.20189250591626817,0.012526335455992002,0.009857978759992968,0.8233328437844663,0.0094387091081958,-989.6508186069075,0.0006525175827807859,No Válido
BA-23,0.2361255650375237,0.08892625680413245,0.07150014695802964,0.6833919250610814,0.06570814879732513,-772.9975241729459,1.2655342262930324e-07,No Válido
BA-28,-1.0630292089898776,0.05093039568179152,0.024913622919297947,4.487643333931642e-07,0.041590673746503416,-983.0491917858004,0.02246725083025797,No Válido
BA-30,-2.2077023555249276,0.05649250401444676,0.022161257682010636,2.201890376054008e-09,0.047724319534772935,-1001.0770813965994,0.015067305483591609,No Válido
E1,0.07823491016589557,0.07437738220242794,0.054562368902671694,0.11761501285231138,0.05233306142138911,-455.104396181012,7.619924349595954e-05,No Válido
E2,-0.009426068883785277,0.03603775323810149,0.025253925195302653,0.22610112165461949,0.02155685176207901,-578.1666129317696,1.164099273567209e-11,No Válido
E3,0.29271088167504156,0.03253718731167051,0.027238924752123885,0.030236115844877263,0.016244223118388912,-586.4542856125569,3.0704869967575815e-14,No Válido
E4,0.5837846143380063,0.03407805698627274,0.03720302178413581,0.35397937575607663,0.018882814586160705,-545.4315982630791,2.709631258892286e-12,No Válido
ES-11,0.021738002663630462,0.24434224293230525,0.1734464478792787,0.7168411012651114,0.2074103197154906,-894.6835747256681,0.0056009321253743406,No Válido
GD-03,0.14652818633113018,0.14476562027132933,0.1100183910410544,0.21611456420131814,0.11700948345818893,-1005.9036426335601,3.783259177687934e-05,No Válido
GD-04,0.20432455039425101,0.18691121397535027,0.14711664912145997,5.4157942842772744e-08,0.15125849978027514,-1003.3879954959568,0.0005071348096148694,No Válido
L10-1,-0.10921923407830003,0.23582737095235773,0.1571071306400038,0.027659708703101166,0.19909194883839942,-1187.9227463512702,1.1259077653118453e-10,No Válido
L10-10,0.7388879102877051,0.04761911496267278,0.06543015379718224,0.41227172255982036,0.0371398066675075,-1328.3392207230283,0.0011192968086327052,Válido
L10-11,0.040126745192025304,0.25933762294200813,0.18533143244474842,1.322158152774189e-09,0.21366514197343978,-19811.094226403402,1.361789784915026e-23,No Válido
L10-12,0.20986584199356773,0.19626716841117,0.1549358638866596,0.00023202125993014168,0.14976314602681096,-1034.8285472932453,5.658838396824688e-05,No Válido
L10-13,0.3407577416394917,0.19165329346428095,0.16560964193470404,0.9363234549943721,0.16257723047298178,-1242.275312669233,0.00016168363705523179,No Válido
L10-14,-0.08650988288633044,0.24557860940518064,0.16529549536397165,0.18742087553355713,0.2125250090419761,-1242.55138831161,2.6111309904960887e-07,No Válido
L10-15,0.11744164663699219,0.1674038685651014,0.12501662183429452,1.6523093847328557e-06,0.13896865922098214,-1416.8021656415558,4.03877212953702e-05,No Válido
L10-16,0.7316094936497487,0.11997232811757294,0.16245978324599183,0.3549018765413503,0.08684595982965407,-1212.0570371056504,1.6874517942488595e-06,Válido
L10-17,0.20643689996025905,0.21372633655392256,0.1683122271330848,0.26211481658093183,0.1649904621868386,-1155.5459514415804,1.4268287153920177e-05,No Válido
L10-2,-0.08770266218413036,0.08736139127282384,0.05881316589245004,1.7110924007873776e-09,0.07856548255072304,-1312.8342896827646,1.0340904283024048e-08,No Válido
L10-3,0.05652864541266367,0.1671329780221848,0.12071915383236397,0.05632690858530658,0.1313257891636215,-1399.981801589381,0.010624178272132894,No Válido
L10-4,0.03962424565007372,0.2525891913110553,0.18046161043316905,4.6823271000797896e-15,0.22136656478603822,-24457.138416424685,8.565100990040446e-25,No Válido
L10-5,0.33206710428841046,0.1906528312314791,0.1636681470083915,0.5023724975674078,0.15287223129676022,-1237.4825937853198,0.0001380855190546164,No Válido
