,R²,RMSE,std_obs,std_sim,std_obs07,KGE,p-value wilconox,MAE,BIC,AIC,richard_ratio,p-value shapiro,IVM
1024,0.7545620142251923,0.10656231791388611,0.19797066785824305,0.18228625512381558,0.13857946750077013,0.7903599875163088,0.6817097452741181,0.0763804326555286,-533.7822899924614,-585.3979101006619,0.702025154602891,3.2256852658408505e-08,Válido
1028,0.35724924684701453,0.18846192576615514,0.23411908770522236,0.1951080396829676,0.16388336139365564,0.6723849438937268,0.06222088654113775,0.1306851549467356,-15912.852443700443,-16012.858735385447,0.3734438468176124,2.3206375475345428e-30,No Válido
2018,0.7902973455350896,0.09413121856206284,0.18960608391335684,0.17740692060686453,0.1327242587393498,0.8250787394798558,0.27964047291738403,0.0688717106804585,-593.2304988618504,-645.120933468405,0.6959132147431484,3.693150525988936e-07,Válido
2037,0.7752499291195918,0.0995997436535416,0.19361923904595926,0.2607004868804176,0.13553346733217148,0.7941399680592083,0.5972469301732265,0.07440676511909718,-574.1162419171275,-625.8697937347482,7.709223651326956,3.0255620016318093e-05,Válido
BA-17,0.6669740563346384,0.10659766154216355,0.1854610899109544,0.16596474628956417,0.12982276293766806,0.7240949788751937,0.44277573524715974,0.07350760543656358,-561.394696727753,-612.3043439991944,0.5307454674091181,9.472295769687469e-06,Válido
BA-18,0.7406296687074662,0.11108288954866877,0.21903028198350588,0.182839967748322,0.1533211973884541,0.7755090940257285,0.548692174517842,0.0805611217395949,-514.6529144542819,-564.8277658243587,0.6776786157764032,7.210686171265517e-06,Válido
BA-19,0.6672764121176877,0.119204991373952,0.20752469665051204,0.1650348084412843,0.14526728765535843,0.7291711006237185,0.9041124442693049,0.08235038828662483,-528.9557422527,-579.1305936227768,0.6952399852536321,2.1127395342379306e-07,Válido
BA-20,0.6069720561523188,0.1032137746362338,0.16533850982349108,0.12848873819321113,0.11573695687644374,0.6773275617683443,0.3923764459282395,0.07624282969095475,-513.0299013658056,-562.9022246061876,0.7571093380223101,0.00010843424834538715,No Válido
BA-21,0.39390679548804763,0.029976440775961122,0.03867144792425974,0.025928263555329515,0.027070013546981818,0.45426830699598864,0.9780218635827279,0.022110743829291,-804.0629206306655,-853.6275440705801,1.079308245392682,0.006721377689684245,No Válido
BA-22,0.16877897126232444,0.013031488575830974,0.014359427921549565,0.0073358019327391406,0.010051599545084696,0.15535684048736476,0.6253693913582592,0.010013748888764613,-896.0930117602772,-944.5372736404018,8.059199252086259,0.0005510605716911791,No Válido
BA-23,0.6431706397580119,0.056033527335346826,0.09419651035481956,0.0809900569814528,0.06593755724837369,0.7244431342984514,0.3312493655729002,0.043625299385030306,-698.7839109857443,-748.9587623558211,0.7136410978428875,0.0007274986135484812,No Válido
