Pozo,AIC_Modelo_A,BIC_Modelo_A,AIC_Modelo_B,BIC_Modelo_B,AIC_Modelo_C,BIC_Modelo_C,AIC_Modelo_E,BIC_Modelo_E
1024,-576.8679612086139,-551.0601511545136,-585.1125462480451,-550.7021328425781,-583.3663722424501,-548.9559588369831,-585.3979101006619,-533.7822899924614
1028,-15795.484251419386,-15745.481105576884,-15761.329251871583,-15694.658390748247,-15896.967509055197,-15830.296647931862,-16012.858735385447,-15912.852443700443
2018,-632.5936021227812,-606.6483848195039,-625.993018923365,-591.3993958523286,-637.1119608101628,-602.5183377391264,-645.120933468405,-593.2304988618504
2037,-618.0068420794321,-592.1300661706217,-616.1848580841511,-581.6824902057373,-624.6314108286641,-590.1290429502503,-625.8697937347482,-574.1162419171275
BA-17,-600.1554459486559,-574.7006223129353,-610.2789486001186,-576.339183752491,-625.9302874145807,-591.990522566953,-612.3043439991944,-561.394696727753
BA-18,-538.1401230481463,-513.0526973631079,-550.3784950792044,-516.9285941658198,-547.8619342933799,-514.4120333799954,-564.8277658243587,-514.6529144542819
BA-19,-562.894634195656,-537.8072085106176,-578.820196277985,-545.3702953646005,-571.6823423215124,-538.2324414081278,-579.1305936227768,-528.9557422527
BA-20,-554.1991796596817,-529.2630180394907,-567.8904766203595,-534.6422611267716,-577.8606583430511,-544.6124428494632,-562.9022246061876,-513.0299013658056
BA-21,-846.024195778694,-821.2418840587367,-840.3593227699847,-807.3162404767083,-850.7715088002163,-817.72842650694,-853.6275440705801,-804.0629206306655
BA-22,-950.36818192902,-926.1460509889578,-951.5119492065058,-919.2157746197561,-955.4957745274984,-923.1995999407486,-944.5372736404018,-896.0930117602772
BA-23,-726.4204698933885,-701.3330442083501,-728.5670259390251,-695.1171250256406,-734.620987238269,-701.1710863248844,-748.9587623558211,-698.7839109857443
BA-28,-945.2351610151363,-919.4968493758813,-940.254901712445,-905.9371528601049,-978.4795708510129,-944.1618219986728,-938.6724231736248,-887.1957998951148
BA-30,-989.1149304465526,-963.3071203924524,-985.5639152273666,-951.1535018218996,-988.8801236691863,-954.4697102637193,-987.2121247890888,-935.5965046808883
E1,-493.77267766082304,-473.15854269048754,-498.4196174862918,-470.93410419251114,-494.9523760118657,-467.466862718085,-461.7239549320285,-420.49568499135745
E2,-545.3707144774802,-524.1603350372739,-571.5370744459253,-543.2565685256502,-525.4103711077503,-497.12986518747516,-515.8754335238639,-473.4546746434512
E3,-536.448495450744,-515.2381160105376,-526.5153203746011,-498.23481445432594,-581.6607807035609,-553.3802747832858,-528.2351563833671,-485.8143975029544
E4,-513.0591641201123,-491.9649153234292,-527.1360086638945,-499.0103436016503,-514.90463646345,-486.77897140120575,-522.2349208710293,-480.046423277663
ES-11,-742.8883051946993,-716.285861676288,-721.1752707179189,-685.7053460267038,-755.9269038029062,-720.456979111691,-731.7763137904849,-678.5714267536622
GD-03,-526.5657632146233,-503.58087119021843,-526.4050890455679,-495.7585663463615,-495.5933167398639,-464.94679404065744,-538.8266699851363,-492.85688593632653
GD-04,-507.6916341486608,-484.80198110823073,-515.6098537630631,-485.0903163758231,-513.1827944988681,-482.66325711162807,-507.87006911397043,-462.09076303311036
L10-1,-764.2288512665979,-738.2157091126021,-713.4124704546326,-678.7282809159716,-777.1598027183306,-742.4756131796696,-896.0694198061112,-844.0431354981197
L10-10,-717.2977923762837,-694.4081393358537,-714.5693966978351,-684.0498593105951,-713.0720246613593,-682.5524872741192,-681.7987362806118,-636.0194301997517
L10-11,-15375.51895757858,-15325.506402430465,-15324.120859954744,-15257.43745309059,-15439.489573893941,-15372.806167029787,-15479.635149799802,-15379.61003950357
L10-12,-619.1389276806284,-593.262151771818,-626.0209633279712,-591.5185954495574,-618.1404478777514,-583.6380799993376,-635.1345509101245,-583.3809990925038
L10-13,-680.2598007055486,-654.2466585515529,-674.2495062795867,-639.5653167409257,-683.4071837997005,-648.7229942610395,-709.4280363740158,-657.4017520660243
L10-14,-686.881316601854,-660.8007584022957,-691.8102796019168,-657.0362020025059,-692.0185689201322,-657.2444913207213,-682.2298588907186,-630.0687424916022
L10-15,-879.72633410938,-852.6908173558709,-891.5112325891431,-855.4638769177976,-886.6688930808086,-850.6215374094631,-911.9431969255099,-857.8721634184917
L10-16,-692.0365601198371,-665.4341166014258,-698.4235615636104,-662.9536368723952,-698.147216871364,-662.6772921801488,-703.9960398097433,-650.7911527729206
