Fecha,Pozo REGLILLA SALADITA CONAF
01/01/2005,0.815
01/05/2005,0.81
01/08/2005,0.795
01/10/2005,
01/02/2006,0.81
01/05/2006,0.8
01/07/2006,0.797
01/11/2006,0.81
08/02/2007,0.81
27/04/2007,0.8
26/07/2007,0.795
01/10/2007,0.792
01/02/2008,0.805
01/04/2008,0.8
31/07/2008,0.792
24/10/2008,0.805
01/02/2009,
24/04/2009,0.81
01/07/2009,0.798
01/11/2009,0.82
26/01/2010,0.811
27/04/2010,0.812
23/07/2010,0.805
27/10/2010,0.812
26/01/2011,0.826
27/04/2011,0.81
21/07/2011,0.81
10/11/2011,0.82
30/01/2012,0.82
01/05/2012,0.815
07/08/2012,0.81
24/10/2012,0.83
21/04/2013,0.82
01/07/2013,0.82
01/10/2013,0.85
01/04/2014,0.84
01/07/2014,0.8
01/10/2014,0.83
01/01/2015,
01/04/2015,0.83
01/07/2015,0.82
01/10/2015,0.815
01/01/2016,0.84
01/04/2016,0.83
27/07/2016,0.84
04/11/2016,0.83
08/02/2017,0.83
01/05/2017,0.84
15/08/2017,
15/10/2017,
23/01/2018,0.82
27/04/2018,0.83
25/10/2018,0.84
26/06/2020,
15/07/2020,
15/08/2020,
15/09/2020,
15/10/2020,
26/11/2020,
26/12/2020,
26/01/2021,
26/02/2021,
26/03/2021,
26/04/2021,
26/05/2021,
26/06/2021,0.828
30/07/2021,0.827
30/07/2021,0.827
29/08/2021,
27/09/2021,
13/10/2021,0.835
13/10/2021,0.835
29/10/2021,0.833
29/10/2021,0.833
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
26/03/2022,
09/04/2022,
28/04/2022,0.825
28/04/2022,0.825
27/05/2022,0.825
27/05/2022,0.824
11/06/2022,0.827
11/06/2022,0.826
25/06/2022,0.826
25/06/2022,0.827
11/07/2022,0.826
11/07/2022,0.826
28/07/2022,0.827
28/07/2022,0.827
18/08/2022,0.829
18/08/2022,0.83
28/08/2022,0.828
28/08/2022,0.828
11/09/2022,0.83
25/09/2022,0.835
25/09/2022,2.095
12/10/2022,0.834
30/12/2022,
31/01/2023,
31/03/2023,
28/04/2023,0.83
28/04/2023,0.83
14/06/2023,0.822
14/06/2023,0.821
23/06/2023,0.825
23/06/2023,0.825
09/07/2023,0.823
09/07/2023,0.822
27/07/2023,0.83
27/07/2023,0.832
11/08/2023,0.827
11/08/2023,0.826
25/08/2023,0.829
25/08/2023,0.827
08/09/2023,
05/10/2023,0.831
05/10/2023,0.831
29/10/2023,0.831
29/10/2023,0.831
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,0.826
06/06/2024,
22/06/2024,0.825
13/07/2024,0.827
13/07/2024,0.829
26/07/2024,
31/08/2024,
30/09/2024,
31/10/2024,
30/11/2024,
