Fecha,Pozo,Tipo,Valor
07/09/2013,BA-01,HEAD,2299.572
29/11/2013,BA-01,HEAD,2299.505
13/12/2013,BA-01,HEAD,2299.486
19/01/2014,BA-01,HEAD,2299.449
12/02/2014,BA-01,HEAD,2299.429
23/03/2014,BA-01,HEAD,2299.394
19/04/2014,BA-01,HEAD,2299.384
17/05/2014,BA-01,HEAD,2299.384
15/06/2014,BA-01,HEAD,2299.381
21/07/2014,BA-01,HEAD,2299.411
19/08/2014,BA-01,HEAD,2299.404
08/09/2014,BA-01,HEAD,2299.43
13/10/2014,BA-01,HEAD,2299.401
13/11/2014,BA-01,HEAD,2299.373
09/12/2014,BA-01,HEAD,2299.35
15/01/2015,BA-01,HEAD,2299.311
19/02/2015,BA-01,HEAD,2299.288
12/03/2015,BA-01,HEAD,2299.277
13/04/2015,BA-01,HEAD,2299.46
10/05/2015,BA-01,HEAD,2299.508
03/06/2015,BA-01,HEAD,2299.501
12/07/2015,BA-01,HEAD,2299.512
11/08/2015,BA-01,HEAD,2299.509
03/09/2015,BA-01,HEAD,2299.501
06/10/2015,BA-01,HEAD,2299.433
03/11/2015,BA-01,HEAD,2299.442
03/12/2015,BA-01,HEAD,2299.415
12/01/2016,BA-01,HEAD,2299.37
13/02/2016,BA-01,HEAD,2299.344
11/03/2016,BA-01,HEAD,2299.328
21/04/2016,BA-01,HEAD,2299.299
19/05/2016,BA-01,HEAD,2299.296
16/06/2016,BA-01,HEAD,2299.299
29/07/2016,BA-01,HEAD,2299.326
14/08/2016,BA-01,HEAD,2299.339
12/09/2016,BA-01,HEAD,2299.342
25/10/2016,BA-01,HEAD,2299.306
08/11/2016,BA-01,HEAD,2299.307
08/12/2016,BA-01,HEAD,2299.274
15/01/2017,BA-01,HEAD,2299.257
10/02/2017,BA-01,HEAD,2299.239
26/03/2017,BA-01,HEAD,2299.316
05/04/2017,BA-01,HEAD,2299.328
02/05/2017,BA-01,HEAD,2299.317
04/06/2017,BA-01,HEAD,2299.324
15/07/2017,BA-01,HEAD,2299.419
11/08/2017,BA-01,HEAD,2299.437
24/09/2017,BA-01,HEAD,2299.409
05/10/2017,BA-01,HEAD,2299.397
04/11/2017,BA-01,HEAD,2299.365
03/12/2017,BA-01,HEAD,2299.336
27/01/2018,BA-01,HEAD,2299.284
06/02/2018,BA-01,HEAD,2299.275
13/03/2018,BA-01,HEAD,2299.249
08/04/2018,BA-01,HEAD,2299.233
04/05/2018,BA-01,HEAD,2299.22
07/06/2018,BA-01,HEAD,2299.224
11/07/2018,BA-01,HEAD,2299.239
27/07/2018,BA-01,HEAD,2299.254
14/08/2018,BA-01,HEAD,2299.276
24/08/2018,BA-01,HEAD,2299.281
12/09/2018,BA-01,HEAD,2299.28
26/09/2018,BA-01,HEAD,2299.274
04/10/2018,BA-01,HEAD,2299.269
02/11/2018,BA-01,HEAD,2299.252
02/12/2018,BA-01,HEAD,2299.229
03/01/2019,BA-01,HEAD,2299.209
12/02/2019,BA-01,HEAD,2299.492
23/02/2019,BA-01,HEAD,2299.563
10/03/2019,BA-01,HEAD,2299.618
26/03/2019,BA-01,HEAD,2299.617
02/04/2019,BA-01,HEAD,2299.611
18/04/2019,BA-01,HEAD,2299.592
19/05/2019,BA-01,HEAD,2299.567
15/06/2019,BA-01,HEAD,2299.553
16/07/2019,BA-01,HEAD,2299.549
13/08/2019,BA-01,HEAD,2299.544
19/09/2019,BA-01,HEAD,2299.526
19/10/2019,BA-01,HEAD,2299.498
09/11/2019,BA-01,HEAD,2299.47
06/12/2019,BA-01,HEAD,2299.431
17/01/2020,BA-01,HEAD,2299.38
18/02/2020,BA-01,HEAD,2299.349
11/03/2020,BA-01,HEAD,2299.329
06/04/2020,BA-01,HEAD,2299.316
04/05/2020,BA-01,HEAD,2299.304
09/08/2020,BA-01,HEAD,2299.309
23/08/2020,BA-01,HEAD,2299.312
08/09/2020,BA-01,HEAD,2299.426
21/09/2020,BA-01,HEAD,2299.462
26/09/2020,BA-01,HEAD,2299.469
07/10/2020,BA-01,HEAD,2299.463
21/10/2020,BA-01,HEAD,2299.439
09/11/2020,BA-01,HEAD,2299.407
14/12/2020,BA-01,HEAD,2299.348
09/01/2021,BA-01,HEAD,2299.308
25/01/2021,BA-01,HEAD,2299.29
13/02/2021,BA-01,HEAD,2299.27
27/02/2021,BA-01,HEAD,2299.258
11/03/2021,BA-01,HEAD,2299.249
30/03/2021,BA-01,HEAD,2299.234
07/04/2021,BA-01,HEAD,2299.226
21/04/2021,BA-01,HEAD,2299.281
17/05/2021,BA-01,HEAD,2299.211
14/06/2021,BA-01,HEAD,2299.217
12/07/2021,BA-01,HEAD,2299.232
23/07/2021,BA-01,HEAD,2299.233
08/08/2021,BA-01,HEAD,2299.24
20/09/2021,BA-01,HEAD,2299.227
06/10/2021,BA-01,HEAD,2299.218
13/11/2021,BA-01,HEAD,2299.195
14/12/2021,BA-01,HEAD,2299.171
08/01/2022,BA-01,HEAD,2299.154
03/02/2022,BA-01,HEAD,2299.133
20/02/2022,BA-01,HEAD,2299.124
05/03/2022,BA-01,HEAD,2299.117
29/03/2022,BA-01,HEAD,2299.107
08/04/2022,BA-01,HEAD,2299.106
20/04/2022,BA-01,HEAD,2299.105
16/05/2022,BA-01,HEAD,2299.105
17/06/2022,BA-01,HEAD,2299.119
09/07/2022,BA-01,HEAD,2299.135
09/08/2022,BA-01,HEAD,2299.163
14/09/2022,BA-01,HEAD,2299.188
09/10/2022,BA-01,HEAD,2299.174
09/11/2022,BA-01,HEAD,2299.158
11/12/2022,BA-01,HEAD,2299.137
07/01/2023,BA-01,HEAD,2299.118
11/02/2023,BA-01,HEAD,2299.096
05/03/2023,BA-01,HEAD,2299.103
18/03/2023,BA-01,HEAD,2299.110
13/04/2023,BA-01,HEAD,2299.128
24/04/2023,BA-01,HEAD,2299.134
13/05/2023,BA-01,HEAD,2299.140
28/05/2023,BA-01,HEAD,2299.140
05/06/2023,BA-01,HEAD,2299.142
02/07/2023,BA-01,HEAD,2299.151
09/09/2023,BA-01,HEAD,2299.213
03/10/2023,BA-01,HEAD,2299.205
17/10/2023,BA-01,HEAD,2299.198
04/11/2023,BA-01,HEAD,2299.180
19/11/2023,BA-01,HEAD,2299.170
01/12/2023,BA-01,HEAD,2299.160
24/12/2023,BA-01,HEAD,2299.138
03/01/2024,BA-01,HEAD,2299.129
25/01/2024,BA-01,HEAD,2299.109
03/02/2024,BA-01,HEAD,2299.104
23/02/2024,BA-01,HEAD,2299.091
03/03/2024,BA-01,HEAD,2299.083
28/04/2024,BA-01,HEAD,2299.06
25/05/2024,BA-01,HEAD,2299.062
27/06/2024,BA-01,HEAD,2299.075
19/07/2024,BA-01,HEAD,2299.09
13/08/2024,BA-01,HEAD,2299.111
29/08/2024,BA-01,HEAD,2299.13
02/09/2024,BA-01,HEAD,2299.132
23/09/2024,BA-01,HEAD,2299.142
01/10/2024,BA-01,HEAD,2299.14
25/10/2024,BA-01,HEAD,2299.129
04/11/2024,BA-01,HEAD,2299.124
03/12/2024,BA-01,HEAD,2299.103
16/12/2024,BA-01,HEAD,2299.094
19/08/2013,BA-02,HEAD,2299.979
07/09/2013,BA-02,HEAD,2299.97
29/11/2013,BA-02,HEAD,2299.783
13/12/2013,BA-02,HEAD,2299.771
