Fecha,Pozo 2018
04/09/2007,1.3
02/10/2007,1.343
27/10/2007,1.348
06/12/2007,1.351
27/12/2007,1.358
02/02/2008,1.35
05/03/2008,1.366
31/03/2008,1.372
29/04/2008,1.388
26/05/2008,1.414
29/06/2008,1.423
09/08/2008,1.438
23/08/2008,1.424
24/09/2008,1.412
27/10/2008,1.411
29/11/2008,1.416
26/12/2008,1.409
24/01/2009,1.402
23/02/2009,1.409
23/03/2009,1.418
19/04/2009,1.415
17/05/2009,1.421
25/06/2009,1.448
25/07/2009,1.437
24/08/2009,1.426
25/09/2009,1.404
23/10/2009,1.391
27/11/2009,1.367
25/12/2009,1.364
18/01/2010,1.366
27/02/2010,1.361
30/03/2010,1.378
24/04/2010,1.401
23/05/2010,1.439
21/06/2010,1.46
24/07/2010,1.481
23/08/2010,1.456
23/09/2010,1.472
18/10/2010,1.482
18/11/2010,1.495
25/12/2010,1.496
25/01/2011,1.505
23/02/2011,1.515
25/03/2011,1.535
20/04/2011,1.566
28/05/2011,1.578
23/06/2011,1.578
22/07/2011,1.585
23/08/2011,1.582
19/09/2011,1.598
18/10/2011,1.595
24/11/2011,1.602
14/12/2011,1.598
15/01/2012,1.575
29/02/2012,1.404
22/03/2012,1.417
21/04/2012,1.446
24/05/2012,1.477
26/06/2012,1.475
15/07/2012,1.5
19/08/2012,1.512
18/09/2012,1.495
21/10/2012,1.492
23/11/2012,1.487
17/12/2012,1.516
16/01/2013,1.516
21/02/2013,1.193
19/03/2013,1.263
16/04/2013,1.303
21/05/2013,1.272
14/06/2013,1.262
26/07/2013,1.315
20/08/2013,1.316
21/09/2013,1.309
23/10/2013,1.323
22/11/2013,1.361
22/12/2013,1.385
24/01/2014,1.418
21/02/2014,1.443
19/03/2014,1.455
24/04/2014,1.506
23/05/2014,1.53
17/06/2014,1.563
18/07/2014,1.595
18/08/2014,1.604
17/09/2014,1.595
20/10/2014,1.61
20/11/2014,1.615
17/12/2014,1.623
17/12/2014,
24/12/2014,1.63
23/01/2015,1.635
22/02/2015,1.625
21/03/2015,1.51
19/04/2015,1.25
21/05/2015,1.314
25/06/2015,1.37
23/07/2015,1.427
19/08/2015,1.433
19/09/2015,1.433
22/10/2015,1.437
26/11/2015,1.43
21/12/2015,1.442
19/01/2016,1.51
22/02/2016,1.527
24/03/2016,1.564
24/04/2016,1.603
24/05/2016,1.641
18/06/2016,1.652
24/07/2016,1.665
23/08/2016,1.673
23/09/2016,1.681
23/10/2016,1.689
23/11/2016,1.706
23/12/2016,1.726
23/01/2017,1.734
23/02/2017,1.705
23/03/2017,1.425
23/04/2017,1.48
23/05/2017,1.543
23/06/2017,1.456
23/07/2017,1.503
23/08/2017,1.536
23/09/2017,1.565
23/10/2017,1.566
23/11/2017,1.578
23/12/2017,1.59
23/01/2018,1.633
23/02/2018,1.654
23/03/2018,1.675
23/04/2018,1.702
23/05/2018,1.732
23/06/2018,1.752
23/07/2018,1.757
23/08/2018,1.763
23/09/2018,1.755
23/10/2018,1.747
23/11/2018,1.75
23/12/2018,1.753
23/01/2019,1.76
23/02/2019,1.0
23/03/2019,1.085
23/04/2019,1.145
23/05/2019,1.211
21/06/2019,1.267
22/07/2019,1.321
19/08/2019,1.355
21/09/2019,1.369
22/10/2019,1.376
21/11/2019,1.377
19/12/2019,1.402
24/01/2020,1.446
22/02/2020,1.482
22/03/2020,1.517
24/04/2020,1.565
23/05/2020,1.618
25/05/2020,1.617
21/06/2020,1.653
21/07/2020,1.689
21/07/2020,1.689
23/08/2020,1.716
23/08/2020,1.715
23/09/2020,1.435
23/09/2020,1.44
23/10/2020,1.48
23/10/2020,1.48
23/11/2020,1.526
23/11/2020,1.526
22/12/2020,1.55
22/12/2020,1.55
21/01/2021,1.57
21/01/2021,1.571
19/02/2021,1.6
19/02/2021,1.6
17/03/2021,1.625
17/03/2021,1.625
18/04/2021,1.67
18/04/2021,1.67
22/05/2021,1.722
22/05/2021,1.722
21/06/2021,1.755
21/06/2021,1.755
18/07/2021,1.772
18/07/2021,1.772
23/08/2021,1.781
23/08/2021,1.781
22/09/2021,1.788
22/09/2021,1.789
21/10/2021,1.791
21/10/2021,1.792
24/11/2021,1.798
24/11/2021,1.798
21/12/2021,1.801
21/12/2021,1.801
19/01/2022,1.81
19/01/2022,1.81
21/02/2022,1.824
21/02/2022,1.823
25/03/2022,1.75
25/03/2022,1.749
22/04/2022,1.801
22/04/2022,1.8
22/05/2022,1.839
22/05/2022,1.837
19/06/2022,1.858
19/06/2022,1.856
19/07/2022,1.874
19/07/2022,1.872
26/08/2022,1.885
26/08/2022,1.884
16/09/2022,1.89
17/10/2022,1.898
23/11/2022,1.897
17/12/2022,1.9
19/01/2023,1.914
19/01/2023,1.914
31/03/2023,
24/04/2023,1.795
24/04/2023,1.799
29/05/2023,1.858
27/06/2023,1.908
24/07/2023,1.927
28/08/2023,1.945
21/09/2023,1.948
13/10/2023,1.955
09/11/2023,1.956
17/11/2023,1.96
17/11/2023,1.96
13/12/2023,1.97
19/01/2024,1.979
21/02/2024,1.991
28/03/2024,2.001
30/04/2024,2.016
23/05/2024,2.03
18/06/2024,2.046
30/07/2024,2.075
27/08/2024,2.081
24/09/2024,2.085
29/10/2024,2.092
26/11/2024,2.09
