Fecha,Pozo GD-03
01/10/2007,1.098
29/10/2007,1.1
05/12/2007,1.116
27/12/2007,1.123
31/01/2008,1.094
02/03/2008,1.128
30/03/2008,1.127
03/05/2008,1.148
28/05/2008,1.154
25/06/2008,1.158
04/08/2008,1.19
25/08/2008,1.184
01/10/2008,1.168
26/10/2008,1.174
30/11/2008,1.194
29/12/2008,1.2
27/01/2009,1.195
26/02/2009,1.196
21/03/2009,1.2
16/04/2009,1.188
18/05/2009,1.195
25/06/2009,1.202
23/07/2009,1.201
18/08/2009,1.197
25/09/2009,1.19
19/10/2009,1.182
25/11/2009,1.164
25/12/2009,1.172
23/01/2010,1.181
27/02/2010,1.167
29/03/2010,1.158
25/04/2010,1.175
24/05/2010,1.2
18/06/2010,1.211
24/07/2010,1.238
23/08/2010,1.232
24/09/2010,1.234
21/10/2010,1.259
22/11/2010,1.298
24/12/2010,1.273
22/01/2011,1.281
25/02/2011,1.286
24/03/2011,1.302
24/04/2011,1.308
28/05/2011,1.337
24/06/2011,1.32
22/07/2011,1.335
23/08/2011,1.345
24/09/2011,1.341
19/10/2011,1.356
23/11/2011,1.373
30/11/2011,1.378
30/11/2011,
19/12/2011,1.369
23/01/2012,1.375
27/02/2012,1.195
25/03/2012,1.199
25/04/2012,1.213
22/05/2012,1.242
19/06/2012,1.244
24/07/2012,1.261
25/08/2012,1.258
21/09/2012,1.268
30/10/2012,1.261
19/11/2012,1.275
17/12/2012,1.279
19/01/2013,1.281
23/02/2013,1.05
21/03/2013,1.067
20/04/2013,1.083
26/05/2013,1.028
23/06/2013,1.046
22/07/2013,1.054
23/08/2013,1.055
26/09/2013,1.054
24/10/2013,1.083
21/11/2013,1.105
21/12/2013,1.12
22/01/2014,1.146
24/02/2014,1.181
25/03/2014,1.199
24/04/2014,1.226
22/05/2014,1.252
23/06/2014,1.305
18/07/2014,1.308
21/08/2014,1.325
24/09/2014,1.315
17/10/2014,1.338
20/11/2014,1.354
29/12/2014,1.37
29/01/2015,1.377
16/03/2015,1.342
29/04/2015,0.99
19/05/2015,1.035
26/06/2015,1.085
31/07/2015,1.151
27/08/2015,1.157
25/09/2015,1.156
30/10/2015,1.171
28/11/2015,1.19
29/12/2015,1.205
29/01/2016,1.233
26/02/2016,1.25
27/03/2016,1.283
28/04/2016,1.311
29/05/2016,1.342
15/06/2016,1.348
30/06/2016,1.36
30/06/2016,
23/07/2016,1.366
26/08/2016,1.375
26/09/2016,1.385
26/10/2016,1.4
26/11/2016,1.415
26/12/2016,1.425
26/01/2017,1.412
25/02/2017,1.089
26/03/2017,
26/04/2017,
26/05/2017,
26/06/2017,
26/07/2017,
26/08/2017,
26/09/2017,1.242
26/10/2017,1.257
28/11/2017,1.269
26/12/2017,1.305
26/01/2018,1.321
26/02/2018,1.345
26/03/2018,1.359
26/04/2018,1.37
26/05/2018,1.4
26/06/2018,
26/07/2018,
21/08/2018,
26/08/2018,
26/09/2018,
26/10/2018,
26/11/2018,
26/12/2018,
26/01/2019,
26/02/2019,
26/03/2019,
26/04/2019,
26/05/2019,
28/06/2019,
26/07/2019,
26/08/2019,
26/09/2019,
26/10/2019,
26/11/2019,
26/12/2019,
26/01/2020,
26/02/2020,
26/03/2020,
26/04/2020,
26/05/2020,
26/06/2020,
26/07/2020,
26/08/2020,
26/09/2020,
26/10/2020,
26/11/2020,
26/12/2020,
28/01/2021,1.254
28/01/2021,1.254
26/02/2021,1.278
26/02/2021,1.28
25/03/2021,1.306
25/03/2021,1.306
27/04/2021,1.349
05/05/2021,1.359
05/05/2021,1.359
27/06/2021,1.417
26/07/2021,
29/08/2021,1.451
29/08/2021,1.452
27/09/2021,1.46
27/09/2021,1.461
13/10/2021,1.461
13/10/2021,1.461
29/10/2021,1.465
29/10/2021,1.465
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
10/03/2022,1.495
10/03/2022,1.494
26/03/2022,1.44
26/03/2022,1.439
09/04/2022,1.441
09/04/2022,1.442
30/04/2022,1.483
30/04/2022,1.482
08/05/2022,1.484
08/05/2022,1.483
27/05/2022,1.497
27/05/2022,1.496
11/06/2022,1.496
11/06/2022,1.496
25/06/2022,1.502
25/06/2022,1.5
11/07/2022,1.509
11/07/2022,1.508
31/07/2022,1.517
31/07/2022,1.517
11/08/2022,1.522
11/08/2022,1.521
28/08/2022,1.529
28/08/2022,1.528
11/09/2022,1.535
25/09/2022,1.542
25/09/2022,1.541
12/10/2022,1.546
30/12/2022,
31/01/2023,
31/03/2023,
12/04/2023,1.405
12/05/2023,1.455
26/05/2023,1.478
26/05/2023,1.477
14/06/2023,1.502
14/06/2023,1.501
23/06/2023,1.514
23/06/2023,1.513
09/07/2023,1.531
09/07/2023,1.53
27/07/2023,1.543
27/07/2023,1.545
11/08/2023,1.547
11/08/2023,1.545
18/08/2023,1.55
08/09/2023,1.56
08/09/2023,1.56
05/10/2023,1.568
05/10/2023,1.568
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,1.625
06/06/2024,1.629
06/06/2024,1.629
06/06/2024,1.629
22/06/2024,1.635
13/07/2024,1.648
13/07/2024,1.649
08/08/2024,1.656
23/08/2024,1.66
23/08/2024,1.663
30/09/2024,
11/10/2024,1.675
21/10/2024,1.679
30/11/2024,
