Fecha,Pozo L10-17
01/10/2007,2.106
29/10/2007,2.093
05/12/2007,2.11
27/12/2007,2.119
02/02/2008,2.098
05/03/2008,2.13
31/03/2008,2.142
03/05/2008,2.166
27/05/2008,2.171
30/06/2008,2.14
04/08/2008,2.202
24/08/2008,2.198
25/09/2008,2.187
26/10/2008,2.173
05/12/2008,2.183
26/12/2008,2.182
25/01/2009,2.17
24/02/2009,2.179
23/03/2009,2.199
16/04/2009,2.194
17/05/2009,2.21
25/06/2009,2.229
23/07/2009,2.228
17/08/2009,2.209
25/09/2009,2.184
19/10/2009,2.175
26/11/2009,2.156
25/12/2009,2.168
24/01/2010,2.16
27/02/2010,2.147
29/03/2010,2.151
19/04/2010,2.159
24/05/2010,2.208
22/06/2010,2.231
24/07/2010,2.243
23/08/2010,2.221
25/09/2010,2.228
21/10/2010,2.238
22/11/2010,2.207
25/12/2010,2.206
22/01/2011,2.262
25/02/2011,2.256
24/03/2011,2.258
22/04/2011,2.255
27/05/2011,2.341
24/06/2011,2.336
22/07/2011,2.345
23/08/2011,2.348
19/09/2011,2.355
30/10/2011,2.343
23/11/2011,2.361
19/12/2011,2.35
15/01/2012,2.33
28/02/2012,2.034
23/03/2012,2.074
23/04/2012,2.221
22/05/2012,2.258
19/06/2012,2.254
23/07/2012,2.282
27/08/2012,2.282
19/09/2012,2.264
26/10/2012,2.269
19/11/2012,2.287
06/12/2012,2.266
06/12/2012,
17/12/2012,2.283
18/01/2013,2.285
21/02/2013,2.039
19/03/2013,2.104
16/04/2013,2.135
21/05/2013,2.076
19/06/2013,2.059
22/07/2013,2.098
23/08/2013,2.085
26/09/2013,2.074
23/10/2013,2.094
21/11/2013,2.13
21/12/2013,2.138
23/01/2014,2.179
16/02/2014,2.195
19/03/2014,2.22
24/04/2014,2.268
23/05/2014,2.288
23/06/2014,2.325
17/07/2014,2.343
17/08/2014,2.354
21/09/2014,2.364
17/10/2014,2.368
20/11/2014,2.38
22/12/2014,2.403
19/01/2015,2.41
22/02/2015,2.415
19/03/2015,2.18
19/04/2015,1.94
21/05/2015,2.094
25/06/2015,2.153
23/07/2015,2.19
21/08/2015,2.206
19/09/2015,2.212
22/10/2015,2.214
27/11/2015,2.232
28/12/2015,2.23
22/01/2016,2.265
26/02/2016,2.3
24/03/2016,2.327
26/04/2016,2.366
30/05/2016,2.409
24/06/2016,2.433
22/07/2016,2.443
23/08/2016,2.44
23/09/2016,2.451
23/10/2016,2.462
23/11/2016,2.47
23/12/2016,2.485
28/12/2016,2.487
28/12/2016,
23/01/2017,2.499
23/02/2017,2.481
23/03/2017,2.029
23/04/2017,2.241
23/05/2017,2.317
23/06/2017,2.218
23/07/2017,2.276
23/08/2017,2.303
23/09/2017,2.323
23/10/2017,2.344
23/11/2017,2.353
23/12/2017,2.368
23/01/2018,2.402
23/02/2018,2.426
23/03/2018,2.449
23/04/2018,2.477
23/05/2018,2.509
23/06/2018,2.528
23/07/2018,2.535
23/08/2018,2.54
23/09/2018,2.539
23/10/2018,2.534
23/11/2018,2.533
23/12/2018,2.542
23/01/2019,2.545
23/02/2019,1.763
23/03/2019,1.874
23/04/2019,1.936
23/05/2019,1.996
21/06/2019,2.034
19/07/2019,2.068
19/08/2019,2.108
21/09/2019,2.133
23/10/2019,
21/11/2019,2.163
19/12/2019,2.186
24/01/2020,2.223
21/02/2020,2.232
22/03/2020,2.29
23/04/2020,2.329
22/05/2020,2.376
28/05/2020,2.389
21/06/2020,2.417
21/07/2020,2.445
21/07/2020,2.448
23/08/2020,2.477
23/08/2020,2.477
23/09/2020,2.215
23/09/2020,2.22
23/10/2020,2.26
23/10/2020,2.263
18/11/2020,2.301
18/11/2020,2.301
21/12/2020,2.331
21/12/2020,2.332
19/01/2021,2.353
19/01/2021,2.353
19/02/2021,2.384
19/02/2021,2.384
17/03/2021,2.412
17/03/2021,2.412
18/04/2021,2.446
18/04/2021,2.446
22/05/2021,2.495
22/05/2021,2.496
21/06/2021,2.529
21/06/2021,2.529
18/07/2021,2.547
18/07/2021,2.547
18/08/2021,2.561
18/08/2021,2.561
22/09/2021,2.571
22/09/2021,2.572
21/10/2021,2.578
21/10/2021,2.578
23/11/2021,2.585
23/11/2021,2.586
19/12/2021,2.589
19/12/2021,2.592
19/01/2022,2.601
19/01/2022,2.601
21/02/2022,2.615
21/02/2022,2.614
25/03/2022,2.583
25/03/2022,2.582
22/04/2022,2.606
22/04/2022,2.604
22/05/2022,2.636
22/05/2022,2.634
19/06/2022,2.645
19/06/2022,2.643
19/07/2022,2.662
19/07/2022,2.66
22/08/2022,2.672
22/08/2022,2.674
27/09/2022,2.683
23/10/2022,2.689
23/11/2022,2.693
17/12/2022,2.693
14/01/2023,2.706
19/01/2023,2.706
19/01/2023,2.706
17/02/2023,2.505
27/02/2023,2.54
27/03/2023,2.581
12/04/2023,2.573
25/04/2023,2.598
11/05/2023,2.619
25/05/2023,2.646
29/05/2023,2.645
08/06/2023,2.665
22/06/2023,2.681
27/06/2023,2.689
11/07/2023,2.708
22/07/2023,2.709
22/07/2023,2.707
06/08/2023,2.715
10/08/2023,2.714
24/08/2023,2.722
07/09/2023,2.729
06/10/2023,2.736
11/11/2023,2.745
11/12/2023,2.753
07/01/2024,2.77
10/02/2024,2.774
24/02/2024,2.781
24/02/2024,2.779
09/03/2024,2.785
23/03/2024,2.795
23/03/2024,2.791
13/04/2024,2.8
27/04/2024,2.808
27/04/2024,2.808
11/05/2024,2.816
25/05/2024,2.825
07/06/2024,2.832
23/06/2024,2.841
10/07/2024,2.846
27/07/2024,2.86
09/08/2024,2.859
19/08/2024,2.859
19/08/2024,2.86
12/09/2024,2.866
26/09/2024,2.869
26/09/2024,2.868
24/10/2024,2.875
08/11/2024,2.883
28/11/2024,2.882
06/12/2024,2.884
