Fecha,total,Punto
1/8/2007,581018,MOP
1/9/2007,1345462,MOP
1/10/2007,1966272,MOP
1/11/2007,2055825,MOP
1/12/2007,2406211,MOP
1/1/2008,2189328,MOP
1/2/2008,1670358,MOP
1/3/2008,1613717,MOP
1/4/2008,1446557,MOP
1/5/2008,1042019,MOP
1/6/2008,1042020,MOP
1/7/2008,785909,MOP
1/8/2008,739156,MOP
1/9/2008,1164056,MOP
1/10/2008,1854203,MOP
1/11/2008,2012090,MOP
1/12/2008,2563519,MOP
1/1/2009,2506235,MOP
1/2/2009,1928384,MOP
1/3/2009,2605288,MOP
1/4/2009,1698460,MOP
1/5/2009,1696865,MOP
1/6/2009,1453597,MOP
1/7/2009,1089301,MOP
1/8/2009,1105986,MOP
1/9/2009,1884475,MOP
1/10/2009,2883441,MOP
1/11/2009,3549974,MOP
1/12/2009,3508941,MOP
1/1/2010,3651058,MOP
1/2/2010,3184133,MOP
1/3/2010,3443683,MOP
1/4/2010,2981213,MOP
1/5/2010,2735993,MOP
1/6/2010,2414183,MOP
1/7/2010,2199342,MOP
1/8/2010,2814355,MOP
1/9/2010,3053424,MOP
1/10/2010,3242548,MOP
1/11/2010,3132720,MOP
1/12/2010,3094042,MOP
1/1/2011,3180618,MOP
1/2/2011,2613336,MOP
1/3/2011,3308120,MOP
1/4/2011,2949980,MOP
1/5/2011,2755273,MOP
1/6/2011,2307984,MOP
1/7/2011,2258906,MOP
1/8/2011,2847818,MOP
1/9/2011,2890124,MOP
1/10/2011,2910894,MOP
1/11/2011,2933418,MOP
1/12/2011,3799616,MOP
1/1/2012,4354309,MOP
1/2/2012,4024437,MOP
1/3/2012,3205529,MOP
1/4/2012,2806909,MOP
1/5/2012,2866275,MOP
1/6/2012,2003511,MOP
1/7/2012,2399629,MOP
1/8/2012,2393021,MOP
1/9/2012,3476341,MOP
1/10/2012,4191849,MOP
1/11/2012,4638860,MOP
1/12/2012,4474789,MOP
1/1/2013,4766507,MOP
1/2/2013,4026795,MOP
1/3/2013,4953820,MOP
1/4/2013,3583187,MOP
1/5/2013,2383228,MOP
1/6/2013,2493321,MOP
1/7/2013,2920568,MOP
1/8/2013,3189992,MOP
1/9/2013,3647055,MOP
1/10/2013,3615098,MOP
1/11/2013,4648932,MOP
1/12/2013,5094543,MOP
1/1/2014,4734788,MOP
1/2/2014,3834323,MOP
1/3/2014,3862071,MOP
1/4/2014,2649340,MOP
1/5/2014,1838236,MOP
1/6/2014,1716059,MOP
1/7/2014,1804606,MOP
1/8/2014,3053054,MOP
1/9/2014,3281139,MOP
1/10/2014,4106613,MOP
1/11/2014,4923471,MOP
1/12/2014,5382215,MOP
1/1/2015,4910238,MOP
1/2/2015,4511011,MOP
1/3/2015,4344615,MOP
1/4/2015,3796477,MOP
1/5/2015,3289255,MOP
1/6/2015,2204001,MOP
1/7/2015,3985947,MOP
1/8/2015,2950352,MOP
1/9/2015,3957510,MOP
1/10/2015,4564286,MOP
1/11/2015,5507892,MOP
1/12/2015,6211021,MOP
1/1/2016,5763217,MOP
1/2/2016,5491257,MOP
1/3/2016,5841612,MOP
1/4/2016,4528599,MOP
1/5/2016,3086432,MOP
1/6/2016,1888811,MOP
1/7/2016,1774761,MOP
1/8/2016,1450402,MOP
1/9/2016,4873616,MOP
1/10/2016,5340014,MOP
1/11/2016,5307726,MOP
