Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
1/8/2007,75722,236052,311774,MOP
1/9/2007,77870,394060,471930,MOP
1/10/2007,54261,453656,507917,MOP
1/11/2007,51751,510391,562142,MOP
1/12/2007,27179,485567,512746,MOP
1/1/2008,1687,452637,454324,MOP
1/2/2008,57439,338072,395511,MOP
1/3/2008,41536,347239,388775,MOP
1/4/2008,182385,410577,592962,MOP
1/5/2008,113604,505101,618705,MOP
1/6/2008,154693,495116,649809,MOP
1/7/2008,193227,436337,629564,MOP
1/8/2008,76529,410761,487290,MOP
1/9/2008,55887,387308,443195,MOP
1/10/2008,11371,425764,437135,MOP
1/11/2008,180715,402490,583205,MOP
1/12/2008,117747,405868,523615,MOP
1/1/2009,155597,386051,541648,MOP
1/2/2009,131204,347448,478652,MOP
1/3/2009,90923,332122,423045,MOP
1/4/2009,128490,355515,484005,MOP
1/5/2009,75501,456461,531962,MOP
1/6/2009,82270,505860,588130,MOP
1/7/2009,0,334465,334465,MOP
1/8/2009,0,406385,406385,MOP
1/9/2009,0,390073,390073,MOP
1/10/2009,5826,442617,448443,MOP
1/11/2009,0,346027,346027,MOP
1/12/2009,25096,394639,419735,MOP
1/1/2010,33336,207197,240533,MOP
1/2/2010,7946,300570,308516,MOP
1/3/2010,30116,342364,372480,MOP
1/4/2010,35179,344122,379301,MOP
1/5/2010,24937,330327,355264,MOP
1/6/2010,36768,337105,373873,MOP
1/7/2010,75459,414960,490419,MOP
1/8/2010,144751,363966,508717,MOP
1/9/2010,0,297647,297647,MOP
1/10/2010,0,316069,316069,MOP
1/11/2010,70234,252734,322968,MOP
1/12/2010,119692,235902,355594,MOP
1/1/2011,139562,265833,405395,MOP
1/2/2011,125041,216542,341583,MOP
1/3/2011,93451,263135,356586,MOP
1/4/2011,45462,264192,309654,MOP
1/5/2011,47508,293350,340858,MOP
1/6/2011,389,288150,288539,MOP
1/7/2011,0,333370,333370,MOP
1/8/2011,0,382734,382734,MOP
1/9/2011,0,343646,343646,MOP
1/10/2011,8902,372412,381314,MOP
1/11/2011,115108,374488,489596,MOP
1/12/2011,71761,358130,429891,MOP
1/1/2012,9988,328084,338072,MOP
1/2/2012,17167,330411,347578,MOP
1/3/2012,33248,345921,379169,MOP
1/4/2012,2263,385954,388217,MOP
1/5/2012,5451,353420,358871,MOP
1/6/2012,0,338331,338331,MOP
1/7/2012,0,323129,323129,MOP
1/8/2012,0,330667,330667,MOP
1/9/2012,0,315852,315852,MOP
1/10/2012,0,365547,365547,MOP
1/11/2012,0,387323,387323,MOP
1/12/2012,0,352261,352261,MOP
1/1/2013,0,335174,335174,MOP
1/2/2013,0,612164,612164,MOP
1/3/2013,0,347420,347420,MOP
1/4/2013,0,313876,313876,MOP
1/5/2013,0,447168,447168,MOP
1/6/2013,0,343505,343505,MOP
1/7/2013,0,308800,308800,MOP
1/8/2013,0,306793,306793,MOP
1/9/2013,0,307229,307229,MOP
1/10/2013,0,274277,274277,MOP
1/11/2013,0,278633,278633,MOP
1/12/2013,0,299354,299354,MOP
1/1/2014,0,272067,272067,MOP
1/2/2014,0,242298,242298,MOP
1/3/2014,0,292321,292321,MOP
1/4/2014,6922,308094,315016,MOP
1/5/2014,6984,329409,336393,MOP
1/6/2014,0,336627,336627,MOP
1/7/2014,0,334487,334487,MOP
1/8/2014,335,313106,313441,MOP
1/9/2014,0,344334,344334,MOP
1/10/2014,0,352425,352425,MOP
1/11/2014,0,355691,355691,MOP
1/12/2014,0,341307,341307,MOP
1/1/2015,0,323942,323942,MOP
1/2/2015,0,323113,323113,MOP
1/3/2015,0,296010,296010,MOP
1/4/2015,0,344098,344098,MOP
1/5/2015,0,365206,365206,MOP
1/6/2015,12513,360120,372633,MOP
1/7/2015,12388,312817,325205,MOP
1/8/2015,1000,307127,308127,MOP
1/9/2015,0,338259,338259,MOP
1/10/2015,0,360764,360764,MOP
1/11/2015,0,334843,334843,MOP
1/12/2015,7007,354906,361913,MOP
1/1/2016,559,343973,344532,MOP
1/2/2016,0,349326,349326,MOP
