Fecha,extraccion,reinyeccion directa,reinyeccion indirecta,total,Punto
01/08/2007,581018.00,75722.00,236052.00,-269244.00,MOP
01/09/2007,1345462.00,77870.00,394060.00,-873532.00,MOP
01/10/2007,1966272.00,54261.00,453656.00,-1458355.00,MOP
01/11/2007,2055825.00,51751.00,510391.00,-1493683.00,MOP
01/12/2007,2406211.00,27179.00,485567.00,-1893465.00,MOP
01/01/2008,2189328.00,1687.00,452637.00,-1735004.00,MOP
01/02/2008,1670358.00,57439.00,338072.00,-1274847.00,MOP
01/03/2008,1613717.00,41536.00,347239.00,-1224942.00,MOP
01/04/2008,1446557.00,182385.00,410577.00,-853595.00,MOP
01/05/2008,1042019.00,113604.00,505101.00,-423314.00,MOP
01/06/2008,1042020.00,154693.00,495116.00,-392211.00,MOP
01/07/2008,785909.00,193227.00,436337.00,-156345.00,MOP
01/08/2008,739156.00,76529.00,410761.00,-251866.00,MOP
01/09/2008,1164056.00,55887.00,387308.00,-720861.00,MOP
01/10/2008,1854203.00,11371.00,425764.00,-1417068.00,MOP
01/11/2008,2012090.00,180715.00,402490.00,-1428885.00,MOP
01/12/2008,2563519.00,117747.00,405868.00,-2039904.00,MOP
01/01/2009,2506235.00,155597.00,386051.00,-1964587.00,MOP
01/02/2009,1928384.00,131204.00,347448.00,-1449732.00,MOP
01/03/2009,2605288.00,90923.00,332122.00,-2182243.00,MOP
01/04/2009,1698460.00,128490.00,355515.00,-1214455.00,MOP
01/05/2009,1696865.00,75501.00,456461.00,-1164903.00,MOP
01/06/2009,1453597.00,82270.00,505860.00,-865467.00,MOP
01/07/2009,1089301.00,0.00,334465.00,-754836.00,MOP
01/08/2009,1105986.00,0.00,406385.00,-699601.00,MOP
01/09/2009,1884475.00,0.00,390073.00,-1494402.00,MOP
01/10/2009,2883441.00,5826.00,442617.00,-2434998.00,MOP
01/11/2009,3549974.00,0.00,346027.00,-3203947.00,MOP
01/12/2009,3508941.00,25096.00,394639.00,-3089206.00,MOP
01/01/2010,3651058.00,33336.00,207197.00,-3410525.00,MOP
01/02/2010,3184133.00,7946.00,300570.00,-2875617.00,MOP
01/03/2010,3443683.00,30116.00,342364.00,-3071203.00,MOP
01/04/2010,2981213.00,35179.00,344122.00,-2601912.00,MOP
01/05/2010,2735993.00,24937.00,330327.00,-2380729.00,MOP
01/06/2010,2414183.00,36768.00,337105.00,-2040310.00,MOP
01/07/2010,2199342.00,75459.00,414960.00,-1708923.00,MOP
01/08/2010,2814355.00,144751.00,363966.00,-2305638.00,MOP
01/09/2010,3053424,0.00,297647,-2755777.00,MOP
01/10/2010,3242548,0.00,316069,-2926479.00,MOP
01/11/2010,3132720,70234,252734,-2809752.00,MOP
01/12/2010,3094042,119692,235902,-2738448.00,MOP
01/01/2011,3180618,139562,265833,-2775223.00,MOP
01/02/2011,2613336,125041,216542,-2271753.00,MOP
01/03/2011,3308120,93451,263135,-2951534.00,MOP
01/04/2011,2949980,45462,264192,-2640326.00,MOP
01/05/2011,2755273,47508,293350,-2414415.00,MOP
01/06/2011,2307984,389,288150,-2019445.00,MOP
01/07/2011,2258906,0,333370,-1925536.00,MOP
01/08/2011,2847818,0,382734,-2465084.00,MOP
01/09/2011,2890124,0,343646,-2546478.00,MOP
01/10/2011,2910894,8902,372412,-2529580.00,MOP
01/11/2011,2933418,115108,374488,-2443822.00,MOP
01/12/2011,3799616,71761,358130,-3369725.00,MOP
01/01/2012,4354309,9988,328084,-4016237.00,MOP
01/02/2012,4024437,17167,330411,-3676859.00,MOP
01/03/2012,3205529,33248,345921,-2826360.00,MOP
01/04/2012,2806909,2263,385954,-2418692.00,MOP
01/05/2012,2866275,5451,353420,-2507404.00,MOP
01/06/2012,2003511,0,338331,-1665180.00,MOP
01/07/2012,2399629,0,323129,-2076500.00,MOP
01/08/2012,2393021,0,330667,-2062354.00,MOP
01/09/2012,3476341,0,315852,-3160489.00,MOP
01/10/2012,4191849,0,365547,-3826302.00,MOP
01/11/2012,4638860,0,387323,-4251537.00,MOP
01/12/2012,4474789,0,352261,-4122528.00,MOP
01/01/2013,4766507,0,335174,-4431333.00,MOP
01/02/2013,4026795,0,612164,-3414631.00,MOP
01/03/2013,4953820,0,347420,-4606400.00,MOP
01/04/2013,3583187,0,313876,-3269311.00,MOP
01/05/2013,2383228,0,447168,-1936060.00,MOP
01/06/2013,2493321,0,343505,-2149816.00,MOP
01/07/2013,2920568,0,308800,-2611768.00,MOP
01/08/2013,3189992,0,306793,-2883199.00,MOP
01/09/2013,3647055,0,307229,-3339826.00,MOP
01/10/2013,3615098,0,274277,-3340821.00,MOP
01/11/2013,4648932,0,278633,-4370299.00,MOP
01/12/2013,5094543,0,299354,-4795189.00,MOP
01/01/2014,4734788,0,272067,-4462721.00,MOP
01/02/2014,3834323,0,242298,-3592025.00,MOP
01/03/2014,3862071,0,292321,-3569750.00,MOP
01/04/2014,2649340,6922,308094,-2334324.00,MOP
01/05/2014,1838236,6984,329409,-1501843.00,MOP
01/06/2014,1716059,0,336627,-1379432.00,MOP
01/07/2014,1804606,0,334487,-1470119.00,MOP
01/08/2014,3053054,335,313106,-2739613.00,MOP
01/09/2014,3281139,0,344334,-2936805.00,MOP
01/10/2014,4106613,0,352425,-3754188.00,MOP
01/11/2014,4923471,0,355691,-4567780.00,MOP
01/12/2014,5382215,0,341307,-5040908.00,MOP
01/01/2015,4910238,0,323942,-4586296.00,MOP
01/02/2015,4511011,0,323113,-4187898.00,MOP
01/03/2015,4344615,0,296010,-4048605.00,MOP
01/04/2015,3796477,0,344098,-3452379.00,MOP
01/05/2015,3289255,0,365206,-2924049.00,MOP
01/06/2015,2204001,12513,360120,-1831368.00,MOP
01/07/2015,3985947,12388,312817,-3660742.00,MOP
01/08/2015,2950352,1000,307127,-2642225.00,MOP
01/09/2015,3957510,0,338259,-3619251.00,MOP
01/10/2015,4564286,0,360764,-4203522.00,MOP
01/11/2015,5507892,0,334843,-5173049.00,MOP
01/12/2015,6211021,7007,354906,-5849108.00,MOP
01/01/2016,5763217,559,343973,-5418685.00,MOP
01/02/2016,5491257,0,349326,-5141931.00,MOP
01/03/2016,5841612,0,371293,-5470319.00,MOP
01/04/2016,4528599,0,316860,-4211739.00,MOP
01/05/2016,3086432,0,383650,-2702782.00,MOP
01/06/2016,1888811,7048,423976,-1457787.00,MOP
01/07/2016,1774761,7744,438679,-1328338.00,MOP
01/08/2016,1450402,0,425376,-1025026.00,MOP
01/09/2016,4873616,0,378862,-4494754.00,MOP
01/10/2016,5340014,0,279154,-5060860.00,MOP
01/11/2016,5307726,0,377159,-4930567.00,MOP
01/12/2016,5760326,0,374535,-5385791.00,MOP
01/01/2017,4232622,0,345525,-3887097.00,MOP
01/02/2017,4378451,0,323687,-4054764.00,MOP
01/03/2017,5030318,0,350171,-4680147.00,MOP
01/04/2017,4239274,0,341785,-3897489.00,MOP
01/05/2017,3212100,0,342087,-2870013.00,MOP
01/06/2017,2342450,7060,334514,-2000876.00,MOP
01/07/2017,2254982,7038,309792,-1938152.00,MOP
01/08/2017,3574888,6000,282002,-3286886.00,MOP
01/09/2017,5186374,0,289755,-4896619.00,MOP
01/10/2017,5641082,0,332904,-5308178.00,MOP
01/11/2017,5509542,0,369268,-5140274.00,MOP
01/12/2017,5992632,0,375804,-5616828.00,MOP
