Fecha,total,Punto
01/08/2007,581018.00,MOP
01/09/2007,1345462.00,MOP
01/10/2007,1966272.00,MOP
01/11/2007,2055825.00,MOP
01/12/2007,2406211.00,MOP
01/01/2008,2189328.00,MOP
01/02/2008,1670358.00,MOP
01/03/2008,1613717.00,MOP
01/04/2008,1446557.00,MOP
01/05/2008,1042019.00,MOP
01/06/2008,1042020.00,MOP
01/07/2008,785909.00,MOP
01/08/2008,739156.00,MOP
01/09/2008,1164056.00,MOP
01/10/2008,1854203.00,MOP
01/11/2008,2012090.00,MOP
01/12/2008,2563519.00,MOP
01/01/2009,2506235.00,MOP
01/02/2009,1928384.00,MOP
01/03/2009,2605288.00,MOP
01/04/2009,1698460.00,MOP
01/05/2009,1696865.00,MOP
01/06/2009,1453597.00,MOP
01/07/2009,1089301.00,MOP
01/08/2009,1105986.00,MOP
01/09/2009,1884475.00,MOP
01/10/2009,2883441.00,MOP
01/11/2009,3549974.00,MOP
01/12/2009,3508941.00,MOP
01/01/2010,3651058.00,MOP
01/02/2010,3184133.00,MOP
01/03/2010,3443683.00,MOP
01/04/2010,2981213.00,MOP
01/05/2010,2735993.00,MOP
01/06/2010,2414183.00,MOP
01/07/2010,2199342.00,MOP
01/08/2010,2814355.00,MOP
01/09/2010,3053424,MOP
01/10/2010,3242548,MOP
01/11/2010,3132720,MOP
01/12/2010,3094042,MOP
01/01/2011,3180618,MOP
01/02/2011,2613336,MOP
01/03/2011,3308120,MOP
01/04/2011,2949980,MOP
01/05/2011,2755273,MOP
01/06/2011,2307984,MOP
01/07/2011,2258906,MOP
01/08/2011,2847818,MOP
01/09/2011,2890124,MOP
01/10/2011,2910894,MOP
01/11/2011,2933418,MOP
01/12/2011,3799616,MOP
01/01/2012,4354309,MOP
01/02/2012,4024437,MOP
01/03/2012,3205529,MOP
01/04/2012,2806909,MOP
01/05/2012,2866275,MOP
01/06/2012,2003511,MOP
01/07/2012,2399629,MOP
01/08/2012,2393021,MOP
01/09/2012,3476341,MOP
01/10/2012,4191849,MOP
01/11/2012,4638860,MOP
01/12/2012,4474789,MOP
01/01/2013,4766507,MOP
01/02/2013,4026795,MOP
01/03/2013,4953820,MOP
01/04/2013,3583187,MOP
01/05/2013,2383228,MOP
01/06/2013,2493321,MOP
