Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
01/08/2007,75722.00,236052.00,311774.00,MOP
01/09/2007,77870.00,394060.00,471930.00,MOP
01/10/2007,54261.00,453656.00,507917.00,MOP
01/11/2007,51751.00,510391.00,562142.00,MOP
01/12/2007,27179.00,485567.00,512746.00,MOP
01/01/2008,1687.00,452637.00,454324.00,MOP
01/02/2008,57439.00,338072.00,395511.00,MOP
01/03/2008,41536.00,347239.00,388775.00,MOP
01/04/2008,182385.00,410577.00,592962.00,MOP
01/05/2008,113604.00,505101.00,618705.00,MOP
01/06/2008,154693.00,495116.00,649809.00,MOP
01/07/2008,193227.00,436337.00,629564.00,MOP
01/08/2008,76529.00,410761.00,487290.00,MOP
01/09/2008,55887.00,387308.00,443195.00,MOP
01/10/2008,11371.00,425764.00,437135.00,MOP
01/11/2008,180715.00,402490.00,583205.00,MOP
01/12/2008,117747.00,405868.00,523615.00,MOP
01/01/2009,155597.00,386051.00,541648.00,MOP
01/02/2009,131204.00,347448.00,478652.00,MOP
01/03/2009,90923.00,332122.00,423045.00,MOP
01/04/2009,128490.00,355515.00,484005.00,MOP
01/05/2009,75501.00,456461.00,531962.00,MOP
01/06/2009,82270.00,505860.00,588130.00,MOP
01/07/2009,0.00,334465.00,334465.00,MOP
01/08/2009,0.00,406385.00,406385.00,MOP
01/09/2009,0.00,390073.00,390073.00,MOP
01/10/2009,5826.00,442617.00,448443.00,MOP
01/11/2009,0.00,346027.00,346027.00,MOP
01/12/2009,25096.00,394639.00,419735.00,MOP
01/01/2010,33336.00,207197.00,240533.00,MOP
01/02/2010,7946.00,300570.00,308516.00,MOP
01/03/2010,30116.00,342364.00,372480.00,MOP
01/04/2010,35179.00,344122.00,379301.00,MOP
01/05/2010,24937.00,330327.00,355264.00,MOP
01/06/2010,36768.00,337105.00,373873.00,MOP
01/07/2010,75459.00,414960.00,490419.00,MOP
01/08/2010,144751.00,363966.00,508717.00,MOP
01/09/2010,0.00,297647,297647.00,MOP
01/10/2010,0.00,316069,316069.00,MOP
01/11/2010,70234,252734,322968.00,MOP
01/12/2010,119692,235902,355594.00,MOP
01/01/2011,139562,265833,405395.00,MOP
01/02/2011,125041,216542,341583.00,MOP
01/03/2011,93451,263135,356586.00,MOP
01/04/2011,45462,264192,309654.00,MOP
01/05/2011,47508,293350,340858.00,MOP
01/06/2011,389,288150,288539.00,MOP
01/07/2011,0,333370,333370.00,MOP
01/08/2011,0,382734,382734.00,MOP
01/09/2011,0,343646,343646.00,MOP
01/10/2011,8902,372412,381314.00,MOP
01/11/2011,115108,374488,489596.00,MOP
01/12/2011,71761,358130,429891.00,MOP
01/01/2012,9988,328084,338072.00,MOP
01/02/2012,17167,330411,347578.00,MOP
01/03/2012,33248,345921,379169.00,MOP
01/04/2012,2263,385954,388217.00,MOP
01/05/2012,5451,353420,358871.00,MOP
01/06/2012,0,338331,338331.00,MOP
01/07/2012,0,323129,323129.00,MOP
01/08/2012,0,330667,330667.00,MOP
01/09/2012,0,315852,315852.00,MOP
01/10/2012,0,365547,365547.00,MOP
01/11/2012,0,387323,387323.00,MOP
01/12/2012,0,352261,352261.00,MOP
01/01/2013,0,335174,335174.00,MOP
01/02/2013,0,612164,612164.00,MOP
01/03/2013,0,347420,347420.00,MOP
01/04/2013,0,313876,313876.00,MOP
01/05/2013,0,447168,447168.00,MOP
01/06/2013,0,343505,343505.00,MOP
01/07/2013,0,308800,308800.00,MOP
01/08/2013,0,306793,306793.00,MOP
01/09/2013,0,307229,307229.00,MOP
01/10/2013,0,274277,274277.00,MOP
01/11/2013,0,278633,278633.00,MOP
01/12/2013,0,299354,299354.00,MOP
01/01/2014,0,272067,272067.00,MOP
01/02/2014,0,242298,242298.00,MOP
01/03/2014,0,292321,292321.00,MOP
01/04/2014,6922,308094,315016.00,MOP
01/05/2014,6984,329409,336393.00,MOP
01/06/2014,0,336627,336627.00,MOP
01/07/2014,0,334487,334487.00,MOP
01/08/2014,335,313106,313441.00,MOP
01/09/2014,0,344334,344334.00,MOP
01/10/2014,0,352425,352425.00,MOP
01/11/2014,0,355691,355691.00,MOP
01/12/2014,0,341307,341307.00,MOP
01/01/2015,0,323942,323942.00,MOP
01/02/2015,0,323113,323113.00,MOP
01/03/2015,0,296010,296010.00,MOP
01/04/2015,0,344098,344098.00,MOP
01/05/2015,0,365206,365206.00,MOP
01/06/2015,12513,360120,372633.00,MOP
01/07/2015,12388,312817,325205.00,MOP
01/08/2015,1000,307127,308127.00,MOP
01/09/2015,0,338259,338259.00,MOP
01/10/2015,0,360764,360764.00,MOP
01/11/2015,0,334843,334843.00,MOP
