Fecha,Punto,total
1/1/2010,Pozo Peine,-0.0
1/2/2010,Pozo Peine,-0.0
1/3/2010,Pozo Peine,-0.0
1/4/2010,Pozo Peine,-0.0
1/5/2010,Pozo Peine,-0.0
1/6/2010,Pozo Peine,-0.0
1/7/2010,Pozo Peine,-0.0
1/8/2010,Pozo Peine,-0.0
1/9/2010,Pozo Peine,-0.0
1/10/2010,Pozo Peine,-0.0
1/11/2010,Pozo Peine,-0.0
1/12/2010,Pozo Peine,-0.0
1/1/2011,Pozo Peine,-0.0
1/2/2011,Pozo Peine,-0.0
1/3/2011,Pozo Peine,-0.0
1/4/2011,Pozo Peine,-0.0
1/5/2011,Pozo Peine,-0.0
1/6/2011,Pozo Peine,-0.0
1/7/2011,Pozo Peine,-0.0
1/8/2011,Pozo Peine,-0.0
1/9/2011,Pozo Peine,-0.0
1/10/2011,Pozo Peine,-0.0
1/11/2011,Pozo Peine,-0.0
1/12/2011,Pozo Peine,-0.0
1/1/2012,Pozo Peine,-0.0
1/2/2012,Pozo Peine,-0.0
1/3/2012,Pozo Peine,-0.0
1/4/2012,Pozo Peine,-0.0
1/5/2012,Pozo Peine,-0.0
1/6/2012,Pozo Peine,-0.0
1/7/2012,Pozo Peine,-0.0
1/8/2012,Pozo Peine,-0.0
1/9/2012,Pozo Peine,-0.0
1/10/2012,Pozo Peine,-0.0
1/11/2012,Pozo Peine,-0.0
1/12/2012,Pozo Peine,-0.0
1/1/2013,Pozo Peine,6406.7328
1/2/2013,Pozo Peine,5752.8576
1/3/2013,Pozo Peine,6216.5664
1/4/2013,Pozo Peine,6150.816
1/5/2013,Pozo Peine,5648.7456
1/6/2013,Pozo Peine,5331.744
1/7/2013,Pozo Peine,4537.2096
1/8/2013,Pozo Peine,3586.3776
1/9/2013,Pozo Peine,3359.232
1/10/2013,Pozo Peine,2954.2752
1/11/2013,Pozo Peine,2848.608
1/12/2013,Pozo Peine,1856.1312
1/1/2014,Pozo Peine,5118.4224
1/2/2014,Pozo Peine,3544.128
1/3/2014,Pozo Peine,1189.2096
1/4/2014,Pozo Peine,292.896
1/5/2014,Pozo Peine,267.84
1/6/2014,Pozo Peine,813.888
1/7/2014,Pozo Peine,2616.7968
1/8/2014,Pozo Peine,849.0528
1/9/2014,Pozo Peine,699.84
