Fecha,total,Punto
1/8/2007,245863,SOP
1/9/2007,829750,SOP
1/10/2007,1272505,SOP
1/11/2007,1211469,SOP
1/12/2007,1006856,SOP
1/1/2008,1556752,SOP
1/2/2008,1334556,SOP
1/3/2008,792525,SOP
1/4/2008,589831,SOP
1/5/2008,796088,SOP
1/6/2008,656203,SOP
1/7/2008,1546285,SOP
1/8/2008,517957,SOP
1/9/2008,95598,SOP
1/10/2008,1194858,SOP
1/11/2008,1547772,SOP
1/12/2008,656745,SOP
1/1/2009,515578,SOP
1/2/2009,348202,SOP
1/3/2009,650403,SOP
1/4/2009,151961,SOP
1/5/2009,8205,SOP
1/6/2009,16367,SOP
1/7/2009,20717,SOP
1/8/2009,35056,SOP
1/9/2009,6444,SOP
1/10/2009,61836,SOP
1/11/2009,42565,SOP
1/12/2009,50915,SOP
1/1/2010,4094,SOP
1/2/2010,17968,SOP
1/3/2010,11853,SOP
1/4/2010,161557,SOP
1/5/2010,300174,SOP
1/6/2010,424765,SOP
1/7/2010,524084,SOP
1/8/2010,338955,SOP
1/9/2010,283189,SOP
1/10/2010,606058,SOP
1/11/2010,979524,SOP
1/12/2010,1460170,SOP
1/1/2011,1574619,SOP
1/2/2011,1451336,SOP
1/3/2011,1290254,SOP
1/4/2011,883209,SOP
1/5/2011,534966,SOP
1/6/2011,44596,SOP
1/7/2011,43193,SOP
1/8/2011,676104,SOP
1/9/2011,1082653,SOP
1/10/2011,1355675,SOP
1/11/2011,1733198,SOP
1/12/2011,1762717,SOP
1/1/2012,1363286,SOP
1/2/2012,1083555,SOP
1/3/2012,1437782,SOP
1/4/2012,695493,SOP
1/5/2012,166287,SOP
1/6/2012,71348,SOP
1/7/2012,31131,SOP
1/8/2012,629671,SOP
1/9/2012,493434,SOP
1/10/2012,226536,SOP
1/11/2012,37256,SOP
1/12/2012,64765,SOP
1/1/2013,656642,SOP
1/2/2013,335495,SOP
1/3/2013,474672,SOP
1/4/2013,154037,SOP
1/5/2013,8104,SOP
1/6/2013,69453,SOP
1/7/2013,685675,SOP
1/8/2013,807591,SOP
1/9/2013,715181,SOP
1/10/2013,1517108,SOP
1/11/2013,1939976,SOP
1/12/2013,1554762,SOP
1/1/2014,2064066,SOP
1/2/2014,1169061,SOP
1/3/2014,1210398,SOP
1/4/2014,1296013,SOP
1/5/2014,1064607,SOP
1/6/2014,858821,SOP
1/7/2014,1017657,SOP
1/8/2014,977021,SOP
1/9/2014,725390,SOP
1/10/2014,1592630,SOP
1/11/2014,1299028,SOP
1/12/2014,1476696,SOP
