Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
1/8/2007,2707,94456,97163,SOP
1/9/2007,39527,117245,156772,SOP
1/10/2007,70028,122017,192045,SOP
1/11/2007,47065,131784,178849,SOP
1/12/2007,97608,119085,216693,SOP
1/1/2008,64598,160844,225442,SOP
1/2/2008,22738,67867,90605,SOP
1/3/2008,70458,142682,213140,SOP
1/4/2008,115819,108447,224266,SOP
1/5/2008,84253,113836,198089,SOP
1/6/2008,83969,176511,260480,SOP
1/7/2008,84789,199966,284755,SOP
1/8/2008,93845,192248,286093,SOP
1/9/2008,33494,150259,183753,SOP
1/10/2008,71403,157508,228911,SOP
1/11/2008,3775,147736,151511,SOP
1/12/2008,44241,188444,232685,SOP
1/1/2009,42164,174553,216717,SOP
1/2/2009,9823,183549,193372,SOP
1/3/2009,7194,184867,192061,SOP
1/4/2009,90641,173611,264252,SOP
1/5/2009,1742,121757,123499,SOP
1/6/2009,216713,188675,405388,SOP
1/7/2009,302424,172829,475253,SOP
1/8/2009,189588,186720,376308,SOP
1/9/2009,86257,177324,263581,SOP
1/10/2009,98308,180182,278490,SOP
1/11/2009,104811,178848,283659,SOP
1/12/2009,96245,198552,294797,SOP
1/1/2010,9386,196911,206297,SOP
1/2/2010,3287,244703,247990,SOP
1/3/2010,0,258102,258102,SOP
1/4/2010,0,239966,239966,SOP
1/5/2010,0,213337,213337,SOP
1/6/2010,0,226145,226145,SOP
1/7/2010,0,241581,241581,SOP
1/8/2010,20597,216282,236879,SOP
1/9/2010,5768,201598,207366,SOP
1/10/2010,0,206054,206054,SOP
1/11/2010,0,216182,216182,SOP
1/12/2010,0,217460,217460,SOP
1/1/2011,28761,233493,262254,SOP
1/2/2011,5025,191.032,5216.032,SOP
1/3/2011,7691,219259,226950,SOP
1/4/2011,737,205458,206195,SOP
1/5/2011,64862,227451,292313,SOP
1/6/2011,54445,196814,251259,SOP
1/7/2011,47134,220462,267596,SOP
1/8/2011,30008,216613,246621,SOP
1/9/2011,76104,261042,337146,SOP
1/10/2011,57025,218966,275991,SOP
1/11/2011,34857,292668,327525,SOP
1/12/2011,412,363636,364048,SOP
1/1/2012,0,366584,366584,SOP
1/2/2012,0,296707,296707,SOP
1/3/2012,7706,423970,431676,SOP
1/4/2012,1372,373474,374846,SOP
1/5/2012,0,370337,370337,SOP
1/6/2012,0,346897,346897,SOP
1/7/2012,0,382475,382475,SOP
1/8/2012,0,340324,340324,SOP
1/9/2012,0,343243,343243,SOP
1/10/2012,0,328504,328504,SOP
1/11/2012,0,467181,467181,SOP
1/12/2012,0,579638,579638,SOP
1/1/2013,7443,475020,482463,SOP
1/2/2013,0,498744,498744,SOP
1/3/2013,0,360517,360517,SOP
1/4/2013,0,304685,304685,SOP
1/5/2013,0,910019,910019,SOP
1/6/2013,0,406888,406888,SOP
1/7/2013,0,414767,414767,SOP
1/8/2013,0,390221,390221,SOP
1/9/2013,0,389414,389414,SOP
1/10/2013,0,439819,439819,SOP
1/11/2013,0,477520,477520,SOP
1/12/2013,0,474816,474816,SOP
1/1/2014,0,505836,505836,SOP
1/2/2014,0,303255,303255,SOP
1/3/2014,0,341913,341913,SOP
1/4/2014,483,512247,512730,SOP
1/5/2014,0,474696,474696,SOP
1/6/2014,0,524313,524313,SOP
1/7/2014,0,394724,394724,SOP
1/8/2014,703,493260,493963,SOP
1/9/2014,0,584178,584178,SOP
1/10/2014,0,629645,629645,SOP
1/11/2014,0,706056,706056,SOP
1/12/2014,0,769720,769720,SOP
1/1/2015,0,856881,856881,SOP
1/2/2015,0,927796,927796,SOP
1/3/2015,0,753014,753014,SOP
1/4/2015,0,764642,764642,SOP
1/5/2015,0,867742,867742,SOP
1/6/2015,0,510013,510013,SOP
1/7/2015,0,399592,399592,SOP
1/8/2015,0,512567,512567,SOP
1/9/2015,0,597417,597417,SOP
1/10/2015,0,553709,553709,SOP
1/11/2015,0,580087,580087,SOP
1/12/2015,0,681285,681285,SOP
1/1/2016,0,778929,778929,SOP
1/2/2016,0,670246,670246,SOP
1/3/2016,0,817146,817146,SOP
1/4/2016,0,534818,534818,SOP
1/5/2016,0,621733,621733,SOP
1/6/2016,0,476926,476926,SOP
1/7/2016,0,615554,615554,SOP
1/8/2016,0,430183,430183,SOP
1/9/2016,0,443041,443041,SOP
1/10/2016,0,461055,461055,SOP
1/11/2016,0,449762,449762,SOP
1/12/2016,0,791703,791703,SOP
1/1/2017,0,538694,538694,SOP
1/2/2017,0,601536,601536,SOP
1/3/2017,0,692985,692985,SOP
1/4/2017,0,480789,480789,SOP
1/5/2017,0,631917,631917,SOP
1/6/2017,0,827315,827315,SOP
1/7/2017,0,893437,893437,SOP
1/8/2017,0,733575,733575,SOP
1/9/2017,0,766649,766649,SOP
1/10/2017,0,764790,764790,SOP
1/11/2017,0,763018,763018,SOP
1/12/2017,0,804842,804842,SOP
1/1/2018,0,534793,534793,SOP
1/2/2018,0,402921,402921,SOP
1/3/2018,0,675133,675133,SOP
1/4/2018,0,548354,548354,SOP
1/5/2018,0,519684,519684,SOP
1/6/2018,0,403457,403457,SOP
1/7/2018,0,349807,349807,SOP
1/8/2018,0,426222,426222,SOP
1/9/2018,0,495767,495767,SOP
1/10/2018,0,519484,519484,SOP
1/11/2018,0,277242,277242,SOP
1/12/2018,0,212883,212883,SOP
1/1/2019,0,213181,213181,SOP
1/2/2019,0,244579,244579,SOP
1/3/2019,0,248423,248423,SOP
1/4/2019,0,281358,281358,SOP
1/5/2019,0,215473,215473,SOP
1/6/2019,0,140421,140421,SOP
1/7/2019,0,138789,138789,SOP
1/8/2019,0,291248,291248,SOP
1/9/2019,0,301127,301127,SOP
1/10/2019,0,289448,289448,SOP
1/11/2019,0,377755,377755,SOP
1/12/2019,0,491988,491988,SOP
1/1/2020,0,352181,352181,SOP
1/2/2020,0,391493,391493,SOP
1/3/2020,0,347858,347858,SOP
1/4/2020,0,323591,323591,SOP
1/5/2020,0,359549,359549,SOP
1/6/2020,0,355647,355647,SOP
1/7/2020,0,337384,337384,SOP
1/8/2020,0,270818,270818,SOP
1/9/2020,0,356884,356884,SOP
1/10/2020,0,43302,43302,SOP
1/11/2020,0,314912,314912,SOP
1/12/2020,0,443789,443789,SOP
1/1/2021,0,394908,394908,SOP
1/2/2021,0,375078,375078,SOP
1/3/2021,0,364634,364634,SOP
1/4/2021,0,285362,285362,SOP
1/5/2021,0,355714,355714,SOP
1/6/2021,0,380957,380957,SOP
1/7/2021,0,378923,378923,SOP
1/8/2021,0,414608,414608,SOP
1/9/2021,0,222335,222335,SOP
1/10/2021,0,230021,230021,SOP
1/11/2021,0,326459,326459,SOP
1/12/2021,0,416175,416175,SOP
1/1/2022,0,330107,330107,SOP
1/2/2022,0,359531,359531,SOP
1/3/2022,0,344888,344888,SOP
1/4/2022,0,347341,347341,SOP
1/5/2022,0,305723,305723,SOP
1/6/2022,0,294655,294655,SOP
1/7/2022,0,421320,421320,SOP
1/8/2022,0,349155,349155,SOP
1/9/2022,0,252987,252987,SOP
1/10/2022,0,209266,209266,SOP
