Fecha,extraccion,reinyeccion directa,reinyeccion indirecta,total,Punto
01/08/2007,245863.00,2707.00,94456.00,-148700,SOP
01/09/2007,829750.00,39527.00,117245.00,-672978,SOP
01/10/2007,1272505.00,70028.00,122017.00,-1080460,SOP
01/11/2007,1211469.00,47065.00,131784.00,-1032620,SOP
01/12/2007,1006856.00,97608.00,119085.00,-790163,SOP
01/01/2008,1556752.00,64598.00,160844.00,-1331310,SOP
01/02/2008,1334556.00,22738.00,67867.00,-1243951,SOP
01/03/2008,792525.00,70458.00,142682.00,-579385,SOP
01/04/2008,589831.00,115819.00,108447.00,-365565,SOP
01/05/2008,796088.00,84253.00,113836.00,-597999,SOP
01/06/2008,656203.00,83969.00,176511.00,-395723,SOP
01/07/2008,1546285.00,84789.00,199966.00,-1261530,SOP
01/08/2008,517957.00,93845.00,192248.00,-231864,SOP
01/09/2008,95598.00,33494.00,150259.00,88155,SOP
01/10/2008,1194858.00,71403.00,157508.00,-965947,SOP
01/11/2008,1547772.00,3775.00,147736.00,-1396261,SOP
01/12/2008,656745.00,44241.00,188444.00,-424060,SOP
01/01/2009,515578.00,42164.00,174553.00,-298861,SOP
01/02/2009,348202.00,9823.00,183549.00,-154830,SOP
01/03/2009,650403.00,7194.00,184867.00,-458342,SOP
01/04/2009,151961.00,90641.00,173611.00,112291,SOP
01/05/2009,8205.00,1742.00,121757.00,115294,SOP
01/06/2009,16367.00,216713.00,188675.00,389021,SOP
01/07/2009,20717.00,302424.00,172829.00,454536,SOP
01/08/2009,35056.00,189588.00,186720.00,341252,SOP
01/09/2009,6444,86257,177324,257137,SOP
01/10/2009,61836,98308,180182,216654,SOP
01/11/2009,42565,104811,178848,241094,SOP
01/12/2009,50915,96245,198552,243882,SOP
01/01/2010,4094,9386,196911,202203,SOP
01/02/2010,17968,3287,244703,230022,SOP
01/03/2010,11853,0,258102,246249,SOP
01/04/2010,161557,0,239966,78409,SOP
01/05/2010,300174,0,213337,-86837,SOP
01/06/2010,424765,0,226145,-198620,SOP
01/07/2010,524084,0,241581,-282503,SOP
01/08/2010,338955,20597,216282,-102076,SOP
01/09/2010,283189,5768,201598,-75823,SOP
01/10/2010,606058,0,206054,-400004,SOP
01/11/2010,979524,0,216182,-763342,SOP
01/12/2010,1460170,0,217460,-1242710,SOP
01/01/2011,1574619,28761,233493,-1312365,SOP
01/02/2011,1451336,5025,191.032,-1446119.968,SOP
01/03/2011,1290254,7691,219259,-1063304,SOP
01/04/2011,883209,737,205458,-677014,SOP
01/05/2011,534966,64862,227451,-242653,SOP
01/06/2011,44596,54445,196814,206663,SOP
01/07/2011,43193,47134,220462,224403,SOP
01/08/2011,676104,30008,216613,-429483,SOP
01/09/2011,1082653,76104,261042,-745507,SOP
01/10/2011,1355675,57025,218966,-1079684,SOP
01/11/2011,1733198,34857,292668,-1405673,SOP
01/12/2011,1762717,412,363636,-1398669,SOP
01/01/2012,1363286,0,366584,-996702,SOP
01/02/2012,1083555,0,296707,-786848,SOP
01/03/2012,1437782,7706,423970,-1006106,SOP
01/04/2012,695493,1372,373474,-320647,SOP
01/05/2012,166287,0,370337,204050,SOP
