Fecha,total,Punto
1/1/2007,408265.8336,ALB
1/2/2007,367740.1728,ALB
1/3/2007,237879.4176,ALB
1/4/2007,273207.168,ALB
1/5/2007,272650.4064,ALB
1/6/2007,257564.448,ALB
1/7/2007,223788.3552,ALB
1/8/2007,240643.5264,ALB
1/9/2007,300042.144,ALB
1/10/2007,374884.9344,ALB
1/11/2007,413045.568,ALB
1/12/2007,410534.4384,ALB
1/1/2008,440302.176,ALB
1/2/2008,583130.016,ALB
1/3/2008,645312.2688,ALB
1/4/2008,378294.624,ALB
1/5/2008,295178.4288,ALB
1/6/2008,385554.816,ALB
1/7/2008,347584.0032,ALB
1/8/2008,329049.4752,ALB
1/9/2008,603368.352,ALB
1/10/2008,672674.8032,ALB
1/11/2008,717356.736,ALB
1/12/2008,749799.3312,ALB
1/1/2009,412760.1888,ALB
1/2/2009,389723.4432,ALB
1/3/2009,385708.3488,ALB
1/4/2009,322452.576,ALB
1/5/2009,234555.5232,ALB
1/6/2009,139605.12,ALB
1/7/2009,177419.8944,ALB
1/8/2009,197971.2576,ALB
1/9/2009,332688.384,ALB
1/10/2009,353733.6096,ALB
1/11/2009,398164.896,ALB
1/12/2009,412990.5312,ALB
1/1/2010,823211.5968,ALB
1/2/2010,539520.3072,ALB
1/3/2010,615488.2848,ALB
1/4/2010,355295.808,ALB
1/5/2010,226694.4192,ALB
1/6/2010,252738.144,ALB
1/7/2010,275168.1024,ALB
1/8/2010,412620.912,ALB
1/9/2010,496285.056,ALB
1/10/2010,618399.7056,ALB
1/11/2010,669098.88,ALB
1/12/2010,714337.3152,ALB
1/1/2011,653261.76,ALB
1/2/2011,576633.2544,ALB
1/3/2011,603499.7664,ALB
1/4/2011,400417.344,ALB
1/5/2011,322471.3248,ALB
1/6/2011,262769.184,ALB
1/7/2011,308289.1968,ALB
1/8/2011,308275.8048,ALB
1/9/2011,474084.576,ALB
1/10/2011,557139.3408,ALB
1/11/2011,619397.28,ALB
1/12/2011,648612.0576,ALB
1/1/2012,772504.128,ALB
1/2/2012,561610.1952,ALB
1/3/2012,603181.0368,ALB
1/4/2012,505955.808,ALB
1/5/2012,513020.736,ALB
1/6/2012,268458.624,ALB
1/7/2012,320767.8624,ALB
1/8/2012,389417.9328,ALB
1/9/2012,418836.096,ALB
1/10/2012,493768.3968,ALB
1/11/2012,497088.576,ALB
1/12/2012,541135.9008,ALB
1/1/2013,462208.8096,ALB
1/2/2013,417972.4416,ALB
1/3/2013,436689.0144,ALB
1/4/2013,427866.624,ALB
1/5/2013,220617.1296,ALB
1/6/2013,265361.184,ALB
1/7/2013,300963.7728,ALB
1/8/2013,383198.688,ALB
1/9/2013,353312.928,ALB
1/10/2013,391954.3776,ALB
1/11/2013,386332.416,ALB
1/12/2013,394908.6528,ALB
1/1/2014,382545.1584,ALB
1/2/2014,319939.2,ALB
1/3/2014,390556.2528,ALB
1/4/2014,339370.56,ALB
1/5/2014,366603.3216,ALB
1/6/2014,346669.632,ALB
1/7/2014,302120.8416,ALB
1/8/2014,318234.096,ALB
1/9/2014,308517.984,ALB
1/10/2014,381187.2096,ALB
1/11/2014,325337.472,ALB
1/12/2014,426430.7424,ALB
1/1/2015,407889,ALB
1/2/2015,367071,ALB
1/3/2015,391468,ALB
1/4/2015,377127,ALB
1/5/2015,382743,ALB
1/6/2015,357740,ALB
1/7/2015,363436,ALB
1/8/2015,335113,ALB
1/9/2015,343536,ALB
1/10/2015,414533,ALB
1/11/2015,395848,ALB
1/12/2015,427817,ALB
1/1/2016,419621,ALB
1/2/2016,389766,ALB
1/3/2016,399609,ALB
1/4/2016,407845,ALB
1/5/2016,421599,ALB
1/6/2016,393239,ALB
1/7/2016,375954,ALB
1/8/2016,409800,ALB
1/9/2016,381724,ALB
1/10/2016,419329,ALB
1/11/2016,469884,ALB
1/12/2016,474114,ALB
1/1/2017,533848.5835,ALB
1/2/2017,435508.4867,ALB
1/3/2017,601948.7294,ALB
1/4/2017,682952.0208,ALB
1/5/2017,717456.886,ALB
1/6/2017,656672.492,ALB
1/7/2017,734495.256,ALB
1/8/2017,670719.706,ALB
1/9/2017,689255.9918,ALB
1/10/2017,801437.3222,ALB
1/11/2017,811445,ALB
1/12/2017,903208,ALB
1/1/2018,924387,ALB
1/2/2018,786212,ALB
1/3/2018,859410,ALB
1/4/2018,808834,ALB
1/5/2018,835222,ALB
1/6/2018,866230,ALB
1/7/2018,957949,ALB
1/8/2018,977568,ALB
1/9/2018,967050,ALB
1/10/2018,1001741,ALB
1/11/2018,902255.1731,ALB
1/12/2018,869754,ALB
1/1/2019,1171558,ALB
1/2/2019,1145861,ALB
1/3/2019,1191575,ALB
1/4/2019,1101865,ALB
1/5/2019,1190323,ALB
1/6/2019,40026370,ALB
1/7/2019,42591656,ALB
1/8/2019,45631657,ALB
1/9/2019,47869358,ALB
1/10/2019,43872124,ALB
1/11/2019,47336689,ALB
1/12/2019,49928136,ALB
1/1/2020,48628454,ALB
1/2/2020,50118852,ALB
1/3/2020,53637042,ALB
1/4/2020,54516920,ALB
1/5/2020,54081014,ALB
1/6/2020,56915146,ALB
1/7/2020,59052288,ALB
1/8/2020,59732318,ALB
1/9/2020,61131500,ALB
1/10/2020,63391809,ALB
1/11/2020,65800111,ALB
1/12/2020,66138189.1,ALB
1/1/2021,68704364.51,ALB
1/2/2021,70631899,ALB
1/3/2021,73039802,ALB
1/4/2021,75670203.84,ALB
1/5/2021,78797637.47,ALB
1/6/2021,80345911.62,ALB
1/7/2021,83194189.68,ALB
1/8/2021,76121268.91,ALB
1/9/2021,79216430.94,ALB
1/10/2021,81091606.73,ALB
1/11/2021,84404455.82,ALB
1/12/2021,80289298.77,ALB
1/1/2022,78421619.01,ALB
1/2/2022,80280380.06,ALB
1/3/2022,82325276.73,ALB
1/4/2022,84333707.53,ALB
1/5/2022,83137301.77,ALB
1/6/2022,83311625.63,ALB
1/7/2022,85360797.82,ALB
1/8/2022,80400911.41,ALB
1/9/2022,79972891.65,ALB
1/10/2022,84739857.7,ALB
1/11/2022,85809564.39,ALB
1/12/2022,82027484.51,ALB
1/1/2023,68725602.65,ALB
1/2/2023,70645155.32,ALB
1/3/2023,70807602.4,ALB
1/4/2023,71168883.61,ALB
1/5/2023,65448874.46,ALB
1/6/2023,61751647.41,ALB
1/7/2023,60653382.52,ALB
1/8/2023,54569023.72,ALB
1/9/2023,55262175.3,ALB
1/10/2023,56026725.91,ALB
1/11/2023,57860762.41,ALB
1/12/2023,60400209.41,ALB
1/1/2024,61675732.69,ALB
1/2/2024,67773380.13,ALB
1/3/2024,70189570.03,ALB
1/4/2024,72169585.96,ALB
1/5/2024,73394794.81,ALB
1/6/2024,75055788.37,ALB
1/7/2024,74548060.67,ALB
1/8/2024,76006516.98,ALB
1/9/2024,72638299.45,ALB
1/10/2024,72480827.57,ALB
1/11/2024,70705818.48,ALB
1/12/2024,43389165.69,ALB
