fecha,P-1,P-2,P-3,P-4,P-5,P-6
31/5/1995,0.0,0.0,0.0,0.0,0.0,0.0
30/6/1995,-7064.7,0.0,0.0,0.0,0.0,0.0
31/7/1995,0.0,-10510.7,-11915.0,-3607.8,-6515.6,0.0
31/8/1995,0.0,-820.7,-3442.3,-3422.5,-2758.8,0.0
30/9/1995,0.0,0.0,0.0,-4599.7,-4462.1,0.0
31/10/1995,0.0,0.0,0.0,-4707.0,-4186.8,-4848.5
30/11/1995,0.0,0.0,0.0,-3559.0,-9752.2,-4051.3
31/12/1995,-2660.3,0.0,0.0,-3444.2,-9437.6,-3920.6
31/1/1996,-2990.6,0.0,0.0,-2490.0,-2162.8,-2799.8
29/2/1996,-3394.9,0.0,-841.9,-4775.7,-3394.9,-2885.0
31/3/1996,0.0,-2740.8,-4331.9,-4295.9,-3334.6,-2020.7
30/4/1996,0.0,-3197.1,-1505.3,-4453.2,-856.9,-2670.2
31/5/1996,0.0,0.0,0.0,-4893.2,-4930.1,-4309.5
30/6/1996,0.0,-635.6,0.0,-3870.6,-5033.7,-3289.2
31/7/1996,0.0,-665.3,0.0,-4721.5,-5968.6,-517.3
31/8/1996,-1181.6,-3344.0,0.0,-129.0,-159.3,-1128.2
30/9/1996,-1497.4,-1675.3,0.0,-655.4,-1983.2,-4015.1
31/10/1996,-273.4,0.0,0.0,-1067.6,-5828.4,-1638.1
30/11/1996,-1713.3,-416.3,0.0,0.0,-7761.8,-6448.7
31/12/1996,0.0,0.0,0.0,0.0,0.0,0.0
31/1/1997,-647.2,-4931.6,-3074.0,-3266.5,-1442.0,-1591.5
28/2/1997,-572.4,-4361.4,-2718.6,-2888.9,-1275.3,-1407.5
31/3/1997,-718.3,-5473.2,-3411.6,-3625.3,-1600.4,-1766.3
30/4/1997,-722.1,-5501.7,-3429.3,-3644.2,-1608.7,-1775.5
31/5/1997,-583.6,-4447.0,-2771.9,-2945.5,-1300.3,-1435.1
30/6/1997,-552.8,-4212.3,-2625.6,-2790.1,-1231.7,-1359.4
31/7/1997,-546.2,-4161.9,-2594.2,-2756.7,-1217.0,-1343.1
31/8/1997,-553.7,-4218.9,-2629.7,-2794.5,-1233.6,-1361.5
30/9/1997,-594.9,-4532.5,-2825.2,-3002.2,-1325.3,-1462.7
31/10/1997,-419.0,-3192.7,-1990.1,-2114.7,-933.6,-1030.4
30/11/1997,-654.7,-4988.6,-3109.5,-3304.3,-1458.7,-1609.9
31/12/1997,-559.3,-4261.7,-2656.4,-2822.8,-1246.1,-1375.3
31/1/1998,0.0,-5234.1,-1075.7,-2181.0,-5568.9,-244.8
28/2/1998,0.0,-3577.1,-425.1,-4062.8,-4869.9,-3070.8
31/3/1998,0.0,-967.6,0.0,-3618.8,-4554.9,-2978.9
30/4/1998,0.0,-5558.8,-204.4,-4039.7,-5637.4,-1112.0
31/5/1998,0.0,-263.1,-4514.5,-1939.7,-4502.3,-392.6
30/6/1998,0.0,-4179.5,-61.1,-4796.2,-397.3,-2995.6
31/7/1998,0.0,-3476.0,-2664.7,-3951.0,-1997.7,-1494.2
31/8/1998,0.0,-3835.4,-5332.2,-3918.8,-31.3,-362.1
30/9/1998,0.0,-4001.2,-2705.0,-3089.5,-3141.5,-1278.7
31/10/1998,0.0,-3950.5,-4206.9,0.0,-2943.3,-1661.4
30/11/1998,-510.5,-4524.0,-4240.5,0.0,-725.4,-1860.6
31/12/1998,-832.8,-4283.6,-4741.3,0.0,-2094.0,-505.5
31/1/1999,-2083.4,-3124.8,-4332.7,-841.8,-57.8,-1314.6
28/2/1999,-500.1,-3500.9,-2562.8,-374.6,-3321.8,-1474.5
31/3/1999,-287.5,-4417.7,-499.7,-2066.9,-4352.1,-1811.4
30/4/1999,-123.7,-4905.3,-2872.9,-2837.5,-681.1,-2316.3
31/5/1999,-272.1,-4027.8,-1826.2,-2504.6,0.0,0.0
30/6/1999,-28.5,0.0,-3188.0,-3481.1,-3209.9,-535.3
31/7/1999,-71.5,0.0,-1256.8,-4625.7,-5625.7,-557.7
31/8/1999,-157.3,-1772.1,-1990.3,-3963.9,-3391.7,-764.6
30/9/1999,-25.9,-5446.9,-2167.2,-2266.6,-1788.0,-239.2
31/10/1999,-2.3,-4885.3,-1268.3,-3925.6,-1545.5,-673.8
30/11/1999,-37.7,-4638.8,-1226.4,-3005.5,-3812.0,-96.7
31/12/1999,-63.0,-6375.3,-2771.8,-4319.0,0.0,-210.8
31/1/2000,-66.8,-4112.2,-3190.1,-3970.0,-1374.7,-1030.4
29/2/2000,-6.4,-3634.5,-3973.7,-2375.4,-706.2,-3125.1
31/3/2000,-30.2,-5261.9,-451.5,-2714.7,-106.2,-3265.5
30/4/2000,-34.8,-5517.6,-37.8,-1990.0,-6009.9,-244.9
31/5/2000,-7.4,-6031.8,0.0,-2845.7,-4089.8,-910.0
30/6/2000,-34.1,-4701.7,0.0,-3187.1,-1133.4,-1506.3
31/7/2000,-44.5,-5024.2,0.0,-796.2,-74.9,-3783.9
31/8/2000,-1237.6,-5050.9,0.0,-6774.0,-1.0,-2985.0
30/9/2000,-113.4,-4873.4,0.0,-4368.5,0.0,-2578.0
31/10/2000,-170.3,-5243.5,0.0,-4767.5,0.0,-1432.0
30/11/2000,-502.4,-2171.1,0.0,-3448.0,-3452.8,-1914.9
31/12/2000,-77.8,-5006.0,0.0,-4205.7,0.0,-3122.8
31/1/2001,-5.7,-4635.9,0.0,-4686.6,0.0,-2219.3
28/2/2001,-1445.8,-3422.1,0.0,-4461.1,0.0,-2004.4
31/3/2001,-1676.7,-3335.2,0.0,-5654.4,0.0,-1549.4
30/4/2001,-2059.8,-4375.5,0.0,-5374.4,0.0,-2091.0
31/5/2001,-1469.2,-4104.1,-2199.0,-3995.9,-585.2,-473.0
30/6/2001,-2240.0,-2366.9,-3065.4,-2320.2,-3203.3,-772.4
31/7/2001,0.0,0.0,-3536.5,-4564.6,-4485.3,-1759.2
31/8/2001,0.0,0.0,-802.4,-2817.9,-5362.2,-3283.6
30/9/2001,-203.2,0.0,-85.1,-3998.1,-3556.3,-3171.1
31/10/2001,-3864.5,0.0,0.0,-5312.8,0.0,-3394.5
30/11/2001,-4953.3,-130.3,0.0,-2204.7,0.0,-3771.5
31/12/2001,-4962.4,0.0,0.0,-964.1,0.0,-3049.5
31/1/2002,-2403.1,-1400.4,0.0,-1491.2,-403.7,-1656.7
28/2/2002,-3246.9,-2632.5,0.0,-4422.4,0.0,-723.8
31/3/2002,-4128.5,-855.5,0.0,-108.9,-2797.6,-4057.6
30/4/2002,-3620.2,0.0,0.0,-3375.3,-3736.7,-2572.1
31/5/2002,-1988.3,-755.6,0.0,-3414.2,-1204.9,-2775.5
30/6/2002,-2904.7,-2042.7,0.0,-3707.7,-410.0,-2037.2
31/7/2002,-2474.4,-2266.6,0.0,-2916.7,-1961.5,-2709.3
31/8/2002,-1971.2,-1457.7,0.0,-2939.6,-2081.0,-2965.3
30/9/2002,-74.2,-233.6,0.0,-4821.7,-6244.7,-1665.4
31/10/2002,0.0,-300.0,0.0,-4806.3,-6248.9,-1515.7
30/11/2002,-454.1,-1121.2,0.0,-4736.5,-1611.9,-2001.2
31/12/2002,-893.9,-1899.0,0.0,-4007.9,-3692.0,-1580.9
31/1/2003,-2305.0,-2295.1,0.0,-3938.0,-1627.2,-1638.2
28/2/2003,-3384.2,-1938.3,0.0,-2131.7,-1732.9,-1368.1
31/3/2003,-4369.4,-2640.0,0.0,-1727.4,-1748.6,-2857.3
30/4/2003,-2720.0,-2704.3,0.0,-3481.7,-52.1,-2991.0
31/5/2003,-4567.9,0.0,0.0,-1645.5,-907.2,-3825.5
30/6/2003,-3342.0,-1482.6,0.0,-3059.0,-478.3,-2870.1
31/7/2003,-3505.0,-1719.8,0.0,-5801.2,-5466.5,0.0
31/8/2003,-954.3,-319.7,0.0,-3329.8,-4005.8,0.0
30/9/2003,-4494.5,-470.8,-243.4,-697.8,-4689.4,0.0
31/10/2003,-3366.0,0.0,-2714.5,-377.5,-4949.6,0.0
30/11/2003,-3772.9,0.0,-931.2,-2119.6,-4352.7,0.0
31/12/2003,-4869.9,-1640.2,0.0,-122.2,-3920.0,0.0
31/1/2004,-3070.9,-3943.9,-1089.2,-1129.3,-4523.7,0.0
29/2/2004,-485.2,-2848.8,-2997.7,-11.4,-3654.6,-278.7
31/3/2004,0.0,0.0,-4037.5,-223.8,-3634.4,-390.5
30/4/2004,-2340.1,-6110.3,-1207.2,-2182.7,-137.1,-8.7
31/5/2004,-2498.5,-5700.7,-835.1,-1664.6,-140.0,0.0
30/6/2004,-3112.4,-5709.2,0.0,-1066.6,-4475.9,-133.2
31/7/2004,-2872.0,-5257.5,0.0,-1811.3,-3265.4,-1239.0
31/8/2004,-4953.8,-4800.8,0.0,-571.1,-698.1,-826.1
30/9/2004,-2644.3,-3460.2,0.0,-75.6,-3949.0,-1063.3
31/10/2004,-4226.4,-4836.1,-1467.2,0.0,-1649.1,-223.1
30/11/2004,-2330.3,-5257.3,-1826.2,0.0,-3226.0,-814.5
31/12/2004,-1603.4,-8319.7,0.0,-4690.7,-7.3,-1690.5
31/1/2005,-1669.0,-4213.0,0.0,-3724.6,-2286.2,-749.5
28/2/2005,-26.4,-851.7,-1269.8,-4513.8,-1038.1,-4088.6
31/3/2005,0.0,0.0,-3619.4,-5161.3,0.0,-2264.5
30/4/2005,0.0,-3550.3,-2698.3,-1600.1,-2781.5,-943.9
31/5/2005,0.0,-4690.8,-2236.5,0.0,-3852.1,-1212.2
30/6/2005,-4382.6,-2698.1,-4428.8,0.0,-757.0,0.0
31/7/2005,-354.8,-5891.8,-1387.0,0.0,-3203.5,0.0
31/8/2005,-2584.8,-6246.5,0.0,-28.0,-2918.2,0.0
30/9/2005,-4857.2,0.0,0.0,-4139.5,-3448.8,0.0
31/10/2005,-2297.0,-1632.8,-2226.2,-3856.5,0.0,0.0
30/11/2005,-1653.3,-4779.1,-2639.1,-2918.5,-674.5,0.0
31/12/2005,0.0,-6199.6,-428.0,-1784.5,-4043.6,0.0
31/1/2006,0.0,-5478.0,-649.0,-2163.0,-2896.0,0.0
28/2/2006,0.0,-7014.0,-1036.0,-147.0,-3206.0,0.0
31/3/2006,-890.0,-1237.0,-3496.0,-3762.0,0.0,0.0
30/4/2006,-1816.0,-7235.0,-4220.0,-6513.0,0.0,0.0
31/5/2006,-3393.0,-6626.0,-3510.0,-3865.0,0.0,-2165.0
30/6/2006,-52.0,-6940.0,-3870.0,-3434.0,0.0,-3084.0
31/7/2006,-370.0,-4833.0,-3951.0,0.0,0.0,-6623.0
31/8/2006,-569.0,-6844.0,-5608.0,0.0,0.0,-1985.0
30/9/2006,-4748.0,-7335.0,-4228.0,0.0,0.0,-620.0
31/10/2006,-4428.0,-7101.0,-3705.0,0.0,0.0,-457.0
30/11/2006,-1121.7,-6282.4,-4388.7,0.0,-1394.7,-927.0
31/12/2006,-1881.2,-5484.0,-4091.8,-2199.9,0.0,-408.1
31/1/2007,-1250.1,-5181.9,-2162.6,-5563.2,0.0,-149.8
28/2/2007,-0.6,-4777.1,-1555.9,-5085.1,-5381.3,-1.6
31/3/2007,0.0,-2602.6,-1370.4,-6234.7,-5882.6,-1.1
30/4/2007,0.0,-5620.0,-1958.1,-4252.9,-764.2,0.0
31/5/2007,0.0,-6774.2,-3277.6,-1529.3,-1641.0,-268.5
30/6/2007,0.0,-6293.5,-4275.1,-314.9,-3001.8,-101.4
31/7/2007,-1229.4,-6346.9,-1480.2,-755.4,-4274.2,-1214.8
31/8/2007,-3614.9,-6212.1,0.0,0.0,-5215.9,-158.1
30/9/2007,-2224.5,-6976.6,0.0,0.0,-4938.4,-517.2
31/10/2007,-1809.3,-6919.1,0.0,0.0,-5559.0,-269.5
30/11/2007,-1776.1,-6577.1,0.0,0.0,-5133.0,0.0
31/12/2007,-869.4,-7742.3,0.0,0.0,-6206.6,0.0
31/1/2008,-4223.9,0.0,0.0,0.0,-6198.4,-711.5
29/2/2008,-3856.3,0.0,-6613.1,0.0,-6157.4,-499.0
31/3/2008,-4003.5,-745.5,-6133.5,0.0,-6231.9,-467.4
30/4/2008,-3451.5,-774.4,-5274.1,0.0,-5549.6,0.0
31/5/2008,-4201.2,0.0,-6485.9,0.0,-6148.3,0.0
30/6/2008,-4093.7,0.0,-6505.0,0.0,-6171.0,0.0
31/7/2008,-1208.5,-3427.6,-6126.0,0.0,-3647.8,0.0
31/8/2008,-2157.4,-4354.8,-5059.8,0.0,-2272.9,0.0
30/9/2008,-5001.8,-5027.5,-895.5,0.0,-2455.4,0.0
31/10/2008,-5461.2,-6937.4,-50.1,0.0,-3319.4,0.0
30/11/2008,-4528.3,-6824.8,-872.3,-3503.5,-47.7,0.0
31/12/2008,-3250.9,-693.6,0.0,-2278.1,-4284.6,0.0
31/1/2009,-4167.0,-5491.7,0.0,-1737.2,-5515.7,0.0
28/2/2009,-433.0,-7178.0,0.0,-3505.6,-4231.8,0.0
31/3/2009,-1484.1,-6510.6,-400.3,-4168.4,-4088.9,0.0
30/4/2009,-2825.6,-3181.8,-2411.2,-3735.5,-4895.7,0.0
31/5/2009,-1629.3,-2523.1,-576.7,-4992.1,-4210.0,0.0
30/6/2009,-4718.6,-5068.7,-325.5,-4843.6,-3290.9,0.0
31/7/2009,-2467.4,-6575.0,-72.5,-5764.7,-3628.6,0.0
31/8/2009,-2809.8,-4872.8,0.0,-6048.4,-3993.2,0.0
30/9/2009,-3341.7,-4443.8,0.0,-3673.1,-3143.4,0.0
31/10/2009,-2457.0,-5176.3,0.0,-5160.0,-4305.3,0.0
30/11/2009,-3046.2,-5702.9,0.0,-5402.4,-4358.7,0.0
31/12/2009,-3522.7,-3525.7,0.0,-3258.7,-3739.3,0.0
31/1/2010,-3203.8,-2830.0,-1.5,-4803.5,-5124.3,0.0
28/2/2010,-2008.8,-4839.5,-4.1,-5237.1,-4781.0,0.0
31/3/2010,-545.7,-3380.4,-3520.3,-3580.3,-4078.0,0.0
30/4/2010,-2568.1,-4035.6,-3547.6,-2711.1,-2057.8,0.0
31/5/2010,-4241.4,-4508.6,-4558.4,-1983.2,0.0,0.0
30/6/2010,-4424.5,-4127.1,-5220.1,-3124.1,-410.4,0.0
31/7/2010,-3545.2,-3340.1,-4072.5,-1265.0,-2683.7,0.0
31/8/2010,-3518.7,-3964.9,-4004.1,-564.5,-822.7,0.0
30/9/2010,-690.9,-5654.7,-276.0,-2585.0,-3820.6,0.0
31/10/2010,0.0,-5759.5,-3931.5,-1728.7,-4688.6,-744.2
30/11/2010,0.0,-1796.5,-5694.1,-1287.8,-3282.0,-4030.8
31/12/2010,-0.3,-3942.4,-3247.1,-3989.8,0.0,-3843.2
31/1/2011,-1005.6,-5865.3,-4081.6,-4306.9,0.0,-2181.1
28/2/2011,-4762.9,-4496.9,-4638.4,-2409.5,0.0,-1996.9
31/3/2011,-4595.8,-4292.3,-4256.8,-2499.8,0.0,-421.5
30/4/2011,-3392.4,-4009.9,-3881.7,-3516.6,0.0,-3135.9
31/5/2011,-4342.9,-4372.2,-4491.7,-4168.2,0.0,-982.0
30/6/2011,-4678.1,-4751.3,-4888.8,-4367.0,0.0,-48.7
31/7/2011,-3814.2,-4629.5,-700.3,-4165.4,-3998.7,0.0
31/8/2011,-3783.0,-4787.2,0.0,-4601.1,-5758.3,0.0
30/9/2011,-4429.6,-5284.3,0.0,-5182.5,-6779.9,0.0
31/10/2011,-3645.2,-4793.9,-2921.9,-4050.9,-3739.0,0.0
30/11/2011,-4556.4,-5186.1,-5474.7,-4816.0,0.0,-1266.7
31/12/2011,-3179.0,-4493.4,-4416.9,-4258.0,0.0,-3331.4
31/1/2012,-3959.8,-4363.6,-5026.0,-4206.6,0.0,-2501.0
29/2/2012,-1813.3,-4541.2,-4537.5,-4316.2,0.0,-3739.4
31/3/2012,-3291.3,-3703.5,-4369.1,-3625.5,0.0,-1473.0
30/4/2012,-3155.5,-4122.3,-3435.9,-3754.8,0.0,-2934.4
31/5/2012,-2884.9,-3086.8,-4039.5,-2851.6,0.0,-1303.5
30/6/2012,-2966.6,-4512.1,-3686.3,-3853.5,0.0,-3797.5
31/7/2012,-2937.6,-4519.0,-5148.8,-3790.4,0.0,-2093.2
31/8/2012,-2381.0,-4587.5,-4857.5,-4743.2,0.0,-5314.8
30/9/2012,0.0,-1549.3,-5004.3,-5078.2,-3229.6,-4611.6
31/10/2012,0.0,-5125.4,-3912.6,-4639.9,-1964.5,-3546.7
30/11/2012,-728.9,-5517.1,-4899.8,-5124.5,0.0,-4583.8
31/12/2012,-4094.9,-5431.4,-4357.8,-4066.2,0.0,-3452.2
31/1/2013,-4800.1,-6116.6,-5212.5,-4547.5,0.0,-4105.4
28/2/2013,-3509.1,-4974.2,-4342.6,-4298.9,0.0,0.0
31/3/2013,-4105.5,-5110.3,-2915.5,-4349.5,0.0,-2861.3
30/4/2013,-4079.0,-5409.2,-5468.2,-4427.2,0.0,-1766.1
31/5/2013,-3004.9,-4696.1,-3960.5,-3533.5,0.0,-3052.8
30/6/2013,-2807.2,-4557.3,-4073.9,-3766.4,0.0,-2717.0
31/7/2013,-2606.3,-5369.0,-5081.5,-1928.5,0.0,-3639.0
31/8/2013,-858.9,-4798.9,-4460.8,-4162.3,0.0,-3533.8
30/9/2013,0.0,-5785.5,-5336.5,-4984.8,0.0,-4615.2
31/10/2013,-132.9,-4533.9,-4374.7,-4012.3,0.0,-3623.4
30/11/2013,-2391.6,-1594.4,-4420.8,-4586.7,0.0,-3167.8
31/12/2013,-3515.3,0.0,-4274.8,-2930.6,0.0,-5116.7
31/1/2014,-4198.8,0.0,-4561.1,0.0,0.0,-5040.5
28/2/2014,-2513.9,-3354.5,-2904.8,-1351.9,0.0,-2944.5
31/3/2014,-3340.0,-624.1,-2372.4,-3474.9,0.0,-3272.9
30/4/2014,-3471.2,-4096.6,-550.1,-3783.4,0.0,-3476.5
31/5/2014,-2820.7,-3666.6,0.0,-4245.6,0.0,-3645.4
30/6/2014,-3385.7,-3541.8,-2154.8,-3346.1,0.0,-3187.1
31/7/2014,-2422.7,-3576.7,-5969.4,-731.2,0.0,-2464.6
31/8/2014,-2338.2,-3862.0,-6405.7,-197.1,0.0,-2395.6
30/9/2014,-3373.7,-4041.8,-5564.3,0.0,0.0,-2739.8
31/10/2014,-2583.8,-4216.0,-6316.8,0.0,0.0,-3007.5
30/11/2014,-3829.8,-5752.7,-5836.8,0.0,0.0,-4146.8
31/12/2014,-4907.1,-7786.1,-5626.3,0.0,0.0,-5553.4
31/1/2015,-3156.1,-4876.2,-3987.6,0.0,0.0,-4451.8
28/2/2015,-1933.2,-5524.0,-2938.1,0.0,0.0,-4560.2
31/3/2015,0.0,-4202.3,0.0,-2306.6,0.0,-4138.3
30/4/2015,-3480.8,-4390.1,0.0,-4350.1,0.0,0.0
31/5/2015,-1699.8,-3714.0,0.0,-4890.6,0.0,-6859.4
30/6/2015,-3687.4,-5451.6,0.0,-2300.8,0.0,-5817.2
31/7/2015,-4378.8,-4715.2,-5183.1,0.0,0.0,-4700.0
31/8/2015,-2418.3,-4684.5,-6671.0,0.0,0.0,-5118.0
30/9/2015,-4192.9,-4747.6,-5358.3,0.0,0.0,-3086.9
31/10/2015,-4768.1,-5210.4,-6622.0,0.0,0.0,-4781.2
30/11/2015,-2517.9,-4586.0,-6496.7,0.0,0.0,-5020.5
31/12/2015,-3500.4,-4679.3,-6000.5,-1685.5,0.0,-2713.8
31/1/2016,-3572.5,-4582.6,-4492.3,-3342.2,0.0,-3738.9
29/2/2016,-3973.9,0.0,-5548.8,-4512.7,0.0,-3185.4
31/3/2016,-3299.3,-2559.7,-4864.7,-4041.5,0.0,-3519.7
