Fecha final,pozo_SFI-01,pozo_SFI-02,pozo_SFI-03,pozo_11,pozo_CX-143,pozo_WS-216,Total
2019-06-30,,,,0.13,,,0.13
2019-07-31,,,,0.13,,,0.13
2019-08-31,,,,0.0,,,0.0
2019-09-30,,,,0.0,,,0.0
2019-10-31,,,,0.0,,,0.0
2019-11-30,,,,0.0,,,0.0
2019-12-31,,,,0.0,,,0.0
2020-01-31,,,,0.0,,,0.0
2020-02-29,,,,0.0,,,0.0
2020-03-31,,,,0.0,,,0.0
2020-04-30,,,,0.0033333333333333335,,,0.0033333333333333335
2020-05-31,,,,0.0,,,0.0
2020-06-30,,,,0.67,,,0.67
2020-07-31,,,,0.03,,,0.03
2020-08-31,,,,3.09,,,3.09
2020-09-30,,,,8.65,,,8.65
2020-10-31,,,,14.2,,,14.2
2020-11-30,,,,17.0,,,17.0
2020-12-31,,,,12.22,,,12.22
2021-01-31,,,,29.8,,,29.8
2021-02-28,,,,17.63,,,17.63
2021-03-31,,,,13.2,,,13.2
2021-04-30,,,,3.6550000000000002,,,3.6550000000000002
2021-05-31,,,,3.32,,,3.32
2021-06-30,,,,19.8,,,19.8
2021-07-31,,,,34.27,,,34.27
2021-08-31,,,,26.97,,,26.97
2021-09-30,,,,19.91,,,19.91
2021-10-31,,,,13.51,,,13.51
2021-11-30,,,,13.42,,,13.42
2021-12-31,,,,26.31,,,26.31
2022-01-31,,,,13.58,,,13.58
2022-02-28,,,,22.48,,,22.48
2022-03-31,,,,22.41,,,22.41
2022-04-30,,,,19.99,,,19.99
2022-05-31,,,,30.61,,,30.61
2022-06-30,,,,15.97,,,15.97
2022-07-31,,,,15.33,,,15.33
2022-08-31,,,,8.6,,,8.6
2022-09-30,,,,24.13,,,24.13
2022-10-31,,,,22.04,,,22.04
2022-11-30,,,,27.17,,,27.17
2022-12-31,,,,15.07,,,15.07
2023-01-31,,,,16.71,,,16.71
2023-02-28,,,,25.763333333333332,,,25.763333333333332
2023-03-31,,,,24.2,,,24.2
2023-04-30,,,,32.42,,,32.42
2023-05-31,,,,31.23,,,31.23
2023-06-30,,,,29.325000000000003,,,29.325000000000003
2023-07-31,,,,30.48,,,30.48
2023-08-31,,,,30.17,,,30.17
2023-09-30,,,,30.4,,,30.4
2023-10-31,,,,30.04,,,30.04
2023-11-30,,,,29.06,,,29.06
2023-12-31,,,,31.45,,,31.45
2024-01-31,,,,11.77,,,11.77
2024-02-29,,,,8.81,,,8.81
2024-03-31,0.0,0.0,0.0,23.47,,,23.47
2024-04-30,0.0,0.0,0.0,17.99,,,17.99
2024-05-31,1.0,15.3,1.92,25.34,,,43.56
2024-06-30,0.0,0.0,0.0,26.3,0.13,,26.43
2024-07-31,0.0,0.0,0.0,7.39,0.77,,8.16
2024-08-31,0.0,114.23,95.23,24.7,0.79,,234.95
2024-09-30,0.0,11.31,11.56,4.32,0.9,0.0,28.09
2024-10-31,0.0,0.0,0.0,0.04,0.83,0.0,0.87
2024-11-30,0.0,0.0,0.0,0.23,0.88,0.0,1.11
2024-12-31,0.0,0.0,0.0,0.59,0.88,0.0,1.47
