Fecha final,pozo_SFI-01,pozo_SFI-02,pozo_SFI-03,pozo_11,pozo_CX-143,pozo_WS-216,pozo_PC-D1-26,pozo_PDA-04 S,pozo_W-57,pozo_W-56,pozo_W-82,pozo_PC-UB-210,pozo_PDA-8B,pozo_PC-D1-05E,pozo_TK-Litio Oriente,pozo_PDA-8A,pozo_PC-D1-06SE,pozo_C-3 BBA 5,pozo_C-3 BBA 4,pozo_TK-SW,pozo_PC-UB-310,pozo_C-3 BBA 6,pozo_C-3 BBA 7,pozo_PDA-5,pozo_PC-D1-47,pozo_PC-UB-19,pozo_C-3 BBA 3,pozo_PDA 7,pozo_C-3 BBA 2,pozo_WS-164R,pozo_PBS 2,pozo_E-88,pozo_PBS 3,pozo_Canaleta arpes 2,pozo_PDA-5 B,pozo_PC-D1-76,pozo_PBS 4,pozo_PDA-M,pozo_W-280,pozo_Canaleta arpes,pozo_PC-D1-34SW,pozo_PBS 5,pozo_PC-D1-06NE,pozo_W-CX-1034,pozo_PC-D1-06,pozo_PDA Alto Calcio,pozo_PDA-M2,Total
2019-06-30,,,,0.13,,,,58.51,,,,,,1.06,,,,,,,,,,,9.89,,,,,,,,,,,6.56,,21.36,,32.79,,,,,,,,130.3
2019-07-31,,,,0.13,,,,64.50333333333333,,0.0,2.42,0.71,67.65,1.06,,71.09666666666668,11.31,84.1,31.09,,,137.59,82.86,3.92,9.89,0.01,86.69,48.81,76.42,,18.7,21.67,24.91,,2.06,6.56,10.135,21.926666666666666,0.86,35.92333333333334,2.82,34.93,12.31,,2.66,,,975.725
2019-08-31,,,,0.0,,,,67.5,,0.0,3.32,0.01,8.89,1.31,,88.025,10.86,137.47,42.99,,,167.27,78.34,36.81,15.34,0.0,43.96333333333333,36.9,72.56,,17.65,32.96,29.8,,61.04,0.38666666666666666,32.135,26.493333333333336,0.0,33.27,5.31,7.68,12.866666666666667,,0.0,,,1071.1499999999999
2019-09-30,,,,0.0,,,,25.32,,0.0,1.24,0.85,4.866666666666666,1.37,,92.94999999999999,12.89,157.8,17.96,,,140.53,110.57,138.93,16.98,0.16,42.82,6.42,90.73,,21.21,0.82,32.35,12.493333333333332,6.64,0.068,46.86,27.14166666666667,0.04,25.393333333333334,13.32,4.38,13.07,,0.38,,,1066.5529999999999
2019-10-31,,,,0.0,,,,13.505,,0.01,2.98,0.0,7.3,1.08,,97.3,14.45,159.9,53.35,,,168.79,140.94666666666666,131.29,18.09,0.0,0.0,31.27,70.91666666666667,,21.78,0.0,26.666666666666668,15.19,54.48,0.07,45.01,22.986666666666668,0.0,20.565,12.385000000000002,1.28,16.75,,0.0,,,1148.3416666666667
2019-11-30,,,,0.0,,,,34.57333333333333,,0.0,1.66,0.0,31.28,1.0,,69.35,8.1,19.22,49.19,,,126.47,158.45,176.57333333333335,10.72,0.0,67.42666666666666,29.36,65.26,,19.29,0.0,27.51,15.486666666666666,34.24,1.28,53.843333333333334,22.936666666666667,0.0,20.3,11.735,0.46,12.83,,0.06,,,1068.6049999999998
2019-12-31,,,,0.0,,,,45.17,,0.0,3.32,0.85,29.84,0.53,,111.55499999999999,9.71,71.50666666666667,69.17,,,80.29,183.385,188.52,18.07,2.33,88.35,61.400000000000006,60.355000000000004,,19.88,0.0,41.32,17.11,107.34,13.15,57.98,24.604,1.02,22.673333333333336,11.254999999999999,0.01,12.1,,5.98,,,1358.7740000000001
2020-01-31,,,,0.0,,,,28.302500000000002,,0.0,4.84,5.15,51.04,0.35,,113.38,18.8,59.27,62.410000000000004,,,149.85,177.88,215.51,16.555,3.25,74.8,60.21,61.120000000000005,,2.38,0.0,42.73,19.106666666666666,159.55,11.913333333333334,57.31,26.295714285714286,0.4,20.98,10.35,31.130000000000006,18.9,,7.58,,,1511.3432142857143
2020-02-29,,,,0.0,,,,22.605,,0.05,3.3,1.6749999999999998,65.67,2.5374999999999996,,81.94333333333333,6.94,112.67,60.15,,,141.62333333333333,73.52,211.5666666666667,12.87,2.12,50.195,59.17333333333334,67.01,,2.0233333333333334,48.04,18.91,24.085,194.78333333333333,9.92,47.68,28.87,0.0,13.386666666666665,9.79,46.06,2.66,0.0,5.69,,,1427.5175000000002
2020-03-31,,,,0.0,,,,35.012,,0.39,3.52,1.46,70.48333333333333,1.67,,83.72,9.51,141.93666666666664,46.94,,,153.22,129.6966666666667,201.61,11.67,3.95,69.13,59.2,60.99,,2.87,87.15,19.92,26.4525,203.91,7.710000000000001,44.9,29.3025,1.41,11.953333333333333,10.69,44.39,9.39,2.67,9.455,,,1596.2820000000002
