Fecha,Punto,total
1/1/2007,Tilopozo,16750.7136
1/2/2007,Tilopozo,14587.776
1/3/2007,Tilopozo,15738.2784
1/4/2007,Tilopozo,14206.752
1/5/2007,Tilopozo,15057.9648
1/6/2007,Tilopozo,11277.792
1/7/2007,Tilopozo,13121.4816
1/8/2007,Tilopozo,12015.3024
1/9/2007,Tilopozo,13159.584
1/10/2007,Tilopozo,16785.5328
1/11/2007,Tilopozo,20748.96
1/12/2007,Tilopozo,16477.5168
1/1/2008,Tilopozo,14701.7376
1/2/2008,Tilopozo,22459.68
1/3/2008,Tilopozo,12438.4896
1/4/2008,Tilopozo,7420.896
1/5/2008,Tilopozo,2962.3104
1/6/2008,Tilopozo,10901.952
1/7/2008,Tilopozo,5838.912
1/8/2008,Tilopozo,6387.984
1/9/2008,Tilopozo,8024.832
1/10/2008,Tilopozo,22356.6048
1/11/2008,Tilopozo,16946.496
1/12/2008,Tilopozo,19225.5552
1/1/2009,Tilopozo,22886.928
1/2/2009,Tilopozo,21155.904
1/3/2009,Tilopozo,24132.384
1/4/2009,Tilopozo,22991.04
1/5/2009,Tilopozo,19330.0128
1/6/2009,Tilopozo,16350.336
1/7/2009,Tilopozo,17765.8272
1/8/2009,Tilopozo,15100.8192
1/9/2009,Tilopozo,17861.472
1/10/2009,Tilopozo,16568.5824
1/11/2009,Tilopozo,18797.184
1/12/2009,Tilopozo,20326.3776
1/1/2010,Tilopozo,21381.6672
1/2/2010,Tilopozo,19191.5136
1/3/2010,Tilopozo,21820.9248
1/4/2010,Tilopozo,21091.104
1/5/2010,Tilopozo,21644.1504
1/6/2010,Tilopozo,19437.408
1/7/2010,Tilopozo,16059.6864
1/8/2010,Tilopozo,13852.6848
1/9/2010,Tilopozo,15020.64
1/10/2010,Tilopozo,16314.1344
1/11/2010,Tilopozo,15767.136
1/12/2010,Tilopozo,16651.6128
1/1/2011,Tilopozo,14066.9568
1/2/2011,Tilopozo,16382.8224
1/3/2011,Tilopozo,17562.2688
1/4/2011,Tilopozo,17114.976
1/5/2011,Tilopozo,16365.024
1/6/2011,Tilopozo,14421.888
1/7/2011,Tilopozo,14838.336
1/8/2011,Tilopozo,16035.5808
1/9/2011,Tilopozo,16490.304
