Pozo,Estadistico Z,Estadistico S,p-value,tendencia
1024,-9.971,-7927,0.000,Decreciente
1028,-50.704,-1550993,0.000,Decreciente
2018,-10.351,-8438,0.000,Decreciente
2037,-10.696,-8791,0.000,Decreciente
BA-17,-6.878,-3224,0.000,Decreciente
BA-18,-7.290,-3215,0.000,Decreciente
BA-19,-7.272,-3207,0.000,Decreciente
BA-20,-6.447,-2773,0.000,Decreciente
BA-21,-5.303,-2223,0.000,Decreciente
BA-22,-1.960,-749,0.049,Decreciente
BA-23,-6.712,-2960,0.000,Decreciente
BA-28,4.196,2062,0.000,Creciente
ES-11,-10.286,-5833,0.000,Decreciente
GD-03,-11.172,-7014,0.000,Decreciente
GD-04,-12.621,-7691,0.000,Decreciente
L10-10,-11.499,-6658,0.000,Decreciente
L10-11,-50.889,-1552064,0.000,Decreciente
L10-12,-10.827,-8680,0.000,Decreciente
L10-13,-13.784,-11892,0.000,Decreciente
L10-14,-13.871,-12062,0.000,Decreciente
L10-15,-12.677,-12449,0.000,Decreciente
L10-16,-11.416,-10006,0.000,Decreciente
L10-17,-12.011,-10945,0.000,Decreciente
L10-2,-10.213,-5791,0.000,Decreciente
L10-3,-11.436,-10024,0.000,Decreciente
L10-4,-51.300,-1570373,0.000,Decreciente
L10-5,-13.552,-11506,0.000,Decreciente
L10-6,-12.681,-7650,0.000,Decreciente
L10-7,-12.155,-7185,0.000,Decreciente
L10-8,-12.853,-7832,0.000,Decreciente
L10-9,-12.512,-7396,0.000,Decreciente
MPS-AA,-3.098,-1418,0.001,Decreciente
MPS-AB,-3.340,-1492,0.000,Decreciente
MPS-AC,-2.565,-1146,0.010,Decreciente
MPS-CA,-4.035,-1758,0.000,Decreciente
MPS-CB,-3.808,-1659,0.000,Decreciente
MPS-CC,-5.498,-2395,0.000,Decreciente
PN-03,-8.027,-3151,0.000,Decreciente
PN-04,-7.969,-2558,0.000,Decreciente
PN-07,-7.987,-2643,0.000,Decreciente
PN-08A,-10.364,-6571,0.000,Decreciente
PN-09,-8.024,-2982,0.000,Decreciente
Zanja Camino a Peine,-9.148,-8208,0.000,Decreciente
