Pozo,Estadistico Z,Estadistico S,p-value,tendencia
E1,3.926,1146,0.000,Creciente
E2,0.502,138,0.615,Sin tendencia
E3,-3.366,-919,0.000,Decreciente
E4,-9.248,-2310,0.000,Decreciente
LM-05,6.670,594,0.000,Creciente
LM-06,0.593,103,0.552,Sin tendencia
LM-07,-3.228,-820,0.001,Decreciente
LM-08,-1.664,-294,0.095,Sin tendencia
LM-09,3.924,1053,0.000,Creciente
LM-10,1.467,328,0.142,Sin tendencia
LM-17,-5.145,-729,0.000,Decreciente
REGLILLA INTERNA CONAF,-5.107,-420,0.000,Decreciente
REGLILLA SALADA CONAF,-2.247,-498,0.024,Decreciente
REGLILLA SALADITA CONAF,-5.934,-1560,0.000,Decreciente
