Bore Name,Statistic (Z),Statistic (S),Statistic (p-value),Trend
Pozo 2018,-14.124829715192341,-17342.0,0.0,Decreasing
REGLILLA SALADITA CONAF,-4.0372002160685065,-1273.0,5.409290152358359e-05,Decreasing
Pozo 2037,-12.966391684600678,-15720.0,0.0,Decreasing
Pozo 1028,-32.21760163063464,-1497884.0,0.0,Decreasing
Pozo L10-8,-7.506200733230014,-7104.0,6.084022174945858e-14,Decreasing
Pozo L10-9,-16.376724149437255,-15614.0,0.0,Decreasing
Pozo L10-4,-62.820168252808514,-2682946.0,0.0,Decreasing
Pozo GD-04,-7.014858927557815,-6540.0,2.3017143746528745e-12,Decreasing
Pozo L10-5,-9.545690699005908,-13533.0,0.0,Decreasing
Pozo L10-7,-6.808857620553527,-6396.0,9.837686221203512e-12,Decreasing
REGLILLA INTERNA CONAF,-3.3037318009401653,-272.0,0.0009540705855495268,Decreasing
Pozo L10-6,-6.75771295828021,-6348.0,1.4018786131941852e-11,Decreasing
Pozo L10-2,-10.89480003114032,-10233.0,0.0,Decreasing
Pozo GD-03,-5.420762648090074,-5169.0,5.93453106656483e-08,Decreasing
Pozo 1024,-19.62101824483162,-46454.0,0.0,Decreasing
Pozo L10-3,-7.203455644250628,-10271.0,5.870859354217828e-13,Decreasing
Pozo L10-1,5.5355087540583074,7714.0,3.103262335990564e-08,Increasing
Pozo L10-13,-18.592947720441906,-26208.0,0.0,Decreasing
Pozo L10-12,-14.708533309455394,-17719.0,0.0,Decreasing
Pozo L10-10,-15.092402331905474,-14069.0,0.0,Decreasing
Pozo L10-11,-30.487378324118108,-1298992.0,0.0,Decreasing
Pozo L10-15,-17.0637854382447,-25727.0,0.0,Decreasing
REGLILLA SALADA CONAF,-1.7078450476243852,-432.0,0.0876650979114606,Stable
Pozo L10-14,-18.69073295400581,-26497.0,0.0,Decreasing
Pozo L10-16,-10.398531005280343,-14742.0,0.0,Decreasing
Pozo L10-17,-10.610788053256528,-15043.0,0.0,Decreasing
